the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A3B1723F92F754C0948F8EBF35BC4140,54978,0101000020110F0000EEF3E012AECE61C10074199EE5205041,54432,>1m <=5m,ATBI DATABASE,,1446853778000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239734,3928991,35.470383,-83.868297,Lake Cheoah-Little Tennessee River,Twentymile Creek,1552.283447,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853778000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000530D9DCCAFC754C065C24A6DB8CD4140,55190,0101000020110F0000547432F802A661C1F911154B2C335041,54633,>1m <=5m,ATBI DATABASE,,1446853890000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307963,3942450,35.607184,-83.120101,Upper Cataloochee Creek,,3316.39917,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853890000,GRSM,UNR,,4,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899856000000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000019ABA5CA21C654C0A5242AAF30CB4140,55193,0101000020110F00003B4304F1B0A461C1703B51BC87305041,54636,>1m <=5m,ATBI DATABASE,,1446853892000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310117,3940210,35.587416,-83.095809,Upper Cataloochee Creek,McKee Branch,3616.123291,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853892000,GRSM,UNR,,7,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902793600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009B195BDAD9C654C024719B18AEC94140,55191,0101000020110F00009CD1CC434DA561C1D8A89507F42E5041,54634,>1m <=5m,ATBI DATABASE,,1446853891000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309071,3938923,35.575619,-83.107043,Upper Cataloochee Creek,Double Gap Branch,4174.820801,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853891000,GRSM,UNR,,8,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900374400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000579D3A2E61CA54C062C8E2E5C6C74140,55184,0101000020110F000010AD16764CA861C1D7F5E557F72C5041,54629,>1m <=5m,ATBI DATABASE,,1446853888000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,304038,3937382,35.560751,-83.162177,Lower Raven Fork,,5057.901367,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853888000,GRSM,UNR,,8,,,Hemphill Bald Trail,Heintooga Ridge Road,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,999129600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000596B51C70CC854C0338027957FCC4140,55189,0101000020110F0000E06FD7EF51A661C1DF0CDD82E5315041,54632,>1m <=5m,ATBI DATABASE,,1446853890000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307426,3941402,35.597637,-83.125776,Upper Cataloochee Creek,Jim Branch,3341.661621,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853890000,GRSM,UNR,,4,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898646400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BFA08F763FC854C02C05D7EE34CD4140,55187,0101000020110F0000D731B8FB7CA661C1C4E3AFEFA2325041,54630,>1m <=5m,ATBI DATABASE,,1446853889000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307159,3942022,35.603171,-83.12887,Upper Cataloochee Creek,Hurricane Creek,3077.348633,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446853889000,GRSM,UNR,,6,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901670400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000404F45225BD354C01147635C0DC14140,55181,0101000020110F000053A11D1DECAF61C14581D9A1F2255041,54626,>1m <=5m,ATBI DATABASE,,1446853886000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291188,3931842,35.508213,-83.302433,Lower Oconaluftee River,Oconaluftee River,2009.75,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853886000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924566400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000008BE6C98133DC54C0D3BDB6CD40CE4140,55169,0101000020110F000026CD1C3F6FB761C18E490BC2BA335041,54616,>1m <=5m,ATBI DATABASE,,1446853880000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278935,3943585,35.611346,-83.44064,Deep Creek,Deep Creek,5490.000977,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853880000,GRSM,UNR,,6,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,927590400000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007B51F051B5DF54C097DDC0E245D14140,55155,0101000020110F0000EE976CC269BA61C1928BE67DE2365041,54602,>1m <=5m,ATBI DATABASE,,1446853871000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274037,3946327,35.634938,-83.495438,West Prong Little Pigeon River Upper,,2903.768311,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853871000,GRSM,UNR,,7,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,874540800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000EDCCA2E205DE54C003AE6D8296D04140,55162,0101000020110F00001FC67E57FBB861C19BB1D93B2B365041,54609,>1m <=5m,ATBI DATABASE,,1446853876000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276407,3945673,35.629586,-83.469105,West Prong Little Pigeon River Upper,Road Prong,3662.392822,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853876000,GRSM,UNR,,7,,,Chimney Tops Trail,Chimney Tops Trailhead Overflow Pullout Parkng,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,874540800000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AD879FFA65DD54C0895523BE8AD04140,55167,0101000020110F00007DD5868873B861C1CF5D4BF01E365041,54614,>1m <=5m,ATBI DATABASE,,1446853879000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277290,3945611,35.629227,-83.459345,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3924.62207,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853879000,GRSM,UNR,,4,,,Alum Cave trailhead,Nfg Pullout Parking At Mp 9.95,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900979200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000049AA17C590DE54C0D359AFE700D34140,55158,0101000020110F0000C602E84B71B961C1CEDCD079B1385041,54605,>1m <=5m,ATBI DATABASE,,1446853873000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275692,3947786,35.648458,-83.477582,West Prong Little Pigeon River Upper,Big Branch,5015.061523,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853873000,GRSM,UNR,,3,,,Bullhead Trail,Newfound Gap Road North,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,872121600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000A16A66C088DE54C0D3DA97E012D24140,55159,0101000020110F0000A9D38D7C6AB961C176E22CB6B8375041,54606,>1m <=5m,ATBI DATABASE,,1446853874000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275716,3946979,35.641194,-83.477093,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,3451.256104,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853874000,GRSM,UNR,,3,,,Bullhead Trail,Newfound Gap Road North,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902793600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005144DF0D44DE54C00EA0DE1A05D54140,55161,0101000020110F0000C2704F2430B961C1A5C98D09CD3A5041,54608,>1m <=5m,ATBI DATABASE,,1446853875000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276160,3949523,35.664211,-83.4729,Le Conte Creek,Le Conte Creek,3626.453369,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853875000,GRSM,UNR,,2,,,Rainbow Falls Trail,Roaring Fork Motor Nature Trail,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,874281600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000054A4FDCD13DF54C023110F72A8D54140,55157,0101000020110F00001A589995E0B961C1F6C3D6CA773B5041,54604,>1m <=5m,ATBI DATABASE,,1446853872000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275026,3950105,35.669196,-83.48558,Le Conte Creek,Le Conte Creek,2990.438721,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853872000,GRSM,UNR,,6,,,Rainbow Falls Trail,"Rainbow Falls, Bull Head Parking A",Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,869443200000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F5952EFA93DF54C0844458691FD54140,55156,0101000020110F00007AD700714DBA61C1140E8A89E83A5041,54603,>1m <=5m,ATBI DATABASE,,1446853872000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274306,3949659,35.665014,-83.493403,West Prong Little Pigeon River Upper,Twomile Branch,3212.966309,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853872000,GRSM,UNR,,9,,,Bullhead Trail,Cherokee Orchard Road,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898041600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000428A1B6671DE54C06CD56B10ECD64140,55160,0101000020110F0000FA3530A756B961C1EFF5DD21CA3C5041,54607,>1m <=5m,ATBI DATABASE,,1446853874000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275951,3951178,35.679072,-83.475667,Le Conte Creek,,2909.720947,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853874000,GRSM,UNR,,6,,,Trillium Gap Trail,Roaring Fork Interpretive Marker 1 Overlook,Valid,Stellaria_pubera,Stellaria  pubera,37984,Great Chickweed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1177545600000,Plantae,Tracheobionta, , ,Magnoliopsida,Caryophyllidae,Spermatophyta,Magnoliophyta, , ,Caryophyllales, , , , ,Caryophyllaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
