the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F589713B8AE154C04BDA73EAA1BA4140,53135,0101000020110F00005940B601F8BB61C1910B0385401F5041,52572,>1m <=5m,ATBI DATABASE,,1446852713000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270942,3926770,35.458059,-83.524058,Noland Creek,Noland Creek,1837.016724,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852713000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1150848000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000097E1F34EBBDF54C0C40493ED0CD14140,53137,0101000020110F000047D469D86EBA61C16B4A12F9A6365041,52574,>1m <=5m,ATBI DATABASE,,1446852714000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273999,3946135,35.6332,-83.495803,West Prong Little Pigeon River Upper,,3085.489502,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446852714000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000C150825C94DC54C059C9EAFD96D24140,53144,0101000020110F000029BC4681C1B761C128B455C842385041,52581,>1m <=5m,ATBI DATABASE,,1446852719000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278493,3947357,35.645226,-83.446551,West Prong Little Pigeon River Upper,Trout Branch,5084.713867,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446852719000,GRSM,UNR,,10,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091145600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,by hand, , ,cert,ATBI Coleoptera Survey
0101000020E6100000054B4A81F2DB54C043C1B4CB1ED54140,53145,0101000020110F000036F9540A38B761C1459ABFE4E73A5041,52582,>1m <=5m,ATBI DATABASE,,1446852720000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279442,3949528,35.664995,-83.436672,Roaring Fork,,5358.756348,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852720000,GRSM,UNR,,7,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,996364800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,Paratype, ,cert,ATBI Coleoptera Survey
0101000020E61000005ADCD56473D954C02717F02D0AD64140,53154,0101000020110F000091FE383E19B561C186ECBCF7DD3B5041,52591,>1m <=5m,ATBI DATABASE,,1446852725000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282993,3950238,35.672179,-83.397664,Porters Creek,Porters Creek,2648.368896,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852725000,GRSM,UNR,,8,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091232000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000928D601374D954C00257B4648ED54140,53153,0101000020110F0000DC0476D219B561C19B1B908E5C3B5041,52590,>1m <=5m,ATBI DATABASE,,1446852725000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282979,3949819,35.668401,-83.397706,Porters Creek,Boulevard Prong,2778.78418,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852725000,GRSM,UNR,,4,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003363200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000E9DD02E3C2DB54C07D28E499C3D34140,53146,0101000020110F000047C71F990FB761C13ECF84F87C395041,52583,>1m <=5m,ATBI DATABASE,,1446852720000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279676,3948346,35.6544,-83.433766,Porters Creek,Styx Branch,6378.262695,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446852720000,GRSM,UNR,,5,,,Boulevard Trail,Alum Cave Bluffs Trailhead Parking,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091059200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E6100000119AA6CDCDD354C0D462113F56D34140,53155,0101000020110F0000CF34A6804DB061C1F5940FAC0A395041,52592,>1m <=5m,ATBI DATABASE,,1446852726000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290925,3947704,35.651063,-83.309432,Upper Raven Fork,,5328.133789,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446852726000,GRSM,UNR,,6,,,Hughes Ridge Trail,Ramsey Cascades Trailhead Parking,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1096934400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,Paratype, ,cert,ATBI Coleoptera Survey
0101000020E6100000B53167979ED354C0F9A525260DDB4140,53156,0101000020110F0000CC97CB6725B061C127957D981B415041,52593,>1m <=5m,ATBI DATABASE,,1446852727000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,291343,3954384,35.711332,-83.306551,Little Pigeon River Upper,,4178.50293,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852727000,GRSM,UNR,,7,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1016668800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000081022D2DCD154C0A40632C6FDDD4140,53158,0101000020110F00007148476AA7AE61C1AE572CF02E445041,52595,>1m <=5m,ATBI DATABASE,,1446852728000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,293886,3956874,35.7343,-83.279099,Cosby Creek,Dunn Creek,3360.566162,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852728000,GRSM,UNR,,8,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003449600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000FBD40C04DCD154C0365CED3377DE4140,53159,0101000020110F0000E68C40BBA6AE61C1A94748FDAD445041,52596,>1m <=5m,ATBI DATABASE,,1446852728000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,293900,3957285,35.738006,-83.27905,Cosby Creek,Indian Camp Creek,3056.080078,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852728000,GRSM,UNR,,9,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1061251200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,sifting litter, , ,cert,ATBI Coleoptera Survey
0101000020E6100000062C47359DDD54C0A962AE3529D94140,53139,0101000020110F0000C59E7D70A2B861C1101BF173213F5041,52576,>1m <=5m,ATBI DATABASE,,1446852716000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277172,3953089,35.696563,-83.462716,Roaring Fork,,2663.226074,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446852716000,GRSM,UNR,,6,,,Grapeyard Ridge Trail,Roaring Fork Motor Nature Trail,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091318400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A6013ACEF8E554C0C33E5436C6D54140,53134,0101000020110F0000A13CA799BBBF61C1EA684EE9963B5041,52571,>1m <=5m,ATBI DATABASE,,1446852713000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,265276,3950458,35.670105,-83.593307,Little River-Goshen Prong,Laurel Branch,2314.616943,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446852713000,GRSM,UNR,,6,,,Laurel Falls Quiet Walkway,Fighting Creek Gap Road,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E61000004D8099A312EE54C02E0FF93E47C84140,53128,0101000020110F0000FF315BE89CC661C14131D2577D2D5041,52565,>1m <=5m,ATBI DATABASE,,1446852710000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,253493,3939070,35.564667,-83.719884,Little River-Crooked Creek,,4777.330078,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446852710000,GRSM,UNR,,4,,,Appalachian Trail,Laurel Creek Road,Valid,Sonoma_tolulae,Sonoma  tolulae,37441,Tallulah Falls Antloving Rove Beetle,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091232000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Staphyliniformia,Polyphaga, ,Staphylinoidea,Staphylinidae, ,~,sifting litter, , ,cert,ATBI Coleoptera Survey
