the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000065BE6A02F8E354C04C06BEB1C6BB4140,115213,0101000020110F00007220111508BE61C1B06E24CF71205041,114756,>1m <=5m,ATBI DATABASE,,1446883453000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267523,3927850,35.466994,-83.562008,Forney Creek,,1843.025879,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446883453000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089158400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000DE3ACF3D03D354C05B88153B08C54140,115231,0101000020110F0000EC887777A1AF61C12FDDCDD9192A5041,114772,>1m <=5m,ATBI DATABASE,,1446883463000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291755,3935280,35.539307,-83.297069,Lower Oconaluftee River,Tow String Creek,2122.173828,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446883463000,GRSM,UNR,,6,,,Chambers Cemetery Access,Tow String Horse Barn Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1116720000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000001D43145433D354C06AF383E347C14140,115226,0101000020110F0000CD33954ECAAF61C1C15D4CB22F265041,114769,>1m <=5m,ATBI DATABASE,,1446883461000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291413,3932035,35.51,-83.300004,Lower Oconaluftee River,,2015.644165,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446883461000,GRSM,UNR,,5,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,998006400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,UV light, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000A60FDED074D354C0CA8C75790CC24140,115222,0101000020110F0000F13AECEC01B061C17602C1CFFC265041,114765,>1m <=5m,ATBI DATABASE,,1446883459000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291066,3932709,35.515999,-83.304001,Lower Oconaluftee River,Oconaluftee River,2032.806641,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446883459000,GRSM,UNR,,6,,,Nations Cemetery Access,Oconaluftee Residence Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1090281600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,aerial net, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000045C6EABC11DE54C08DBCDBE530CB4140,115217,0101000020110F00004EDA826805B961C180E26FF587305041,114760,>1m <=5m,ATBI DATABASE,,1446883455000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276224,3940997,35.587423,-83.469829,Deep Creek,,5970.410156,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446883455000,GRSM,UNR,,9,,,Fork Ridge Trail,Clingmans Dome Access Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,868838400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000077DA4A4A82DC54C08DE71EDF0CCE4140,115218,0101000020110F000058A33A28B2B761C1B7E1BC8184335041,114761,>1m <=5m,ATBI DATABASE,,1446883456000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278495,3943420,35.609761,-83.445448,Deep Creek,Road Prong,5246.306152,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446883456000,GRSM,UNR,,6,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1063756800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,Malaise trap (Townes), , ,cert,ATBI Lepidoptera TWiG
0101000020E61000000E3F230410D154C0BA741A0977D24140,115233,0101000020110F0000A7867779F9AD61C17E73866221385041,114774,>1m <=5m,ATBI DATABASE,,1446883464000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,294786,3946858,35.644251,-83.266599,Upper Raven Fork,Raven Fork,4185.794922,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446883464000,GRSM,UNR,,1,,,Hyatt Ridge Trail,Beech Gap Trailhead Parking #2,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155859200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,aerial net,No,day,cert,Raven Fork Expedition
0101000020E6100000C1B314FB51D854C047F4FF7239DA4140,115220,0101000020110F00002A55C57123B461C154A8E12B3E405041,114763,>1m <=5m,ATBI DATABASE,,1446883458000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284680,3953826,35.704871,-83.38,Porters Creek,,1834.356934,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446883458000,GRSM,UNR,,5,,,Old Settlers Trail,Ramsey Prong Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,592012800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000006BC8A941FEC54C00299BE5318D24140,115211,0101000020110F000047638C0EF5C461C1D61C3168BE375041,114754,>1m <=5m,ATBI DATABASE,,1446883452000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256487,3947503,35.641361,-83.689423,Little River-Crooked Creek,Middle Prong Little River,1349.121338,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446883452000,GRSM,UNR,,6,,,Lumber Ridge Trail,Tremont Environmental Education Center Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1187654400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,aerial net,No,day,cert,Lepidoptera Survey
0101000020E61000006109CC8CDCE654C043B76DD8A9D24140,115212,0101000020110F0000C26E0B067DC061C1FE56987C56385041,114755,>1m <=5m,ATBI DATABASE,,1446883453000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263946,3947795,35.645801,-83.607207,Little River-Goshen Prong,Kiver Branch,2606.37085,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446883453000,GRSM,UNR,,1,,,Meigs Mountain Trail,Little River Gorge Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,584064000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000828A12435EE254C094F8E1C2EFD74140,115215,0101000020110F0000F6F56A15ACBC61C161465BACD93D5041,114758,>1m <=5m,ATBI DATABASE,,1446883454000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270422,3952199,35.686998,-83.536999,West Prong Little Pigeon River Upper,Ash Hopper Branch,1461.809082,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446883454000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Headquarters Parking A,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,584496000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000F62B23495EE254C01EFAC2F9CED74140,115214,0101000020110F0000499C911AACBC61C145041364B73D5041,114757,>1m <=5m,ATBI DATABASE,,1446883454000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,270419,3952088,35.685997,-83.537001,West Prong Little Pigeon River Upper,Ash Hopper Branch,1466.512207,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446883454000,GRSM,UNR,,6,,,Fighting Creek Nature Trail,Sugarlands Visitor Center Parking B,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1155427200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000002B6D507F06F154C02DCB04C138CF4140,115210,0101000020110F00004680B9DB1EC961C1C880D6CBBD345041,114753,>1m <=5m,ATBI DATABASE,,1446883451000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249480,3945205,35.618913,-83.766017,Abrams Creek Upper,Green Branch,3085.772949,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446883451000,GRSM,UNR,,7,,,Scott Mountain Trail,Laurel Creek Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,777686400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000292BC50F27F154C0FA68B5E3EDCC4140,115209,0101000020110F0000151CE1833AC961C1885B5CBA58325041,114752,>1m <=5m,ATBI DATABASE,,1446883451000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249244,3943223,35.601003,-83.768005,Abrams Creek Upper,Abrams Creek,2088.251953,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446883451000,GRSM,UNR,,7,,,Anthony Creek Trail,Anthony Creek Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,592012800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000089E93113AAF254C0842B386D5ACD4140,115206,0101000020110F00006532AB3483CA61C12F20DC19CA325041,114750,>1m <=5m,ATBI DATABASE,,1446883450000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247114,3943651,35.604315,-83.791626,Abrams Creek Upper,,1787.897705,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446883450000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1216252800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,aerial net,No,day,cert,ATBI
0101000020E6100000AB5364FBF0F254C01D95169396CC4140,115205,0101000020110F000005D6556DBFCA61C17BF4AF86FD315041,114749,>1m <=5m,ATBI DATABASE,,1446883449000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246703,3942999,35.598338,-83.795954,Abrams Creek Upper,Sea Branch,1792.001831,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446883449000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1254268800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,aerial net,No,day,cert,Monarch Watch
0101000020E61000004F9CB829F9F254C0B75BE52599CC4140,115204,0101000020110F0000EDBD0C60C6CA61C1C5BFCF3600325041,114748,>1m <=5m,ATBI DATABASE,,1446883449000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246658,3943009,35.598417,-83.796454,Abrams Creek Upper,Sea Branch,1787.830078,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446883449000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1191024000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,aerial net,No,day,cert,Monarch Watch
0101000020E61000003F914D101AF454C026CEDFCB97CC4140,115202,0101000020110F000049BA18BDBBCB61C1AC5B64CDFE315041,114746,>1m <=5m,ATBI DATABASE,,1446883448000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245060,3943050,35.598376,-83.814087,Abrams Creek Upper,Abrams Creek,1733.033936,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446883448000,GRSM,UNR,,7,,,Lawson Cemetery Access,Primitive Baptist Church Road,Valid,Atalopedes_campestris,Atalopedes  campestris,4288,Satchem,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,617328000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Hesperioidea,Hesperiidae,Hesperiinae,~,black light trap,No, ,cert,Lepidoptera Survey
