the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B992A354F0F754C04974945819BC4140,237098,0101000020110F00002C5F70FAFDCE61C1ED94B7FFC7205041,237071,>1m <=5m,ATBI DATABASE,,1446953187000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239210,3928910,35.469517,-83.874039,Lake Cheoah-Little Tennessee River,Twentymile Creek,1442.549805,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953187000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000192901B521D154C0FD71ABC2D4E14140,237133,0101000020110F000099BED57F08AE61C15D46269C33485041,237107,>1m <=5m,ATBI DATABASE,,1446953208000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294996,3960178,35.764299,-83.267678,Cosby Creek,,2043.880005,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953208000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970099200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009504FCA833CD54C0673A9B65C1E04140,237134,0101000020110F000011753810B2AA61C1173AD26813475041,237108,>1m <=5m,ATBI DATABASE,,1446953208000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300527,3959119,35.755895,-83.206274,Cosby Creek,,2199.354248,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953208000,GRSM,UNR,,4,,,Cosby Nature Trail,Cosby Picnic Area Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,932860800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000063A05E353EC754C0E7B2E440BBDF4140,237135,0101000020110F000053A72F7FA2A561C185E4DA1201465041,237109,>1m <=5m,ATBI DATABASE,,1446953209000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308927,3958046,35.747895,-83.113168,Big Creek,,1815.422607,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953209000,GRSM,UNR,,6,,,Baxter Creek Trail,Big Creek Campground Loop Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961545600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000065AD67BCD8C354C00D249185C1CB4140,237136,0101000020110F00000DAAB40DC0A261C177D972001F315041,237110,>1m <=5m,ATBI DATABASE,,1446953209000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313363,3940632,35.591836,-83.0601,Lower Johnathans Creek,,4338.147461,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446953209000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,935020800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007AB14E9AC8D254C03C75E7B427C54140,237132,0101000020110F0000378831AA6FAF61C1BEFE09B43A2A5041,237106,>1m <=5m,ATBI DATABASE,,1446953207000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,292082,3935379,35.540267,-83.29349,Lower Oconaluftee River,Tow String Creek,2323.737305,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446953207000,GRSM,UNR,,8,,,Chambers Cemetery Access,Tow String Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027296000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000376690BDE9D354C08F21555BC4C14140,237131,0101000020110F0000977CC53A65B061C10DDF2590B1265041,237105,>1m <=5m,ATBI DATABASE,,1446953206000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290413,3932480,35.513798,-83.311137,Lower Oconaluftee River,,2475.10376,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446953206000,GRSM,UNR,,10,,,Enloe-Mingus Cemetery Access,Newfound Gap Road South,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1371168000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000274199F54BDE54C0644A9291BAC14140,237126,0101000020110F00004BD70FDB36B961C1F4B0A559A7265041,237100,>1m <=5m,ATBI DATABASE,,1446953204000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275696,3932804,35.513499,-83.473382,Noland Creek,Noland Creek,3148.677246,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953204000,GRSM,UNR,,4,,,Noland Creek Trail,Clingmans Dome Road Parking #3,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000086E57E7086DD54C089E6C780E8C54140,237127,0101000020110F00008DA21A1A8FB861C18D07BBF0032B5041,237101,>1m <=5m,ATBI DATABASE,,1446953204000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276880,3936399,35.546151,-83.461326,Noland Creek,Pole Road Creek,4763.782227,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953204000,GRSM,UNR,,4,,,Noland Divide Trail,Noland Divide Trailhead Parking,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086912000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000083D2CE6BF7DE54C07CE08B78B0C74140,237125,0101000020110F00007E766D7AC8B961C16261EAEDDF2C5041,237099,>1m <=5m,ATBI DATABASE,,1446953203000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274877,3937994,35.560066,-83.483847,Noland Creek,Clingmans Creek,5149.285645,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953203000,GRSM,UNR,,7,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085270400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001973AC92F5DF54C086720964CFD74140,237123,0101000020110F0000E4035754A0BA61C1E45533D3B73D5041,237097,>1m <=5m,ATBI DATABASE,,1446953202000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273826,3952002,35.68601,-83.49936,Le Conte Creek,Le Conte Creek,1974.711914,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446953202000,GRSM,UNR,,8,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,896659200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003DE8BB56A0D954C0563C5F071CDF4140,237130,0101000020110F0000409A2F6A3FB561C155DFF1745A455041,237104,>1m <=5m,ATBI DATABASE,,1446953206000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282937,3958105,35.743036,-83.400407,Little Pigeon River Middle,Copeland Creek,1588.853271,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953206000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899164800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000085A88686F0DF54C081BD7DAEDAD94140,237124,0101000020110F00003724EB0A9CBA61C1228D730EDB3F5041,237098,>1m <=5m,ATBI DATABASE,,1446953202000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273899,3953773,35.701979,-83.499051,Baskins Creek,Baskins Creek,1858.491577,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446953202000,GRSM,UNR,,4,,,Twin Creeks Trail,Cherokee Orchard Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897264000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000FF40CBE35EDC54C07C74649198DD4140,237128,0101000020110F0000C43F721794B761C190E9DB0CC5435041,237102,>1m <=5m,ATBI DATABASE,,1446953205000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279026,3956889,35.731212,-83.443288,Dudley Creek,Duds Branch,1711.727783,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446953205000,GRSM,UNR,,9,,,Duds Branch Concession Horse Trail,Dudley Creek Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897436800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007F1BE8F595EC54C0FB69091D27D24140,236547,0101000020110F0000C078E79859C561C1115010DCCD375041,237089,>1m <=5m,ATBI DATABASE,,1446953197000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255834,3947571,35.641812,-83.696649,Little River-Crooked Creek,,1480.345947,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446953197000,GRSM,UNR,,4,,,West Prong Trail,Tremont Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933724800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000049071938E8EF54C04ADB1B2369D14140,237110,0101000020110F0000B662DEB82BC861C178E8345407375041,237083,>1m <=5m,ATBI DATABASE,,1446953194000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251116,3947058,35.636014,-83.748544,Little River-Crooked Creek,,1643.705322,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446953194000,GRSM,UNR,,6,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000092C175B882E154C086F61B41F8D54140,237119,0101000020110F0000DD7A85A0F1BB61C1D8624C3ACB3B5041,237093,>1m <=5m,ATBI DATABASE,,1446953199000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271591,3950463,35.671632,-83.523599,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,1637.876953,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446953199000,GRSM,UNR,,6,,,Old Sugarlands Trail,Newfound Gap Road North,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027296000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000DAD733E475ED54C0CC06684E23C14140,237111,0101000020110F0000E52F25C817C661C15F624B8709265041,237084,>1m <=5m,ATBI DATABASE,,1446953195000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254190,3932857,35.508883,-83.710316,Hazel Creek,Little Fork,2925.684326,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953195000,GRSM,UNR,,7,,,Jenkins Ridge Trail,Lakeview Drive West,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089158400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000001AFEDF26FED54C0AC8098172FC14140,237112,0101000020110F0000FE7020BC12C661C110CD3CD315265041,237085,>1m <=5m,ATBI DATABASE,,1446953195000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254224,3932896,35.509243,-83.709954,Hazel Creek,Little Fork,2878.84668,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446953195000,GRSM,UNR,,5,,,Jenkins Ridge Trail,Lakeview Drive West,Valid,Phryma_leptostachya,Phryma  leptostachya,29446,Lopseed,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089158400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Lamiales, , , , ,Verbenaceae, ,~,observed, ,day,cert,Fridley Veg Plots
