the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C9EFAC5ED7FA54C01263437ED0BC4140,210573,0101000020110F0000DC5CAD0A75D161C19BB1E1FE86215041,210378,>1m <=5m,ATBI DATABASE,,1446937995000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235112,3929651,35.475106,-83.919391,Chilhowee Lake,Cooper Camp Branch,2025.034302,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446937995000,GRSM,UNR,,9,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000008AD91946A4F754C02BE74130FDBD4140,210642,0101000020110F00005DDC1A62BDCE61C1B7E7759BC0225041,210442,>1m <=5m,ATBI DATABASE,,1446938028000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239679,3930536,35.484282,-83.869397,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1798.185425,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938028000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000E95C8786FFF754C0C6C7C8157BBE4140,210634,0101000020110F000048A31FE20ACF61C1637F20EC43235041,210435,>1m <=5m,ATBI DATABASE,,1446938024000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239186,3930977,35.488124,-83.874967,Lake Cheoah-Little Tennessee River,Dalton Branch,2012.79248,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938024000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000955924F0DEF754C04C2F272476BE4140,210635,0101000020110F0000B08FEE34EFCE61C17B4EFEC33E235041,210436,>1m <=5m,ATBI DATABASE,,1446938025000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239366,3930955,35.487974,-83.872978,Lake Cheoah-Little Tennessee River,Dalton Branch,1959.01709,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938025000,GRSM,UNR,,2,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000000A9DA53148F754C0BC8D778E1BBE4140,210662,0101000020110F0000AC25032E6FCE61C1B5D11E48E0225041,210461,>1m <=5m,ATBI DATABASE,,1446938038000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240192,3930624,35.485209,-83.863777,Lake Cheoah-Little Tennessee River,,2155.944092,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938038000,GRSM,UNR,,7,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000006A7B56FA32F754C026DBAB5C16BE4140,210664,0101000020110F00009D2333295DCE61C18A0F1CDDDA225041,210463,>1m <=5m,ATBI DATABASE,,1446938039000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240309,3930603,35.485051,-83.862482,Lake Cheoah-Little Tennessee River,,2206.59082,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938039000,GRSM,UNR,,7,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000519FB98E7EF754C074FC004645BE4140,210651,0101000020110F0000B588CA599DCE61C1639E3FCB0B235041,210451,>1m <=5m,ATBI DATABASE,,1446938033000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239895,3930774,35.486482,-83.867095,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1892.86084,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938033000,GRSM,UNR,,6,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002B37652F1AF654C03F5A0DAA09BE4140,210694,0101000020110F00009E80FEAE6ECD61C1347FA49ECD225041,210493,>1m <=5m,ATBI DATABASE,,1446938054000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241863,3930515,35.484663,-83.845344,Lake Cheoah-Little Tennessee River,Twentymile Creek,2285.54248,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938054000,GRSM,UNR,,5,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000F503F196F8F554C0F4F3159A27BE4140,210699,0101000020110F0000E43DA02652CD61C12C7E6CD8EC225041,210498,>1m <=5m,ATBI DATABASE,,1446938057000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242052,3930611,35.485577,-83.843294,Lake Cheoah-Little Tennessee River,,2199.261963,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938057000,GRSM,UNR,,10,,,Twentymile Loop Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000073CA3937A1F554C01EDDF88232BE4140,210713,0101000020110F0000BECBB7F107CD61C18A657F39F8225041,210511,>1m <=5m,ATBI DATABASE,,1446938063000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242537,3930634,35.48591,-83.837961,Lake Cheoah-Little Tennessee River,Proctor Branch,2298.54834,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938063000,GRSM,UNR,,6,,,Twentymile Loop Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000006BEC4A7FBAF554C09C1CDBBE09BE4140,210709,0101000020110F0000F448726A1DCD61C1035E57B4CD225041,210507,>1m <=5m,ATBI DATABASE,,1446938061000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242393,3930500,35.484666,-83.839504,Lake Cheoah-Little Tennessee River,,2294.423584,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938061000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000E22449E78EF554C00A4183570FBE4140,210722,0101000020110F000071BF3F64F8CC61C194BBA18AD3225041,210519,>1m <=5m,ATBI DATABASE,,1446938068000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242635,3930512,35.484836,-83.836843,Lake Cheoah-Little Tennessee River,,2373.269043,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938068000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000D96E806E6FF554C05429737C3FBE4140,210738,0101000020110F0000BFAB9EA9DDCC61C154F7ECC105235041,210535,>1m <=5m,ATBI DATABASE,,1446938076000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242814,3930670,35.486306,-83.834922,Lake Cheoah-Little Tennessee River,Proctor Branch,2417.433838,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938076000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000C25F4F180DF554C0E4E2C555B4BE4140,210773,0101000020110F0000B1C22B258ACC61C1FEA46EA37F235041,210569,>1m <=5m,ATBI DATABASE,,1446938094000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243370,3931050,35.489872,-83.82892,Lake Cheoah-Little Tennessee River,,2764.038574,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938094000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AAFA97CF32F554C00F97BB27B3BE4140,210762,0101000020110F00005D06682DAACC61C199C760687E235041,210558,>1m <=5m,ATBI DATABASE,,1446938088000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243161,3931052,35.489836,-83.831222,Lake Cheoah-Little Tennessee River,,2619.690674,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938088000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000004545D9B10AF454C0CB8CA4D577BF4140,210802,0101000020110F00008C3690AFAECB61C16840A7914B245041,210597,>1m <=5m,ATBI DATABASE,,1446938109000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244820,3931671,35.495838,-83.813149,Eagle Creek,,3797.356445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938109000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864259200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000069A076AEFEF454C027CBCE84A1BE4140,210780,0101000020110F0000810C62E77DCC61C169B2EF026C235041,210576,>1m <=5m,ATBI DATABASE,,1446938098000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243448,3930984,35.489297,-83.82804,Lake Cheoah-Little Tennessee River,,2900.774902,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938098000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000A2BF9D32E1F554C06E9314DCF8BD4140,210702,0101000020110F00007F4ABD483ECD61C13FE79D17BC225041,210501,>1m <=5m,ATBI DATABASE,,1446938058000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,242177,3930449,35.48415,-83.841866,Lake Cheoah-Little Tennessee River,,2244.716309,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938058000,GRSM,UNR,,2,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Magnolia_fraseri,Magnolia  fraseri,23797,FraserÆs Magnolia,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
