the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008EB4AF9701E054C025896E951EBA4140,31433,0101000020110F000054D4A589AABA61C11F9B1B96B71E5041,30585,>1m <=5m,ATBI DATABASE,,1446840484000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273106,3926270,35.454052,-83.500093,Fontana Lake-Tuckasegee River,Canebrake Branch,1707.018799,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840484000,GRSM,UNR,,1,,,Conner @ Hickory Flats Cemetery Access,Lakeview Drive East,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1375056000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000007988BB8407D754C0091E3F5122CB4140,31473,0101000020110F0000E2F45DC80AB361C1A55F45BB78305041,30622,>1m <=5m,ATBI DATABASE,,1446840505000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,286191,3940703,35.586978,-83.35983,Upper Oconaluftee River,Oconaluftee River,2753.800293,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446840505000,GRSM,UNR,,7,,,Kephart Prong Trail,Newfound Gap Road South,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000624921DF71DC54C06DA8546DDDD14140,31455,0101000020110F0000F85F7B36A4B761C1CF5C82DA80375041,30605,>1m <=5m,ATBI DATABASE,,1446840495000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278668,3946724,35.639563,-83.444446,West Prong Little Pigeon River Upper,Trout Branch,5279.943359,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840495000,GRSM,UNR,,7,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,646617600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000085728E799EDC54C0A9708AE2E3D14140,31448,0101000020110F0000B9B22718CAB761C198782D9A87375041,30598,>1m <=5m,ATBI DATABASE,,1446840491000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278422,3946752,35.63976,-83.447169,West Prong Little Pigeon River Upper,Trout Branch,5290.372559,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840491000,GRSM,UNR,,8,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,646358400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000FABDB2AA9CDC54C0F43E5BF5E3D14140,31449,0101000020110F0000D7A70C8FC8B761C1BA39D7AD87375041,30599,>1m <=5m,ATBI DATABASE,,1446840492000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278432,3946752,35.639762,-83.447058,West Prong Little Pigeon River Upper,Trout Branch,5270.454102,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840492000,GRSM,UNR,,7,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,646358400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AE1BD0810EDC54C0AA16C7370AD24140,31466,0101000020110F0000687E8FD24FB761C14E177AA9AF375041,30615,>1m <=5m,ATBI DATABASE,,1446840501000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279221,3946862,35.64093,-83.438381,West Prong Little Pigeon River Upper,Styx Branch,4486.347656,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840501000,GRSM,UNR,,1,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E952F9BD3EDC54C0410A227B52D34140,31461,0101000020110F0000BA87DBC978B761C1D48E91BC06395041,30611,>1m <=5m,ATBI DATABASE,,1446840499000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278982,3947980,35.650948,-83.441325,West Prong Little Pigeon River Upper,,6049.395996,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840499000,GRSM,UNR,,9,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900288000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000017CD904B38DC54C0D482AAE056D34140,31462,0101000020110F0000664E2A5073B761C11417F6540B395041,30612,>1m <=5m,ATBI DATABASE,,1446840500000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279018,3947994,35.651082,-83.440932,West Prong Little Pigeon River Upper,,6072.513184,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840500000,GRSM,UNR,,6,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F2E1BF6456DC54C0342A15F95AD34140,31460,0101000020110F00002C2D2EE08CB761C1252FC19C0F395041,30610,>1m <=5m,ATBI DATABASE,,1446840498000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278852,3948012,35.651207,-83.442769,West Prong Little Pigeon River Upper,,6035.264648,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840498000,GRSM,UNR,,4,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000057F0A36664DC54C0FE6B3BA577D34140,31459,0101000020110F00009BB8ADC598B761C1C114A5942D395041,30609,>1m <=5m,ATBI DATABASE,,1446840498000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278777,3948111,35.652082,-83.443624,West Prong Little Pigeon River Upper,,6333.666016,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840498000,GRSM,UNR,,10,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003F08DD327BDC54C00D3CDBC9BED34140,31452,0101000020110F000009786222ACB761C18A27C2F077395041,30602,>1m <=5m,ATBI DATABASE,,1446840494000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278657,3948355,35.654253,-83.445015,West Prong Little Pigeon River Upper,,6378.271973,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840494000,GRSM,UNR,,10,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645321600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000000598F25479DC54C07D864C06BBD34140,31453,0101000020110F0000AE997D8CAAB761C100D69E0174395041,30603,>1m <=5m,ATBI DATABASE,,1446840494000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278667,3948342,35.654138,-83.444901,West Prong Little Pigeon River Upper,,6310.39209,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840494000,GRSM,UNR,,7,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645321600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000004921899177DC54C04ECEC40CBED34140,31456,0101000020110F000079361B0DA9B761C180551E2B77395041,30606,>1m <=5m,ATBI DATABASE,,1446840496000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278677,3948352,35.65423,-83.444794,West Prong Little Pigeon River Upper,,6405.424316,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840496000,GRSM,UNR,,2,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645235200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000FEDDBF3574DC54C0A2E99664B7D34140,31458,0101000020110F00006EBEE332A6B761C183E0DC3570395041,30608,>1m <=5m,ATBI DATABASE,,1446840497000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278695,3948329,35.654027,-83.444589,West Prong Little Pigeon River Upper,,6418.424805,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840497000,GRSM,UNR,,4,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645235200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000A1672AF975DC54C02C7C1C5EB4D34140,31457,0101000020110F00001C0B47B2A7B761C174A95B0C6D395041,30607,>1m <=5m,ATBI DATABASE,,1446840497000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278685,3948319,35.653935,-83.444696,West Prong Little Pigeon River Upper,,6349.024414,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840497000,GRSM,UNR,,5,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645321600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E54DEBBA20DC54C085ED4794FAD34140,31463,0101000020110F0000B2FFA24C5FB761C1C6F4AA6FB6395041,30613,>1m <=5m,ATBI DATABASE,,1446840500000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279162,3948545,35.656078,-83.439494,Roaring Fork,Roaring Fork,6289.666016,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446840500000,GRSM,UNR,,5,,,Trillium Gap Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000A37E726F79DC54C0DE8353D0C1D34140,31454,0101000020110F0000612BFFA2AAB761C155F3411A7B395041,30604,>1m <=5m,ATBI DATABASE,,1446840495000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278667,3948365,35.654345,-83.444908,West Prong Little Pigeon River Upper,,6378.271973,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840495000,GRSM,UNR,,4,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,645235200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000047E4E15B7DDC54C06EF6B0ECC9D34140,31451,0101000020110F0000CC5710F8ADB761C1EF9E8A9483395041,30601,>1m <=5m,ATBI DATABASE,,1446840493000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278646,3948393,35.654593,-83.445147,West Prong Little Pigeon River Upper,,6465.970703,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446840493000,GRSM,UNR,,10,,,Alum Cave Trail,Nfg Pullout Parking At Mp 9.48,Valid,Saxifraga_michauxii,Saxifraga  michauxii,35645,MichauxÆs Saxifrage,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Saxifragaceae, ,~,observed, ,year,cert,Fridley Veg Plots
