the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B319C62EA8E754C049523CA870BF4140,29635,0101000020110F00009EE30CF829C161C1DE26F01444245041,28763,>1m <=5m,ATBI DATABASE,,1446839493000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,262377,3931163,35.495619,-83.619636,Forney Creek,Bear Creek,4634.84375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839493000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149552000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000AF14926467C354C0D4735DC8C8D24140,29774,0101000020110F000006698CCA5FA261C1D563EBD176385041,28909,>1m <=5m,ATBI DATABASE,,1446839571000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314117,3946710,35.646746,-83.053182,Lower Cataloochee Creek,Hoglen Branch,3699.446533,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839571000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898473600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000301EF2EACAC554C0A1A0D2904ACF4140,29767,0101000020110F000058CFD42867A461C168EFC967D0345041,28902,>1m <=5m,ATBI DATABASE,,1446839568000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310673,3943754,35.619456,-83.090506,Upper Cataloochee Creek,Caldwell Fork,2792.293701,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839568000,GRSM,UNR,,4,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903744000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D67B1D7D9BC554C0745D44507FCF4140,29772,0101000020110F00005E4FC5E03EA461C17042FC8307355041,28907,>1m <=5m,ATBI DATABASE,,1446839570000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310939,3943927,35.621066,-83.087611,Upper Cataloochee Creek,Palmer Branch,2785.657715,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839570000,GRSM,UNR,,6,,,Boogerman Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,905472000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000019BCFF3A6C554C044CC478784CF4140,29770,0101000020110F0000C073359D48A461C1D387CDF60C355041,28905,>1m <=5m,ATBI DATABASE,,1446839569000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310876,3943946,35.621225,-83.088311,Upper Cataloochee Creek,Palmer Branch,2750.122803,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839569000,GRSM,UNR,,6,,,Boogerman Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902966400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000628A653FBAC554C075FA5F8DB7CF4140,29768,0101000020110F00004885660059A461C1BB5D2E4642355041,28903,>1m <=5m,ATBI DATABASE,,1446839568000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310773,3944121,35.622782,-83.089489,Upper Cataloochee Creek,Caldwell Fork,2729.537109,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839568000,GRSM,UNR,,4,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903312000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003F953311DFC554C0DA67517C95CF4140,29766,0101000020110F0000924FBD4578A461C106C252AE1E355041,28901,>1m <=5m,ATBI DATABASE,,1446839567000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310567,3944010,35.621743,-83.091736,Upper Cataloochee Creek,Caldwell Fork,3023.883057,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839567000,GRSM,UNR,,7,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898128000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007DA9F681D5C654C0736E2C8BB6CF4140,29757,0101000020110F00006A7F0B9349A561C16862683841355041,28892,>1m <=5m,ATBI DATABASE,,1446839563000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309207,3944151,35.622751,-83.106778,Upper Cataloochee Creek,,3034.175537,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839563000,GRSM,UNR,,6,,,Cataloochee Horse Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897868800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000004A9D3E0A10C654C04B206C4BF9CE4140,29765,0101000020110F0000114274DDA1A461C1CA6D2C7F7B345041,28900,>1m <=5m,ATBI DATABASE,,1446839567000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310285,3943487,35.616976,-83.094725,Upper Cataloochee Creek,Caldwell Fork,2807.316406,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839567000,GRSM,UNR,,2,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899942400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007D9BAAED39C654C09B0EBA17A7CD4140,29762,0101000020110F0000E213DC70C5A461C134C38D2F1A335041,28897,>1m <=5m,ATBI DATABASE,,1446839566000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310029,3942347,35.606655,-83.097282,Upper Cataloochee Creek,Caldwell Fork,2939.59668,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839566000,GRSM,UNR,,6,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,896745600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000091643A9C5C654C05D405A364FCD4140,29759,0101000020110F000084E4AF1D3CA561C1777E0663BE325041,28894,>1m <=5m,ATBI DATABASE,,1446839564000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309250,3942066,35.603973,-83.10581,Upper Cataloochee Creek,,3185.816162,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839564000,GRSM,UNR,,6,,,Big Fork Ridge Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,896227200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E264DB9CFCC754C06E297711F9CD4140,29750,0101000020110F000044980B3544A661C11CCEC0D16F335041,28885,>1m <=5m,ATBI DATABASE,,1446839560000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307543,3942678,35.609157,-83.124789,Upper Cataloochee Creek,Jim Branch,3105.491699,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839560000,GRSM,UNR,,7,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000D1BFFCCCFBC654C07DA53C9209CC4140,29755,0101000020110F0000088FC1186AA561C1916895406A315041,28890,>1m <=5m,ATBI DATABASE,,1446839562000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308927,3940970,35.594035,-83.109115,Upper Cataloochee Creek,Clontz Branch,3122.708008,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839562000,GRSM,UNR,,4,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902188800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000082E80C369CC554C0C989FA4DB6CA4140,29769,0101000020110F00006818D67D3FA461C1248A3FEE07305041,28904,>1m <=5m,ATBI DATABASE,,1446839569000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310847,3939780,35.583682,-83.087655,Upper Cataloochee Creek,McKee Branch,3888.529053,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839569000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,29773,0101000020110F00002469CBC5E8A361C1385EE83A63305041,28908,>1m <=5m,ATBI DATABASE,,1446839571000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839571000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D55047204EC754C0935541A7C8CB4140,29754,0101000020110F000092F10104B0A561C1AEB9397326315041,28889,>1m <=5m,ATBI DATABASE,,1446839562000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308467,3940760,35.592054,-83.114139,Upper Cataloochee Creek,,3234.444824,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839562000,GRSM,UNR,,5,,,Caldwell Fork Trail,Cataloochee Entrance Road,Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902102400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000DC3FDF410CC654C0D637DE9427CA4140,29764,0101000020110F000031DA03A79EA461C11EF54DE3722F5041,28899,>1m <=5m,ATBI DATABASE,,1446839566000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310217,3939310,35.579326,-83.094494,Upper Cataloochee Creek,,4309.170898,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839566000,GRSM,UNR,,7,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900288000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001FA6961020C654C043D3A1F97AC94140,29763,0101000020110F00003A7A9379AFA461C1CC2F44A6BE2E5041,28898,>1m <=5m,ATBI DATABASE,,1446839566000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,310095,3938728,35.574059,-83.095703,Lower Johnathans Creek,,4946.144043,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446839566000,GRSM,UNR,,7,,,Cataloochee Divide Trail,The Purchase Road (closed Winter),Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1377475200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand,No,day,prob.,ATBI
0101000020E61000009B195BDAD9C654C024719B18AEC94140,29756,0101000020110F00009CD1CC434DA561C1D8A89507F42E5041,28891,>1m <=5m,ATBI DATABASE,,1446839563000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309071,3938923,35.575619,-83.107043,Upper Cataloochee Creek,Double Gap Branch,4174.820801,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446839563000,GRSM,UNR,,8,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Rubus_canadensis,Rubus  canadensis,35421,Smooth Blackberry,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900374400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
