the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A1A4A23F61F954C08B407A6CC6BB4140,136516,0101000020110F000075CBE74C37D061C11FEAE98671205041,136093,>1m <=5m,ATBI DATABASE,,1446895633000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237158,3928689,35.466986,-83.896556,Lake Cheoah-Little Tennessee River,,1793.683472,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446895633000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000075E2639195EB54C0975056207BD54140,136579,0101000020110F0000E543CAD77FC461C16E68366A483B5041,136151,>1m <=5m,ATBI DATABASE,,1446895666000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,257330,3950417,35.667813,-83.681,Little River-Goshen Prong,,1576.253418,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895666000,GRSM,UNR,,5,,,Meigs Creek Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000B6DB0BB846EB54C05C5CE8EC52D54140,136581,0101000020110F00004D085FE03CC461C1F80090631E3B5041,136153,>1m <=5m,ATBI DATABASE,,1446895667000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,257762,3950269,35.666586,-83.676187,Little River-Goshen Prong,Little River,1580.950806,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895667000,GRSM,UNR,,3,,,Meigs Creek Trail,Lr Pullout Parking @ Mp 7.969,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000008393AC4452ED54C03F261ECC3DD44140,136565,0101000020110F0000C34BED86F9C561C12AD172B2FC395041,136138,>1m <=5m,ATBI DATABASE,,1446895658000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254843,3949410,35.658129,-83.708142,Little River-Crooked Creek,Middle Prong Little River,1301.954102,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895658000,GRSM,UNR,,10,,,Chestnut Top Trail,Tremont Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000007FAD642A31ED54C08A0B126B89D44140,136566,0101000020110F000009B1B769DDC561C16A8545BE4B3A5041,136139,>1m <=5m,ATBI DATABASE,,1446895658000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255033,3949661,35.660437,-83.706122,Little River-Goshen Prong,Little River,1240.236572,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895658000,GRSM,UNR,,6,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000293E5DC11CED54C0143D8FE280D44140,136567,0101000020110F0000D6461914CCC561C17B7DC8D2423A5041,136140,>1m <=5m,ATBI DATABASE,,1446895659000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255145,3949629,35.660176,-83.704876,Little River-Goshen Prong,Little River,1345.267212,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895659000,GRSM,UNR,,2,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000693048B898EC54C0551F0F5730D54140,136572,0101000020110F00002B37D4F05BC561C119F4E33BFA3A5041,136145,>1m <=5m,ATBI DATABASE,,1446895662000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255891,3950203,35.665531,-83.696817,Little River-Goshen Prong,Little River,1557.112671,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895662000,GRSM,UNR,,10,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000A39A132DB9EC54C05B83C46454D54140,136570,0101000020110F000094A67D8177C561C18BB57BEC1F3B5041,136143,>1m <=5m,ATBI DATABASE,,1446895661000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255715,3950330,35.666631,-83.698798,Little River-Goshen Prong,Little River,1206.993896,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895661000,GRSM,UNR,,10,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000BD67A153C6EC54C0F712A6D950D54140,136569,0101000020110F00001FC4B4AC82C561C1D87F30381C3B5041,136142,>1m <=5m,ATBI DATABASE,,1446895660000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255642,3950320,35.666523,-83.699601,Little River-Goshen Prong,Little River,1198.785645,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895660000,GRSM,UNR,,2,,,Roundtop Trail,Lr Pullout Parking @ Mp 11.374,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000CD1A6EB37DEC54C064DA7FF0E3D54140,136574,0101000020110F0000E62F58FE44C561C1832E4EFDB53B5041,136146,>1m <=5m,ATBI DATABASE,,1446895662000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256057,3950807,35.671012,-83.695168,Little River-Goshen Prong,Little River,1428.754395,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895662000,GRSM,UNR,,6,,,Roundtop Trail,Lr Pullout Parking @ Mp 10.542,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E610000015BF1DCC79EC54C02C9917EB51D54140,136575,0101000020110F0000AF7AA0AD41C561C1AF6A0B561D3B5041,136147,>1m <=5m,ATBI DATABASE,,1446895663000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256065,3950312,35.666556,-83.69493,Little River-Goshen Prong,Little River,1225.800293,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895663000,GRSM,UNR,,8,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E610000008DA157467EC54C05EA6D1E422D54140,136576,0101000020110F0000D251491932C561C156E7752DEC3A5041,136148,>1m <=5m,ATBI DATABASE,,1446895664000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256162,3950150,35.665121,-83.69381,Little River-Goshen Prong,Little River,1530.180176,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895664000,GRSM,UNR,,4,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000EE969DABB1EC54C097CB708AEED44140,136571,0101000020110F0000DCE8972171C561C1D3022273B53A5041,136144,>1m <=5m,ATBI DATABASE,,1446895661000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255747,3949984,35.663523,-83.69834,Little River-Goshen Prong,Little River,1488.807739,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895661000,GRSM,UNR,,5,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000C19DEB5EDBEC54C054244D26A8D44140,136568,0101000020110F00009813228C94C561C11BB804DE6B3A5041,136141,>1m <=5m,ATBI DATABASE,,1446895659000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255510,3949752,35.661375,-83.700885,Little River-Goshen Prong,Little River,1164.171265,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895659000,GRSM,UNR,,4,,,Roundtop Trail,Little River Gorge Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000A9E5BBB270ED54C002CBAC06EAD34140,136564,0101000020110F00007CF7065F13C661C1164E4F22A5395041,136137,>1m <=5m,ATBI DATABASE,,1446895657000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254667,3949131,35.655573,-83.709999,Little River-Crooked Creek,West Prong Little River,1160.92395,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895657000,GRSM,UNR,,4,,,Chestnut Top Trail,Laurel Creek Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,985478400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000D69CBEC9EFEF54C00CE838D0A6D14140,136558,0101000020110F00000143832632C861C1839EE1C747375041,136131,>1m <=5m,ATBI DATABASE,,1446895654000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251080,3947268,35.637896,-83.749006,Little River-Crooked Creek,,1875.316162,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895654000,GRSM,UNR,,6,,,Scott Mountain Trail,Laurel Creek Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1034035200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000026306F5F0EF54C00D811BEA76D14140,136557,0101000020110F00001210B12433C861C120DFE5B915375041,136130,>1m <=5m,ATBI DATABASE,,1446895653000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251069,3947106,35.636435,-83.749078,Little River-Crooked Creek,,1649.617188,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895653000,GRSM,UNR,,7,,,Scott Mountain Trail,Laurel Creek Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1034035200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000049071938E8EF54C04ADB1B2369D14140,136560,0101000020110F0000B662DEB82BC861C178E8345407375041,136133,>1m <=5m,ATBI DATABASE,,1446895655000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251116,3947058,35.636014,-83.748544,Little River-Crooked Creek,,1643.705322,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895655000,GRSM,UNR,,6,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000E95663F7E7EF54C05461AF615AD14140,136559,0101000020110F00000824E9812BC861C1E720D8E8F7365041,136132,>1m <=5m,ATBI DATABASE,,1446895654000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251116,3947008,35.635564,-83.748529,Little River-Crooked Creek,,1685.15686,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446895654000,GRSM,UNR,,10,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Cercis_canadensis_v_canadensis,Cercis  canadensis v. canadensis,7828,Redbud,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
