the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000B3E63C6D11FB54C03CA28D264EBD4140,203403,0101000020110F0000D5C17459A6D161C1E2FFD70B0A225041,203241,>1m <=5m,ATBI DATABASE,,1446933998000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234803,3930086,35.478941,-83.922934,Chilhowee Lake,,2026.297974,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933998000,GRSM,UNR,,7,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000A18E09BCE9F754C0D26A643153BB4140,203504,0101000020110F0000A71E4F60F8CE61C129603B5EF91F5041,203333,>1m <=5m,ATBI DATABASE,,1446934044000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239227,3928238,35.46347,-83.873637,Lake Cheoah-Little Tennessee River,,1637.353149,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934044000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000F99A20A8E2F754C03EC069BA11BC4140,203506,0101000020110F0000280F745DF2CE61C1BC990A0EC0205041,203335,>1m <=5m,ATBI DATABASE,,1446934044000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239285,3928882,35.469284,-83.873205,Lake Cheoah-Little Tennessee River,Twentymile Creek,1399.199219,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934044000,GRSM,UNR,,3,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B992A354F0F754C04974945819BC4140,203502,0101000020110F00002C5F70FAFDCE61C1ED94B7FFC7205041,203331,>1m <=5m,ATBI DATABASE,,1446934043000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239210,3928910,35.469517,-83.874039,Lake Cheoah-Little Tennessee River,Twentymile Creek,1442.549805,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934043000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E3CBE69F90F754C0550852D335BC4140,203533,0101000020110F0000F678F4B1ACCE61C1A4A4B5B2E5205041,203363,>1m <=5m,ATBI DATABASE,,1446934058000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239743,3928991,35.470386,-83.868198,Lake Cheoah-Little Tennessee River,Twentymile Creek,1552.283447,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934058000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C9717A86ACF754C0ADA084015ABC4140,203519,0101000020110F000059CC2564C4CE61C13955B66D0B215041,203349,>1m <=5m,ATBI DATABASE,,1446934051000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239592,3929118,35.47149,-83.869901,Lake Cheoah-Little Tennessee River,Twentymile Creek,1512.143066,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934051000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004D08973A9AF754C0326E721142BC4140,203525,0101000020110F000087AC1EDAB4CE61C1576A1777F2205041,203355,>1m <=5m,ATBI DATABASE,,1446934054000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239691,3929034,35.470759,-83.868784,Lake Cheoah-Little Tennessee River,Twentymile Creek,1510.003662,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934054000,GRSM,UNR,,6,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000005150C401B8F754C0CC4A2F4B6ABC4140,203517,0101000020110F0000CA807C24CECE61C1656C0E6A1C215041,203347,>1m <=5m,ATBI DATABASE,,1446934050000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239530,3929175,35.471987,-83.870602,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1487.986572,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934050000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002341903ABCF754C0BE68383A6EBC4140,203514,0101000020110F0000C94268BAD1CE61C1FFCB3F8420215041,203344,>1m <=5m,ATBI DATABASE,,1446934049000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239507,3929189,35.472107,-83.870859,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1470.776367,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934049000,GRSM,UNR,,3,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000CAFF5BFEC0F754C03BFA031868BC4140,203513,0101000020110F0000C85A61C6D5CE61C14AB7C01E1A215041,203343,>1m <=5m,ATBI DATABASE,,1446934048000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239480,3929169,35.47192,-83.87115,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1485.694824,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934048000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1286841600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,NYBG Lichens
0101000020E610000066219205B2F754C0B464F310C4BC4140,203518,0101000020110F0000F317310FC9CE61C1C6FE1C097A215041,203348,>1m <=5m,ATBI DATABASE,,1446934051000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239572,3929478,35.474727,-83.870236,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1539.48291,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934051000,GRSM,UNR,,4,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000BFD9F5F1A1F754C08C5B821CECBC4140,203521,0101000020110F00002271CD67BBCE61C13E8572CCA3215041,203351,>1m <=5m,ATBI DATABASE,,1446934052000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239665,3929611,35.475949,-83.869255,Lake Cheoah-Little Tennessee River,,1577.637207,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934052000,GRSM,UNR,,3,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E61000001767AE01A1F754C06DA2B416EABC4140,203522,0101000020110F0000FABFBB9BBACE61C182486DB0A1215041,203352,>1m <=5m,ATBI DATABASE,,1446934053000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239670,3929604,35.475887,-83.869198,Lake Cheoah-Little Tennessee River,,1586.233887,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934053000,GRSM,UNR,,9,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007B356BE9A4F754C0D5B7D65BE6BC4140,203520,0101000020110F00000A90CFECBDCE61C1747697CC9D215041,203350,>1m <=5m,ATBI DATABASE,,1446934052000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239648,3929592,35.475773,-83.869436,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1574.895386,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934052000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000025B0EB0A02F754C0EBFE85B355BC4140,203580,0101000020110F0000C711A99933CE61C1C6EB7FF006215041,203410,>1m <=5m,ATBI DATABASE,,1446934081000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240536,3929076,35.471359,-83.859496,Lake Cheoah-Little Tennessee River,Twentymile Creek,1756.407593,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934081000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007FD6CCBF15F754C0453AD00B43BC4140,203575,0101000020110F0000D435475644CE61C102F12E7CF3205041,203405,>1m <=5m,ATBI DATABASE,,1446934079000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240425,3929016,35.470789,-83.860698,Lake Cheoah-Little Tennessee River,Twentymile Creek,1721.15686,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934079000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086998400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,203573,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,203403,>1m <=5m,ATBI DATABASE,,1446934078000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934078000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000D905A20B30F754C0CD9118BB3FBC4140,203567,0101000020110F0000F536A0AB5ACE61C123A21B07F0205041,203398,>1m <=5m,ATBI DATABASE,,1446934075000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240279,3929009,35.470688,-83.862303,Lake Cheoah-Little Tennessee River,Twentymile Creek,1682.416626,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446934075000,GRSM,UNR,,8,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Liriodendron_tulipifera,Liriodendron  tulipifera,23010,Tuliptree,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Magnoliales, , , , ,Magnoliaceae, ,~,observed, , ,cert,INHS plant survey
