the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000037667921D4EE54C044B2E910D1BC4140,192003,0101000020110F0000DAD27D3D41C761C16C66D29787215041,191715,>1m <=5m,ATBI DATABASE,,1446927263000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252147,3929165,35.475123,-83.731693,Hazel Creek,Shehan Branch,1748.619385,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446927263000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive West,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1344297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000C84BC00D83D854C04D0CFBDDBEDB4140,192016,0101000020110F0000ED2A401F4DB461C186C1BA7DD5415041,191728,>1m <=5m,ATBI DATABASE,,1446927270000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284441,3955151,35.716755,-83.382995,Little Pigeon River Middle,Little Pigeon River,1611.958252,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927270000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1356220800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000007F1496F407D954C001BAF002B3DA4140,192013,0101000020110F0000ECEDDAFEBDB461C12E60C250BD405041,191725,>1m <=5m,ATBI DATABASE,,1446927268000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283685,3954262,35.708581,-83.391107,Little Pigeon River Middle,Rhododendron Creek,1920.804688,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927268000,GRSM,UNR,,6,,,Grapeyard Ridge Trail,Greenbrier Unpaved Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1355788800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000019FBE9D7E7D954C03A045ECB03DA4140,192011,0101000020110F00001DF3C7247CB561C17AC5070E06405041,191723,>1m <=5m,ATBI DATABASE,,1446927267000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282434,3953699,35.703234,-83.404772,Little Pigeon River Middle,,2096.95459,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927267000,GRSM,UNR,,4,,,Rayfield-Dodgen Cemetery Access,Greenbrier Pavilion Parking,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1355788800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000099D1F76928D854C095A4594363DA4140,192018,0101000020110F00008A36452400B461C143D792E769405041,191730,>1m <=5m,ATBI DATABASE,,1446927271000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284913,3953962,35.706147,-83.377463,Little Pigeon River Upper,,1731.134644,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446927271000,GRSM,UNR,,7,,,Old Settlers Trail,Ramsey Prong Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1132444800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,General
0101000020E6100000DF91CF30B7E854C015456556BED84140,192005,0101000020110F000099C6D62210C261C1CD2FA1B0B13E5041,191717,>1m <=5m,ATBI DATABASE,,1446927264000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261464,3953135,35.693302,-83.636177,Little River-Goshen Prong,,2210.948242,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446927264000,GRSM,UNR,,8,,,Little Greenbrier Trail,Wear Cove Gap Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1354406400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000D669F8A460EF54C07DF25798A3D14140,192002,0101000020110F00000A301894B8C761C1456FEA6A44375041,191714,>1m <=5m,ATBI DATABASE,,1446927262000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251871,3947235,35.637798,-83.74027,Little River-Crooked Creek,,1854.546387,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927262000,GRSM,UNR,,6,,,Schoolhouse Gap Trail,Laurel Creek Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1137283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000001DFE0022DFE954C0830CE2D83AD34140,192004,0101000020110F00002513D87A0BC361C1AC82F508EE385041,191716,>1m <=5m,ATBI DATABASE,,1446927263000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259700,3948400,35.650227,-83.65424,Little River-Goshen Prong,Henderson Prong,2278.466309,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927263000,GRSM,UNR,,4,,,Meigs Creek Trail,Little River Gorge Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1131840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,General
0101000020E61000008250EBF113E654C0929AF2F868D24140,192007,0101000020110F00005EAE54A6D2BF61C1637A04B012385041,191719,>1m <=5m,ATBI DATABASE,,1446927265000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,265049,3947546,35.643822,-83.594963,Little River-Goshen Prong,Shields Branch,2697.85376,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927265000,GRSM,UNR,,6,,,Meigs Mountain Trail,Elkmont Cemetery Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1355011200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000003A8D296235E754C04E3D4BCABCD74140,192006,0101000020110F0000F1184B78C8C061C1509C1F60A43D5041,191718,>1m <=5m,ATBI DATABASE,,1446927264000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263572,3952206,35.685442,-83.612629,Little River-Goshen Prong,Poplar Branch,3630.845215,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446927264000,GRSM,UNR,,6,,,Little Greenbrier Trail,Lr Pullout Parking @ Mp 2.509,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1359244800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000E5C85B92A9FE54C0A2A5C5F57CC34140,191995,0101000020110F0000F65231D4B3D461C1C12E79537D285041,191707,>1m <=5m,ATBI DATABASE,,1446927258000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229868,3935598,35.527244,-83.979096,Chilhowee Lake,Shop Creek,1097.162231,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927258000,GRSM,UNR,,1,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1166918400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000061E675A373FE54C04C23111A81C34140,191996,0101000020110F00004168FD0586D461C11C0BF8A581285041,191708,>1m <=5m,ATBI DATABASE,,1446927259000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,230167,3935603,35.527371,-83.975804,Chilhowee Lake,Shop Creek,1121.066406,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927259000,GRSM,UNR,,4,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1166918400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E610000047E26EDB1AFF54C02AF034EAB8C34140,191994,0101000020110F0000C47FD00A14D561C18C9ADCE4BB285041,191706,>1m <=5m,ATBI DATABASE,,1446927257000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229247,3935820,35.529074,-83.98601,Chilhowee Lake,Shop Creek,1141.752197,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927257000,GRSM,UNR,,4,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1143331200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000008102E30479FA54C0D492E19413CC4140,191997,0101000020110F00002C57DBE824D161C119A61FB574315041,191709,>1m <=5m,ATBI DATABASE,,1446927259000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,236026,3942865,35.594341,-83.913632,Abrams Creek Lower,,1822.495117,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927259000,GRSM,UNR,,10,,,Rabbit Creek Trail,Abrams Creek Campground Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1142726400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000007273F000BAF954C0CBE20025FECC4140,191998,0101000020110F0000ABB31DAE82D061C17E80FCB469325041,191710,>1m <=5m,ATBI DATABASE,,1446927260000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,237106,3943628,35.601499,-83.901974,Abrams Creek Lower,Rabbit Creek,1723.810547,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927260000,GRSM,UNR,,5,,,Hannah Mountain Trail,Abrams Creek Campground Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1142726400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000CD73AA3379F954C0B4ACC5F8C7CC4140,191999,0101000020110F00001F44D7A44BD061C1A193361F31325041,191711,>1m <=5m,ATBI DATABASE,,1446927260000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,237459,3943434,35.599846,-83.898018,Abrams Creek Lower,Rabbit Creek,1652.947144,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927260000,GRSM,UNR,,4,,,Abrams Falls Trail,Abrams Creek Campground Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1142726400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000A655FCF82EF054C022A717CB20D14140,192001,0101000020110F00006E6C26D067C861C1FA8B39BBBB365041,191713,>1m <=5m,ATBI DATABASE,,1446927261000,DERV,KINZEL SPRINGS,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,250718,3946824,35.633806,-83.752863,Little River-Crooked Creek,,1750.566284,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927261000,GRSM,UNR,,6,,,Scott Mountain Trail,Laurel Creek Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1357430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000B94187D54CF054C05AA9515C56D14140,192000,0101000020110F0000D39EA92C81C861C102442CB5F3365041,191712,>1m <=5m,ATBI DATABASE,,1446927261000,DERV,KINZEL SPRINGS,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,250558,3947010,35.635441,-83.754685,Little River-Crooked Creek,,1724.498535,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446927261000,GRSM,UNR,,4,,,Scott Mountain Trail,Laurel Creek Road,Valid,Ilex_opaca_variety,Ilex  opaca variety,20696,American Holly,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1356912000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Celastrales, , , , ,Aquifoliaceae, ,~,observed,No,day,cert,ATBI
