the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002D1F5673B1F354C0859E69A329BB4140,212955,0101000020110F0000BA6403E462CB61C1DADA9F09CE1F5041,212721,>1m <=5m,ATBI DATABASE,,1446939298000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245208,3927925,35.462201,-83.807702,Lower Fontana Lake-Little Tennessee River,,1957.863037,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939298000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive West,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1181347200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E610000085728E799EDC54C0A9708AE2E3D14140,212977,0101000020110F0000B9B22718CAB761C198782D9A87375041,212743,>1m <=5m,ATBI DATABASE,,1446939310000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278422,3946752,35.63976,-83.447169,West Prong Little Pigeon River Upper,Trout Branch,5290.372559,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446939310000,GRSM,UNR,,8,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,646358400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B707633C91DC54C04C81F0949AD14140,212978,0101000020110F0000C475BBD9BEB761C1C956A6FF3A375041,212744,>1m <=5m,ATBI DATABASE,,1446939310000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278489,3946502,35.637523,-83.44636,West Prong Little Pigeon River Upper,,4921.393555,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446939310000,GRSM,UNR,,10,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000826E04E98FD054C027F2303632DE4140,212981,0101000020110F0000A0948FAC8CAD61C1D3998FCD65445041,212747,>1m <=5m,ATBI DATABASE,,1446939312000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295728,3957009,35.7359,-83.25878,Cosby Creek,,4926.158203,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939312000,GRSM,UNR,,10,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961459200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000996A61076FD054C0AB43A3782BDE4140,212983,0101000020110F0000B39475BF70AD61C1EFCE1DC05E445041,212749,>1m <=5m,ATBI DATABASE,,1446939313000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295909,3956982,35.735695,-83.256773,Cosby Creek,,4894.605469,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939313000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961459200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000001FAC52BC42D054C073E19FDD17DE4140,212984,0101000020110F0000FBB131214BAD61C1CD63C13C4A445041,212750,>1m <=5m,ATBI DATABASE,,1446939314000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296152,3956910,35.735096,-83.254069,Cosby Creek,,5131.347656,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939314000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961459200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000099AD488EACDA54C0EB4010FF34DB4140,212980,0101000020110F0000F612293623B661C1AD57804645415041,212746,>1m <=5m,ATBI DATABASE,,1446939312000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281373,3954759,35.712548,-83.416778,Little Pigeon River Middle,,2156.730225,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939312000,GRSM,UNR,,7,,,"Backcountry Camp 32, Injun Creek Access",Greenbrier Unpaved Road,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900633600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000797828CD90DD54C006713155DCD84140,212976,0101000020110F000045D402E797B861C1DF92B50ED13E5041,212742,>1m <=5m,ATBI DATABASE,,1446939309000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277234,3952827,35.694217,-83.461959,Roaring Fork,,2759.564453,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446939309000,GRSM,UNR,,7,,,Grapeyard Ridge Trail,Roaring Fork Motor Nature Trail,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902966400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D69CBEC9EFEF54C00CE838D0A6D14140,212966,0101000020110F00000143832632C861C1839EE1C747375041,212732,>1m <=5m,ATBI DATABASE,,1446939304000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251080,3947268,35.637896,-83.749006,Little River-Crooked Creek,,1875.316162,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446939304000,GRSM,UNR,,6,,,Scott Mountain Trail,Laurel Creek Road,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1034035200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000099E494D477E054C00650E14FA7C34140,212973,0101000020110F00002EB007F50EBB61C1475D1786A9285041,212739,>1m <=5m,ATBI DATABASE,,1446939308000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272661,3934550,35.528537,-83.50731,Forney Creek,,4859.163574,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939308000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007569E26E47E654C043D67F4F4CC04140,212968,0101000020110F0000D9BEED60FEBF61C1D595AE3929255041,212734,>1m <=5m,ATBI DATABASE,,1446939305000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264350,3931855,35.502322,-83.598106,Forney Creek,,4354.428711,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939305000,GRSM,UNR,,7,,,Bear Creek Trail,Lakeview Drive East Parking #4,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149638400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000000DDD06F7DBE654C0EB72B6FF0FC24140,212967,0101000020110F00002243D8867CC061C1D58F307D00275041,212733,>1m <=5m,ATBI DATABASE,,1446939305000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263568,3933406,35.516106,-83.607172,Hazel Creek,Hawk Ridge Branch,4778.848145,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446939305000,GRSM,UNR,,6,,,Welch Ridge Trail,Lakeview Drive East Parking #4,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149552000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000000D08B2D3ECF354C00CFAD96F7DCF4140,212956,0101000020110F0000D6D5AE5195CB61C178AC0C8E05355041,212722,>1m <=5m,ATBI DATABASE,,1446939298000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245382,3945554,35.621009,-83.811326,Abrams Creek Upper,Tater Branch,2527.760742,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446939298000,GRSM,UNR,,7,,,Indian Grave Gap Trail,Rich Mountain Road (closed Winter),Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,870825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001E5FD3672DF154C0943DB62364CA4140,212961,0101000020110F0000A0AE30E73FC961C107185920B22F5041,212727,>1m <=5m,ATBI DATABASE,,1446939301000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249147,3941024,35.581174,-83.768392,Abrams Creek Upper,Maynard Creek,3371.639404,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446939301000,GRSM,UNR,,4,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000264E21692DF154C07E7A426F64CA4140,212962,0101000020110F0000CA4A4CE83FC961C19C9E3D6FB22F5041,212728,>1m <=5m,ATBI DATABASE,,1446939302000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249147,3941025,35.581183,-83.768393,Abrams Creek Upper,Maynard Creek,3371.639404,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446939302000,GRSM,UNR,,4,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000259E81CB02F154C0ED9BCA9586CA4140,212963,0101000020110F0000DB48C0B61BC961C1394AE818D62F5041,212729,>1m <=5m,ATBI DATABASE,,1446939302000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249386,3941134,35.582225,-83.765791,Abrams Creek Upper,Maynard Creek,3619.154541,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446939302000,GRSM,UNR,,10,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,960940800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000DF25C49EEEF054C006D13B9E21CA4140,212965,0101000020110F0000EFF055940AC961C172001EA96C2F5041,212731,>1m <=5m,ATBI DATABASE,,1446939304000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249488,3940789,35.579144,-83.76456,Abrams Creek Upper,,3491.335938,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446939304000,GRSM,UNR,,7,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,839980800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E289494DF5F054C014AAA8B501CA4140,212964,0101000020110F00007AEF144110C961C1B4D825574B2F5041,212730,>1m <=5m,ATBI DATABASE,,1446939303000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249448,3940682,35.57817,-83.764968,Abrams Creek Upper,,3417.666504,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446939303000,GRSM,UNR,,4,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Melampyrum_lineare_v_latifolium,Melampyrum  lineare v. latifolium,24049,Narrowleaf Cowwheat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,839462400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Scrophulariales, , , , ,Scrophulariaceae, ,~,observed, ,day,cert,Fridley Veg Plots
