the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000DDCE000F33F854C0BB1500F2C4BB4140,235577,0101000020110F000042097FA636CF61C1C9D53DFC6F205041,235564,>1m <=5m,ATBI DATABASE,,1446952305000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238832,3928635,35.466941,-83.878112,Lake Cheoah-Little Tennessee River,Twentymile Creek,1302.176514,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446952305000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1191974400000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E61000001E4E08CCCCC354C0C5C5F069B2D24140,235735,0101000020110F00003774EDE9B5A261C1886514715F385041,235721,>1m <=5m,ATBI DATABASE,,1446952401000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313555,3946646,35.646063,-83.059371,Lower Cataloochee Creek,,3571.491943,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952401000,GRSM,UNR,,7,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1222473600000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,dip sample/scoop sample, , ,cert,Turbellaria and Nemertea
0101000020E61000004655370AF5C354C063CB2A20B8D24140,235734,0101000020110F0000264E9317D8A261C1A77E496965385041,235720,>1m <=5m,ATBI DATABASE,,1446952401000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313333,3946670,35.646237,-83.061827,Lower Cataloochee Creek,,3297.562012,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952401000,GRSM,UNR,,6,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1274486400000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,dip sample/scoop sample, , ,cert,Turbellaria and Nemertea
0101000020E61000000A5A67CDA6C354C021F38C7317D24140,235736,0101000020110F0000DA4519A595A261C1C744E57DBD375041,235722,>1m <=5m,ATBI DATABASE,,1446952402000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313754,3946117,35.641334,-83.057052,Lower Cataloochee Creek,Hoglen Branch,3468.814941,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952402000,GRSM,UNR,,4,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1188000000000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E6100000CD2B3C074DC354C015EB46F2B1D14140,235737,0101000020110F0000C7EC556649A261C177383D6A53375041,235723,>1m <=5m,ATBI DATABASE,,1446952402000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,314243,3945763,35.638236,-83.051573,Lower Cataloochee Creek,,3668.504883,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952402000,GRSM,UNR,,3,,,Cataloochee Divide Trail,Old Cataloochee Turnpike,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1276905600000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, , ,cert,Turbellaria and Nemertea
0101000020E6100000612122B174C754C014D4B8838DCF4140,235710,0101000020110F0000FFB606C5D0A561C1E3864D5A16355041,235696,>1m <=5m,ATBI DATABASE,,1446952389000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308324,3944031,35.621499,-83.116493,Upper Cataloochee Creek,Rough Fork,2779.013184,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952389000,GRSM,UNR,,6,,,Doc Caldwell Cemetery Access,Cataloochee Entrance Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1274486400000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,dip sample/scoop sample, , ,cert,Turbellaria and Nemertea
0101000020E61000008A203B6078C754C03CCC9ED184CF4140,235709,0101000020110F0000B7D5FFE5D3A561C1461379440D355041,235695,>1m <=5m,ATBI DATABASE,,1446952388000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308303,3944002,35.621234,-83.116718,Upper Cataloochee Creek,,2780.956787,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952388000,GRSM,UNR,,6,,,Doc Caldwell Cemetery Access,Cataloochee Entrance Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1285459200000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,dip sample/scoop sample, , ,cert,Turbellaria and Nemertea
0101000020E6100000CCAECDBC78C754C0FB925DCE84CF4140,235708,0101000020110F00008F069F34D4A561C16B8612410D355041,235694,>1m <=5m,ATBI DATABASE,,1446952388000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308301,3944002,35.621234,-83.11674,Upper Cataloochee Creek,,2780.956787,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952388000,GRSM,UNR,,6,,,Doc Caldwell Cemetery Access,Cataloochee Entrance Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1285459200000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,dip sample/scoop sample, , ,cert,Turbellaria and Nemertea
0101000020E6100000294B913570C754C0CBCD56AFB9CF4140,235711,0101000020110F00007CF465F6CCA561C160519D8044355041,235697,>1m <=5m,ATBI DATABASE,,1446952389000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308352,3944180,35.622847,-83.11622,Upper Cataloochee Creek,Rough Fork,2769.659668,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952389000,GRSM,UNR,,6,,,Doc Caldwell Cemetery Access,Cataloochee Entrance Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1189123200000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E61000004F49910D68C754C0EC44D41466CF4140,235712,0101000020110F000086260F09C6A561C18AD43927ED345041,235698,>1m <=5m,ATBI DATABASE,,1446952390000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308391,3943896,35.620296,-83.115722,Upper Cataloochee Creek,,2831.942383,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952390000,GRSM,UNR,,4,,,Doc Caldwell Cemetery Access,Cataloochee Entrance Road,Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1307750400000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, , ,cert,Turbellaria and Nemertea
0101000020E610000025C2B4DFA2C454C0FB6939567DCA4140,235727,0101000020110F00001F6EB4BA6BA361C180067D70CC2F5041,235713,>1m <=5m,ATBI DATABASE,,1446952397000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312222,3939558,35.581943,-83.072437,Lower Johnathans Creek,,4625.068359,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952397000,GRSM,UNR,,3,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1315267200000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,Dip sample/ scoop sample, , ,cert,Turbellaria and Nemertea
0101000020E6100000979CFEDFBDC454C0AFB9F82274CA4140,235719,0101000020110F00008D4750A982A361C14218F0D4C22F5041,235705,>1m <=5m,ATBI DATABASE,,1446952393000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312072,3939530,35.581662,-83.074085,Lower Johnathans Creek,,4629.086914,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952393000,GRSM,UNR,,4,,,Ferguson Cabin Trail,The Purchase Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1315353600000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,Dip sample/ scoop sample, , ,cert,Turbellaria and Nemertea
0101000020E61000004564A453C1C454C05B04AC80BBCA4140,235718,0101000020110F0000C5B6CB9785A361C19513E75B0D305041,235704,>1m <=5m,ATBI DATABASE,,1446952393000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312058,3939772,35.58384,-83.074296,Lower Johnathans Creek,,4784.412109,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952393000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184284800000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E6100000971A5058CAC454C0B6C4F9C48FCA4140,235717,0101000020110F0000F6F08C408DA361C172FC39B0DF2F5041,235703,>1m <=5m,ATBI DATABASE,,1446952392000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312005,3939625,35.582506,-83.074846,Lower Johnathans Creek,,4694.543945,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952392000,GRSM,UNR,,7,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1285372800000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, , ,cert,Turbellaria and Nemertea
0101000020E61000005EE69768A0C454C07F9A5C91BACA4140,235728,0101000020110F00005658B3A269A361C1551DFD610C305041,235714,>1m <=5m,ATBI DATABASE,,1446952398000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312240,3939765,35.583812,-83.072287,Lower Johnathans Creek,,4727.820312,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952398000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1211500800000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, , ,cert,Turbellaria and Nemertea
0101000020E6100000A2CA1C0AA0C454C06DB25EFDB9CA4140,235729,0101000020110F0000F139755269A361C1FC8370C70B305041,235715,>1m <=5m,ATBI DATABASE,,1446952398000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312242,3939763,35.583794,-83.072264,Lower Johnathans Creek,,4727.820312,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952398000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1187913600000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E6100000913D57FB9EC454C0B2EA0418BCCA4140,235730,0101000020110F0000F7CE7D6C68A361C1E3C0F4F90D305041,235716,>1m <=5m,ATBI DATABASE,,1446952399000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312248,3939770,35.583858,-83.0722,Lower Johnathans Creek,Beantown Creek,4727.820312,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952399000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184284800000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,by hand, ,day,cert,Turbellaria and Nemertea
0101000020E6100000A389F146B8C454C06920CBBFACCA4140,235723,0101000020110F0000D40D39E87DA361C13AE1AEF3FD2F5041,235709,>1m <=5m,ATBI DATABASE,,1446952395000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312107,3939721,35.58339,-83.073743,Lower Johnathans Creek,,4722.499023,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446952395000,GRSM,UNR,,4,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Phagocata_morgani_morgani,Phagocata  morgani morgani,30039,Unspecified,Worm,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1252108800000,Animalia, ,Platyhelminthes, ,Turbellaria,Archoophora, ,Protostomia,Ecdysozoa, ,Tricladida, , , , ,Planariidae, ,~,dip sample/scoop sample, , ,cert,Turbellaria and Nemertea
