the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000DDE42A8854F654C09BDE80014ABA4140,149795,0101000020110F00004CA9CC3CA0CD61C176AE11DCE41E5041,149475,>1m <=5m,ATBI DATABASE,,1446903219000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241446,3927275,35.455377,-83.848905,Lake Cheoah-Little Tennessee River,Fox Branch,1623.208862,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903219000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000004D948243AFDD54C0168C7946B0C64140,149822,0101000020110F0000636227C6B1B861C1221F6979D42B5041,149501,>1m <=5m,ATBI DATABASE,,1446903233000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276671,3937081,35.552248,-83.463818,Noland Creek,,5120.379395,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903233000,GRSM,UNR,,6,,,Noland Divide Trail,Noland Divide Trailhead Parking,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1372032000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000CDFC351C60EC54C04CD45E8677D74140,149815,0101000020110F0000795BB5DC2BC561C1BF4932F35B3D5041,149494,>1m <=5m,ATBI DATABASE,,1446903229000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256258,3952169,35.683328,-83.693362,Little River-Goshen Prong,Gilbert Branch,1753.358887,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903229000,GRSM,UNR,,9,,,Roundtop Trail,Little River Gorge Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1149292800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000008BBE99D018E454C00A9835BB72C84140,149820,0101000020110F00003199A5F123BE61C1CC12A3BEAA2D5041,149499,>1m <=5m,ATBI DATABASE,,1446903232000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,267627,3938838,35.565994,-83.564011,Little River-Goshen Prong,Jonas Creek,5422.496582,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446903232000,GRSM,UNR,,4,,,Appalachian Trail,Clingmans Dome Road Parking #3,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000937CBAF4CEEF54C04427F8648DC74140,149811,0101000020110F0000DD41214416C861C18E3C4D4FBB2C5041,149490,>1m <=5m,ATBI DATABASE,,1446903227000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,251017,3938509,35.558996,-83.747002,Eagle Creek,,4956.655762,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903227000,GRSM,UNR,,6,,,Appalachian Trail,Laurel Creek Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E6100000B1902317A8EE54C0ADB1D62031C84140,149813,0101000020110F000021EB31D61BC761C1AC5A3D40662D5041,149492,>1m <=5m,ATBI DATABASE,,1446903228000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,252664,3939018,35.563992,-83.729005,Eagle Creek,Anthony Creek,4935.576172,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903228000,GRSM,UNR,,7,,,Appalachian Trail,Laurel Creek Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000000B59BF943FED54C00AF4D011D5C84140,149814,0101000020110F00001FBFEFA7E9C561C1A8885B6B112E5041,149493,>1m <=5m,ATBI DATABASE,,1446903228000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,254674,3939518,35.568996,-83.707002,Little River-Crooked Creek,Bee Cove Creek,5395.933594,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903228000,GRSM,UNR,,3,,,Appalachian Trail,Laurel Creek Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000005196E22932F254C0A4BBF200E6CC4140,149807,0101000020110F0000070F6F5D1DCA61C11B6EB37D50325041,149486,>1m <=5m,ATBI DATABASE,,1446903224000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247766,3943238,35.600762,-83.784308,Abrams Creek Upper,Cooper Branch,1826.745361,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903224000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000000A06683FF8F354C09E6288B55BCD4140,149803,0101000020110F000086A2CA049FCB61C166F6CE70CB325041,149483,>1m <=5m,ATBI DATABASE,,1446903223000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245266,3943708,35.604354,-83.812023,Abrams Creek Upper,Feezell Branch,1788.464478,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903223000,GRSM,UNR,,6,,,John Oliver Cabin access ,Primitive Baptist Church Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000397F62E328F354C031B1F4FF7CCD4140,149806,0101000020110F000048EC83E8EECA61C16AD73137EE325041,149485,>1m <=5m,ATBI DATABASE,,1446903224000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246416,3943788,35.60537,-83.799366,Abrams Creek Upper,Marthas Branch,1821.907471,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903224000,GRSM,UNR,,7,,,John Oliver Cabin access ,Cades Cove Loop Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000E6BC064A58F354C0D74C8351B2CD4140,149804,0101000020110F00005560782A17CB61C15ECA89E925335041,149484,>1m <=5m,ATBI DATABASE,,1446903223000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246159,3943976,35.606997,-83.80226,Abrams Creek Upper,,1807.006226,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903223000,GRSM,UNR,,7,,,John Oliver Cabin access ,Cades Cove Loop Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899337600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AE3463B006F754C0CF26847164CF4140,149660,0101000020110F0000B400E08B37CE61C1CB492271EB345041,149472,>1m <=5m,ATBI DATABASE,,1446903217000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,240990,3945596,35.620246,-83.859779,Abrams Creek Lower,,1971.587402,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903217000,GRSM,UNR,,4,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,870912000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005776C1E09AF654C0F3CFAD9397CE4140,149796,0101000020110F000015C17FFBDBCD61C15EEAA86815345041,149476,>1m <=5m,ATBI DATABASE,,1446903219000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241566,3944885,35.613994,-83.853199,Abrams Creek Lower,,2162.467285,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903219000,GRSM,UNR,,4,,,Cooper Road Trail,Cades Cove Loop Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,870912000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005970350132F654C03CF3382D34CC4140,149799,0101000020110F00006874DEE982CD61C1149665C096315041,149479,>1m <=5m,ATBI DATABASE,,1446903221000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242086,3942798,35.595335,-83.846798,Abrams Creek Upper,,1719.81543,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903221000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000047C1146472F554C0E7639E6C35CA4140,149800,0101000020110F0000503F082DE0CC61C1B7F0E057812F5041,149480,>1m <=5m,ATBI DATABASE,,1446903221000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,243096,3941038,35.579749,-83.835103,Abrams Creek Upper,Wildcat Branch,1810.74231,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903221000,GRSM,UNR,,6,,,Lawson Cemetery Access,Forge Creek Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000259E81CB02F154C0ED9BCA9586CA4140,149809,0101000020110F0000DB48C0B61BC961C1394AE818D62F5041,149488,>1m <=5m,ATBI DATABASE,,1446903225000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249386,3941134,35.582225,-83.765791,Abrams Creek Upper,Maynard Creek,3619.154541,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903225000,GRSM,UNR,,10,,,Russell Field Trail,Cades Cove Campground Segment A,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,960940800000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000C518683C06F154C065A0A17510C84140,149808,0101000020110F0000C167E6A21EC961C15FFDAD24442D5041,149487,>1m <=5m,ATBI DATABASE,,1446903225000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249307,3939001,35.562995,-83.766001,Abrams Creek Upper,Russell Field Branch,4338.294922,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446903225000,GRSM,UNR,,4,,,Russell Field Trail,Cades Cove Loop Road,Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,0,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,unspecified,No,decade,cert,GRSMNP Grassy Balds
0101000020E61000003107145927F554C0BA15E8310FC34140,149801,0101000020110F000074181F71A0CC61C1F707D6C70A285041,149481,>1m <=5m,ATBI DATABASE,,1446903222000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243333,3934829,35.523894,-83.830522,Lake Cheoah-Little Tennessee River,,4291.560059,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903222000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,873331200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000193E5C514EF654C072EE0CD994C14140,149797,0101000020110F0000C7F3B9F59ACD61C15F182AFE7F265041,149477,>1m <=5m,ATBI DATABASE,,1446903220000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241663,3933595,35.512348,-83.848526,Lake Cheoah-Little Tennessee River,Rye Patch Branch,4469.412109,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446903220000,GRSM,UNR,,6,,,Long Hungry Ridge Trail,Parson Branch Road (closed Winter),Valid,Danthonia_spicata,Danthonia  spicata,11583,Poverty Wild Oat,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026691200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
