the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000AD56B9F207F454C0CBF8267602BB4140,7487,0101000020110F0000D936665AACCB61C1592CE92FA51F5041,6839,>1m <=5m,ATBI DATABASE,,1446827292000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244725,3927806,35.461006,-83.812981,Lake Cheoah-Little Tennessee River,,1913.606812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446827292000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1121990400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000850B1B93F5DF54C0F22E0F8095D74140,7520,0101000020110F0000A3F1B454A0BA61C18B2EEE4A7B3D5041,6872,>1m <=5m,ATBI DATABASE,,1446827312000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273821,3951806,35.684243,-83.49936,Le Conte Creek,Le Conte Creek,2107.668945,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827312000,GRSM,UNR,,6,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086048000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction,No, ,cert,ATBI Ants
0101000020E610000072892D81F7DF54C08599949491D74140,7515,0101000020110F0000639052F8A1BA61C172DEAB31773D5041,6867,>1m <=5m,ATBI DATABASE,,1446827309000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273810,3951793,35.684123,-83.499477,Le Conte Creek,Le Conte Creek,2134.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827309000,GRSM,UNR,,7,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1001548800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E61000001B88C5A5F3DF54C014B6169BD3D74140,7521,0101000020110F0000C6D2B7B19EBA61C16FCC813BBC3D5041,6873,>1m <=5m,ATBI DATABASE,,1446827313000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273837,3952016,35.686138,-83.499242,Le Conte Creek,Le Conte Creek,1973.946045,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446827313000,GRSM,UNR,,1,,,Twin Creeks Trail,Natural Resources Center Parking #4,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1117238400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction, ,day,cert,ATBI Ants
0101000020E6100000A463376192DB54C0A9EBFD045FD64140,7525,0101000020110F000068E4AF66E6B661C1948599AA363C5041,6877,>1m <=5m,ATBI DATABASE,,1446827315000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280000,3950599,35.674768,-83.430805,Porters Creek,Trillium Branch,4571.896484,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827315000,GRSM,UNR,,4,,,Brushy Mountain Trail,Roaring Fork Motor Nature Trail,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,999561600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000FE3761887DDA54C00FC3643D84D74140,7526,0101000020110F0000845B5D46FBB561C1F1BDB03E693D5041,6878,>1m <=5m,ATBI DATABASE,,1446827316000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281554,3951554,35.683716,-83.413908,Porters Creek,Long Branch,3146.763672,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827316000,GRSM,UNR,,6,,,Brushy Mountain Trail,Porters Creek Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000552D6BF363DA54C0DBCAD05A8CD74140,7527,0101000020110F00001178548CE5B561C18DCCE0BA713D5041,6879,>1m <=5m,ATBI DATABASE,,1446827317000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281696,3951578,35.683964,-83.412346,Porters Creek,Long Branch,3085.734375,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827317000,GRSM,UNR,,6,,,Brushy Mountain Trail,Porters Creek Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E61000004EBA113C3CDA54C08B36CC7287D74140,7528,0101000020110F0000786832D1C3B561C12B4D90996C3D5041,6880,>1m <=5m,ATBI DATABASE,,1446827317000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281915,3951556,35.683814,-83.409922,Porters Creek,,2940.30542,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827317000,GRSM,UNR,,10,,,Brushy Mountain Trail,Porters Creek Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E61000001DDD2F9C74D954C0D5829720B0D64140,7535,0101000020110F0000E953A7461AB561C125AE3D778B3C5041,6887,>1m <=5m,ATBI DATABASE,,1446827321000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283000,3950800,35.677243,-83.397738,Porters Creek,Porters Creek,2474.725586,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827321000,GRSM,UNR,,3,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,840931200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Berlese sampling, , ,cert,General
0101000020E61000001B048D01C8D954C0BB61B4FEFED74140,7529,0101000020110F0000A4D1AC1A61B561C15CF63F9AE93D5041,6881,>1m <=5m,ATBI DATABASE,,1446827318000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282567,3951945,35.687462,-83.402828,Porters Creek,,2392.820068,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827318000,GRSM,UNR,,9,,,Brushy Mountain Trail,Porters Creek Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E61000007D927D8894D954C0BD21C6D8FAD74140,7531,0101000020110F0000BDC2646335B561C102DCD343E53D5041,6883,>1m <=5m,ATBI DATABASE,,1446827319000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282851,3951924,35.687336,-83.399687,Porters Creek,,2261.775146,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827319000,GRSM,UNR,,7,,,Brushy Mountain Trail,Porters Creek Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000A6C999E197D654C0E3301662C2D94140,7541,0101000020110F00003CF419F8ABB261C1BA73D7A4C13F5041,6893,>1m <=5m,ATBI DATABASE,,1446827325000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287112,3953364,35.701238,-83.353016,Little Pigeon River Upper,Middle Prong Little Pigeon River,2266.365234,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827325000,GRSM,UNR,,6,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000BA778BC2B9D654C094EE5F4786D94140,7540,0101000020110F0000981609BEC8B261C12ED6E8C8823F5041,6892,>1m <=5m,ATBI DATABASE,,1446827324000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,286920,3953165,35.699403,-83.355084,Little Pigeon River Upper,Little Laurel Branch,2377.422852,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827324000,GRSM,UNR,,6,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E61000005DFA320CF0D654C0B40D4666DAD94140,7539,0101000020110F00009B5451D9F6B261C1B91DECC2DA3F5041,6891,>1m <=5m,ATBI DATABASE,,1446827324000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,286627,3953457,35.701971,-83.358397,Little Pigeon River Upper,Middle Prong Little Pigeon River,2088.618408,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827324000,GRSM,UNR,,7,,,Ramsey Cascades Trail,Ramsey Prong Road,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E61000004546F8F8D3D754C04487C54A3ADA4140,7536,0101000020110F0000646DF26CB8B361C1E53E8E0D3F405041,6888,>1m <=5m,ATBI DATABASE,,1446827322000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285376,3953812,35.704897,-83.372309,Little Pigeon River Upper,Middle Prong Little Pigeon River,1828.616089,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827322000,GRSM,UNR,,7,,,Old Settlers Trail,Ramsey Prong Road,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E6100000C5E2305E94D754C0B29A32601EDA4140,7537,0101000020110F0000944FFA6782B361C1C2120BDB21405041,6889,>1m <=5m,ATBI DATABASE,,1446827322000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285725,3953709,35.704045,-83.368427,Little Pigeon River Upper,,1862.580566,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827322000,GRSM,UNR,,4,,,Ramsey Cascades Trail,Ramsey Prong Road,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1184457600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,unspecified, ,season,cert,ATBI Ants
0101000020E61000003FF7AB21EDD554C02444405862DA4140,7542,0101000020110F0000C3DD8BF31AB261C10665AEF168405041,6894,>1m <=5m,ATBI DATABASE,,1446827325000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,288068,3953883,35.706119,-83.342594,Little Pigeon River Upper,Middle Prong Little Pigeon River,2813.625,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446827325000,GRSM,UNR,,6,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Ponera_pennsylvanica,Ponera  pennsylvanica,32394,Ant B,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087430400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hymenoptera,Aculeata,Apocrita, ,Vespoidea,Formicidae,Ponerinae,Ponerini,Winkler extraction,No, ,cert,ATBI Ants
