the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000516E57BF84DA54C043B49518BDBD4140,30155,0101000020110F00003169FD6601B661C1C1933AC27D225041,29285,>1m <=5m,ATBI DATABASE,,1446839778000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280966,3929213,35.482326,-83.414348,Deep Creek,Indian Creek,2230.031494,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446839778000,GRSM,UNR,,4,,,Indian Creek Trail,Indian Camp Creek Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000373148800ED354C019F73A379AC44140,30174,0101000020110F0000E33E8D07ABAF61C1B65DF906A7295041,29305,>1m <=5m,ATBI DATABASE,,1446839791000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291684,3934909,35.535949,-83.297756,Lower Oconaluftee River,Oconaluftee River,2347.006836,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839791000,GRSM,UNR,,8,,,Chambers Cemetery Access,Nfg Pullout Parking At Mp 28.77,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1140825600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000415963969ED354C0A3124F64D0C14140,30171,0101000020110F0000F5E7EE6625B061C121D3D61EBE265041,29302,>1m <=5m,ATBI DATABASE,,1446839789000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290830,3932511,35.514165,-83.30655,Lower Oconaluftee River,Oconaluftee River,2038.995361,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839789000,GRSM,UNR,,6,,,Enloe-Mingus Cemetery Access,Oconaluftee Visitor Center Employee Parking,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1015718400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000005B57411666D354C0555695B541C34140,30172,0101000020110F00009E688A6AF5AF61C1E6B68B7E3F285041,29303,>1m <=5m,ATBI DATABASE,,1446839790000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291172,3933754,35.525436,-83.303102,Lower Oconaluftee River,Oconaluftee River,2058.279785,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839790000,GRSM,UNR,,4,,,Queen Cemetery Access,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1015718400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000003EAB209424D454C0A65F178FDCC64140,30169,0101000020110F0000FC50693397B061C1EDFAC7B3022C5041,29300,>1m <=5m,ATBI DATABASE,,1446839788000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290191,3936903,35.553599,-83.314729,Upper Oconaluftee River,,2338.784424,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839788000,GRSM,UNR,,5,,,Newton Bald Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000003110F0768DD454C0E56F35D138C74140,30165,0101000020110F0000BE18D047F0B061C174C58803632C5041,29296,>1m <=5m,ATBI DATABASE,,1446839785000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289618,3937229,35.556415,-83.32113,Upper Oconaluftee River,Oconaluftee River,2316.585938,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839785000,GRSM,UNR,,7,,,Newton Bald Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E610000027262B637CD454C0E96266AE32C74140,30166,0101000020110F00005A30DEC6E1B061C1CBD5AF9B5C2C5041,29297,>1m <=5m,ATBI DATABASE,,1446839785000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289712,3937206,35.556227,-83.320088,Upper Oconaluftee River,Oconaluftee River,2252.704834,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839785000,GRSM,UNR,,1,,,Newton Bald Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000CF90010B46D454C00569FD6F1DC74140,30167,0101000020110F00004D95439FB3B061C17D67486E462C5041,29298,>1m <=5m,ATBI DATABASE,,1446839786000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290011,3937127,35.555579,-83.316771,Upper Oconaluftee River,,2262.529297,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839786000,GRSM,UNR,,6,,,Newton Bald Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000D9D4D40D2FD454C0A16E517A27C74140,30168,0101000020110F00007DB5FB18A0B061C1A4508FE9502C5041,29299,>1m <=5m,ATBI DATABASE,,1446839787000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290139,3937158,35.555885,-83.315368,Upper Oconaluftee River,,2231.533936,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839787000,GRSM,UNR,,6,,,Smokemont Loop Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000BA46968F4ED554C054C7BD08F9C74140,30163,0101000020110F00006039FA4694B161C1F213BAAF2B2D5041,29294,>1m <=5m,ATBI DATABASE,,1446839783000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288565,3937905,35.562281,-83.332916,Upper Oconaluftee River,,2651.46167,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839783000,GRSM,UNR,,10,,,Newton Bald Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E61000001F14EF5B48D554C0FA3F9423F5C74140,30164,0101000020110F0000294995028FB161C17F67A99E272D5041,29295,>1m <=5m,ATBI DATABASE,,1446839784000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,288599,3937891,35.562162,-83.332537,Upper Oconaluftee River,,2612.204834,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446839784000,GRSM,UNR,,3,,,Newton Bald Trail,Newfound Gap Road South,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013904000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000056BE322D3D754C0235197B5A2DF4140,27081,0101000020110F00003FA520B7B7B361C14EDFAC63E7455041,29289,>1m <=5m,ATBI DATABASE,,1446839780000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285494,3958499,35.747146,-83.372258,Webb Creek,,1401.704102,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839780000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1179360000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,by hand,No,day,cert,ATBI
0101000020E6100000F2E11A1EE9D754C032442A99D7DF4140,30158,0101000020110F0000BF0B5362CAB361C1E44C47BC1E465041,29288,>1m <=5m,ATBI DATABASE,,1446839779000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,285377,3958681,35.74876,-83.373599,Webb Creek,,1382.15625,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839779000,GRSM,UNR,,5,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1179360000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000ED37ED9E46D954C092AAF59700DF4140,30156,0101000020110F000048B39E37F3B461C14E36BABF3D455041,29286,>1m <=5m,ATBI DATABASE,,1446839778000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283430,3958000,35.742199,-83.394931,Little Pigeon River Middle,Copeland Creek,1372.028076,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839778000,GRSM,UNR,,2,,,Old Settlers Trail,Greenbrier Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1014422400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000FED8125C86D854C0FCEFA71753DD4140,30157,0101000020110F0000F95708EE4FB461C1D5CDFB5C7C435041,29287,>1m <=5m,ATBI DATABASE,,1446839779000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,284456,3956520,35.729091,-83.383197,Little Pigeon River Middle,Copeland Creek,1757.358765,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446839779000,GRSM,UNR,,5,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1356220800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed,No,day,prob.,ATBI
0101000020E6100000CDBE883C3DEB54C00EFF1D1C6FD54140,30150,0101000020110F00008833AFD234C461C1EC6351DA3B3B5041,29280,>1m <=5m,ATBI DATABASE,,1446839775000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,257817,3950363,35.667446,-83.675608,Little River-Goshen Prong,Little River,1592.72876,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446839775000,GRSM,UNR,,10,,,Meigs Creek Trail,Lr Pullout Parking @ Mp 7.969,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1010880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000FA44785D3AE554C0D674CF579CD34140,30152,0101000020110F000095EEEBDB19BF61C12BEBEFEF53395041,29282,>1m <=5m,ATBI DATABASE,,1446839776000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,266279,3948555,35.653202,-83.581683,Little River-Goshen Prong,Jakes Creek,2186.296387,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446839776000,GRSM,UNR,,5,,,Jakes Creek Trail,Jakes Creek Road B,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1014508800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000606C0B76D3E754C0561C2E49D0D44140,30151,0101000020110F000020B3ADB94EC161C11D42AAD2953A5041,29281,>1m <=5m,ATBI DATABASE,,1446839775000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,262631,3949695,35.6626,-83.622277,Little River-Goshen Prong,Little River,1896.110962,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446839775000,GRSM,UNR,,4,,,Curry Mountain Trail,Lr Pullout Parking @ Mp 1.779,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1012003200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000C9C04BBA77E154C08B2D575B8BD44140,30153,0101000020110F0000F972734AE8BB61C1B22C07C54D3A5041,29283,>1m <=5m,ATBI DATABASE,,1446839776000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271620,3949226,35.660496,-83.522929,West Prong Little Pigeon River Upper,,2208.978271,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446839776000,GRSM,UNR,,7,,,Riverview Quiet Walkway,Newfound Gap Road North,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013817600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
0101000020E6100000190D837372E154C0EC6E8C0795D44140,30154,0101000020110F0000E7CD3ACFE3BB61C116DB70E1573A5041,29284,>1m <=5m,ATBI DATABASE,,1446839777000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271650,3949258,35.660791,-83.522606,West Prong Little Pigeon River Upper,,2108.03833,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446839777000,GRSM,UNR,,7,,,Riverview Quiet Walkway,Newfound Gap Road North,Valid,Salix_sericea,Salix  sericea,33171,Silky Willow,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1013817600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Salicales, , , , ,Salicaceae, ,~,observed, , ,cert,Keith Tree Survey
