the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000008B3EF12C99F654C05BD45CAB93BC4140,175312,0101000020110F0000E7D45C89DACD61C1598F3F9047215041,174944,>1m <=5m,ATBI DATABASE,,1446917668000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241123,3929269,35.47325,-83.853095,Lake Cheoah-Little Tennessee River,Twentymile Creek,1867.777954,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446917668000,GRSM,UNR,,5,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027036800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000A92FDE9EE6CC54C034ABD64DDFDF4140,175442,0101000020110F0000508438A270AA61C1739F9FCC26465041,175065,>1m <=5m,ATBI DATABASE,,1446917736000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,300935,3958344,35.748995,-83.201572,Cosby Creek,Cosby Creek,2510.041504,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917736000,GRSM,UNR,,6,,,Cosby Horse Trail,Cosby Campground Road B,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957139200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000660B36E552C554C01322BD0156CE4140,175445,0101000020110F0000F386743901A461C1FAE08DE8D0335041,175068,>1m <=5m,ATBI DATABASE,,1446917738000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311319,3942912,35.611993,-83.083181,Upper Cataloochee Creek,,3448.584473,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917738000,GRSM,UNR,,9,,,Boogerman Trail,Cataloochee Entrance Road,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1033689600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000065AD67BCD8C354C00D249185C1CB4140,175446,0101000020110F00000DAAB40DC0A261C177D972001F315041,175069,>1m <=5m,ATBI DATABASE,,1446917738000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,313363,3940632,35.591836,-83.0601,Lower Johnathans Creek,,4338.147461,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446917738000,GRSM,UNR,,6,,,Science Center Trail,The Purchase Road (closed Winter),Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,935020800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000000FD3DA0EAFD754C0B9422F0E74CB4140,175432,0101000020110F00005618F61299B361C12D0E9518CE305041,175055,>1m <=5m,ATBI DATABASE,,1446917730000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285271,3941002,35.589472,-83.370056,Upper Oconaluftee River,Beech Flats Prong,2980.354736,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446917730000,GRSM,UNR,,10,,,Kanati Fork Quiet Walkway,Newfound Gap Road South,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027468800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000A6C4F7C3C4D754C0359B846873CA4140,175431,0101000020110F000079829E82ABB361C163583A12C22F5041,175054,>1m <=5m,ATBI DATABASE,,1446917729000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,285130,3940136,35.58164,-83.371381,Upper Oconaluftee River,,3532.30835,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446917729000,GRSM,UNR,,4,,,Kanati Fork Trail,Newfound Gap Road South,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1097107200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000404F45225BD354C01147635C0DC14140,175434,0101000020110F000053A11D1DECAF61C14581D9A1F2255041,175057,>1m <=5m,ATBI DATABASE,,1446917732000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291188,3931842,35.508213,-83.302433,Lower Oconaluftee River,Oconaluftee River,2009.75,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446917732000,GRSM,UNR,,6,,,Oconaluftee River Trail,Newfound Gap Road South,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,924566400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009920A96C15D354C03A6DD2DC66C14140,175435,0101000020110F0000715FD5E8B0AF61C1985F600350265041,175058,>1m <=5m,ATBI DATABASE,,1446917732000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,291581,3932136,35.510945,-83.298179,Lower Oconaluftee River,,2021.835327,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446917732000,GRSM,UNR,,6,,,Oconaluftee River Trail,Access Road To Big Cove Road,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969408000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AA93100543D454C0AC031A5806C24140,175433,0101000020110F00001A92F40DB1B061C1F82B3F6AF6265041,175056,>1m <=5m,ATBI DATABASE,,1446917731000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289924,3932715,35.515812,-83.316587,Lower Oconaluftee River,,2483.057373,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446917731000,GRSM,UNR,,4,,,Mingus Creek Trail,Mingus Mill Access Road,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1371168000000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed,No,day,prob.,ATBI
0101000020E61000007B51F051B5DF54C097DDC0E245D14140,175414,0101000020110F0000EE976CC269BA61C1928BE67DE2365041,175039,>1m <=5m,ATBI DATABASE,,1446917721000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274037,3946327,35.634938,-83.495438,West Prong Little Pigeon River Upper,,2903.768311,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917721000,GRSM,UNR,,7,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,874540800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000070AF74ED74DC54C0C2D07B47B3D04140,175423,0101000020110F00007A55E9CEA6B761C1308CB04B49365041,175047,>1m <=5m,ATBI DATABASE,,1446917725000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278626,3945715,35.630464,-83.444633,West Prong Little Pigeon River Upper,Alum Cave Creek,4071.07666,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917725000,GRSM,UNR,,8,,,Alum Cave Trail,Newfound Gap Road North,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,869788800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000049AA17C590DE54C0D359AFE700D34140,175415,0101000020110F0000C602E84B71B961C1CEDCD079B1385041,175040,>1m <=5m,ATBI DATABASE,,1446917721000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275692,3947786,35.648458,-83.477582,West Prong Little Pigeon River Upper,Big Branch,5015.061523,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917721000,GRSM,UNR,,3,,,Bullhead Trail,Newfound Gap Road North,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,872121600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005144DF0D44DE54C00EA0DE1A05D54140,175416,0101000020110F0000C2704F2430B961C1A5C98D09CD3A5041,175041,>1m <=5m,ATBI DATABASE,,1446917722000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276160,3949523,35.664211,-83.4729,Le Conte Creek,Le Conte Creek,3626.453369,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917722000,GRSM,UNR,,2,,,Rainbow Falls Trail,Roaring Fork Motor Nature Trail,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,874281600000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000AA67097E70DD54C013C57E2B66D64140,175420,0101000020110F0000C65758767CB861C111DC63243E3C5041,175044,>1m <=5m,ATBI DATABASE,,1446917724000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277359,3950689,35.674986,-83.459987,Roaring Fork,,3575.993652,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917724000,GRSM,UNR,,2,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,903571200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009411C4CAFFDD54C09F841A114ED74140,175418,0101000020110F00007F74B22AF6B861C1EA8BF199303D5041,175042,>1m <=5m,ATBI DATABASE,,1446917722000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276587,3951494,35.682063,-83.468733,Baskins Creek,Baskins Creek,3162.150146,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917722000,GRSM,UNR,,6,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,872035200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B9B1A9EBD7DD54C0CB427351B8D44140,175419,0101000020110F0000E120CD4DD4B861C11438C7C47C3A5041,175043,>1m <=5m,ATBI DATABASE,,1446917723000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,276751,3949248,35.661868,-83.4663,Le Conte Creek,Le Conte Creek,4066.977783,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917723000,GRSM,UNR,,2,,,Rainbow Falls Trail,Roaring Fork Motor Nature Trail,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900892800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B17F645BA2DC54C09B3E45522ED44140,175422,0101000020110F0000276D3864CDB761C17E573885EC395041,175046,>1m <=5m,ATBI DATABASE,,1446917725000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278450,3948738,35.657657,-83.447405,Le Conte Creek,Le Conte Creek,5928.389648,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917725000,GRSM,UNR,,7,,,Rainbow Falls Trail,Nfg Pullout Parking At Mp 9.48,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,989884800000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002A5AACEDF5DB54C0152AC78AB8D54140,175425,0101000020110F00004AF2A4F23AB761C1D56AC19E883B5041,175049,>1m <=5m,ATBI DATABASE,,1446917727000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279436,3950049,35.669687,-83.436881,Roaring Fork,Surry Fork,4491.190918,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446917727000,GRSM,UNR,,7,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897955200000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000B2FF830DC4DA54C02C167C30AFD74140,175426,0101000020110F0000140DE62A37B661C1BDC76B27963D5041,175050,>1m <=5m,ATBI DATABASE,,1446917727000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,281168,3951709,35.685027,-83.418212,Porters Creek,Long Branch,3187.42627,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446917727000,GRSM,UNR,,6,,,Brushy Mountain Trail,Porters Creek Trailhead Parking,Valid,Galium_triflorum_variety,Galium  triflorum variety,17030,Fragrant Bedstraw,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899078400000,Plantae,Tracheobionta, , ,Magnoliopsida,Asteridae,Spermatophyta,Magnoliophyta, , ,Rubiales, , , , ,Rubiaceae, ,~,observed, ,day,cert,Fridley Veg Plots
