the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002F9706DEC6F354C0E4D3EC4C64BB4140,53631,0101000020110F0000FD88761475CB61C15909FB340B205041,53065,>1m <=5m,ATBI DATABASE,,1446852999000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245095,3928127,35.463992,-83.809009,Lower Fontana Lake-Little Tennessee River,,2048.250488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446852999000,GRSM,UNR,,1,,,Lakeshore Trail,Lakeview Drive West,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086048000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,by hand,No,day,cert,Northshore Road EIS
0101000020E6100000AE595C5308D454C0AFA73B2EAEC74140,53665,0101000020110F000083C69E347FB061C1BE06CE89DD2C5041,53098,>1m <=5m,ATBI DATABASE,,1446853018000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290364,3937609,35.559996,-83.313004,Bradley Fork,Bradley Fork,2221.683594,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853018000,GRSM,UNR,,5,,,Smokemont Nature Trail,Smokemont Campground Road F,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,206236800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000004131EC0F58D954C07C4D4D9162C04140,53663,0101000020110F0000640FBE0702B561C1D7A0EE7140255041,53096,>1m <=5m,ATBI DATABASE,,1446853016000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282687,3931466,35.503001,-83.395996,Deep Creek,,2613.966309,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853016000,GRSM,UNR,,6,,,Deeplow Gap Trail,Galbraith Creek Rd,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1091059200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E6100000752B7FAFC2DD54C0E6DD0E9DB6C34140,53659,0101000020110F0000321BDD44C2B861C1E94D077EB9285041,53092,>1m <=5m,ATBI DATABASE,,1446853014000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276499,3934505,35.529004,-83.465004,Noland Creek,,3505.270996,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853014000,GRSM,UNR,,6,,,Noland Creek Trail,Clingmans Dome Road Parking #3,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000057AEFEA2A0DF54C0D2F5689DBDC44140,53657,0101000020110F0000D03A6D3158BA61C14C311BF9CB295041,53090,>1m <=5m,ATBI DATABASE,,1446853013000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273876,3935462,35.53703,-83.494175,Noland Creek,,5328.973633,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853013000,GRSM,UNR,,7,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993168000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E610000011FE94A970DD54C0BA4B705760C54140,53660,0101000020110F000011FE539B7CB861C1457FEED0752A5041,53093,>1m <=5m,ATBI DATABASE,,1446853015000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276989,3935935,35.541996,-83.459997,Deep Creek,Pole Road Creek,4583.274414,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853015000,GRSM,UNR,,6,,,Noland Divide Trail,Clingmans Dome Access Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,557798400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E610000057A1A467EADF54C0DBB654571EC84140,53656,0101000020110F0000B5132AD896BA61C170F9E2A2522D5041,53089,>1m <=5m,ATBI DATABASE,,1446853012000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273542,3938400,35.563419,-83.498678,Little River-Goshen Prong,Forney Creek,6613.519531,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853012000,GRSM,UNR,,6,,,Appalachian Trail,Clingmans Dome Access Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1182384000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,observed,No,day,cert,ATBI
0101000020E610000045C6EABC11DE54C08DBCDBE530CB4140,53658,0101000020110F00004EDA826805B961C180E26FF587305041,53091,>1m <=5m,ATBI DATABASE,,1446853013000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276224,3940997,35.587423,-83.469829,Deep Creek,,5970.410156,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853013000,GRSM,UNR,,9,,,Fork Ridge Trail,Clingmans Dome Access Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,865555200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000E1B4713B89D954C00B3B482C02CB4140,53662,0101000020110F0000771354CA2BB561C16E68662957305041,53095,>1m <=5m,ATBI DATABASE,,1446853016000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282639,3940680,35.585997,-83.398997,Deep Creek,,4647.351562,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446853016000,GRSM,UNR,,6,,,Thomas Divide Trail,Newfound Gap Road South,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-390787200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000008D72CB6FBAE954C07AAFBFC416D94140,53650,0101000020110F00000DD95650ECC261C16F79E22A0E3F5041,53084,>1m <=5m,ATBI DATABASE,,1446853009000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,260040,3953473,35.696,-83.652,Waldon Creek,,1695.879883,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446853009000,GRSM,UNR,,6,,,Roundtop Trail,Wear Cove Gap Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-390787200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, ,day,cert,ATBI Lepidoptera TWIG
0101000020E61000008EE7E258DFEF54C00563FFA768D14140,53647,0101000020110F00003E99ED2F24C861C16D7C8ED306375041,53081,>1m <=5m,ATBI DATABASE,,1446853008000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251165,3947055,35.635999,-83.748003,Little River-Crooked Creek,,1644.438721,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853008000,GRSM,UNR,,1,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,588902400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E61000006109CC8CDCE654C043B76DD8A9D24140,53652,0101000020110F0000C26E0B067DC061C1FE56987C56385041,53085,>1m <=5m,ATBI DATABASE,,1446853010000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,263946,3947795,35.645801,-83.607207,Little River-Goshen Prong,Kiver Branch,2606.37085,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853010000,GRSM,UNR,,1,,,Meigs Mountain Trail,Little River Gorge Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-997833600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E610000077D5D3ACEBE154C0B38B6C5E0AD74140,53654,0101000020110F0000A398D5C34ABC61C1BB2C54D1E93C5041,53087,>1m <=5m,ATBI DATABASE,,1446853011000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271035,3951406,35.679997,-83.530005,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,1526.375854,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446853011000,GRSM,UNR,,6,,,Old Sugarlands Trail,Sugarlands Valley Nature Trail Parking,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,-1091059200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,unspecified, , ,cert,ATBI Lepidoptera TWiG
0101000020E6100000D19EE7BCF7E054C04F9F563E3CC54140,53655,0101000020110F00001D42CB967BBB61C1A5277723502A5041,53088,>1m <=5m,ATBI DATABASE,,1446853012000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271988,3935939,35.540894,-83.515117,Forney Creek,Steeltrap Creek,3958.923096,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446853012000,GRSM,UNR,,7,,,Forney Creek Trail,Clingmans Dome Road Parking #3,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,269308800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,by hand,No,day,cert,Independent research
0101000020E61000008971E0D099F254C07C2107A64CCC4140,53644,0101000020110F00000C4D9C6575CA61C14C71C34FB0315041,53079,>1m <=5m,ATBI DATABASE,,1446853007000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247178,3942735,35.596082,-83.790634,Abrams Creek Upper,Sea Branch,1853.951904,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853007000,GRSM,UNR,,7,,,Cades Cove Horse Trail,Lone Grove Parking,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1222041600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,ATBI
0101000020E6100000AB5364FBF0F254C01D95169396CC4140,53640,0101000020110F000005D6556DBFCA61C17BF4AF86FD315041,53075,>1m <=5m,ATBI DATABASE,,1446853004000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246703,3942999,35.598338,-83.795954,Abrams Creek Upper,Sea Branch,1792.001831,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853004000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1254787200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,Monarch Watch
0101000020E61000004F9CB829F9F254C0B75BE52599CC4140,53633,0101000020110F0000EDBD0C60C6CA61C1C5BFCF3600325041,53068,>1m <=5m,ATBI DATABASE,,1446853000000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246658,3943009,35.598417,-83.796454,Abrams Creek Upper,Sea Branch,1787.830078,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853000000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1190851200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,Monarch Watch
0101000020E61000003962AC50D3F254C014D7FDDFE8CC4140,53642,0101000020110F00006572233BA6CA61C196FB797D53325041,53077,>1m <=5m,ATBI DATABASE,,1446853005000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246875,3943273,35.60085,-83.794144,Abrams Creek Upper,Rowans Creek,1785.962524,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446853005000,GRSM,UNR,,6,,,John Oliver Cabin access ,Sparks Lane Road,Valid,Speyeria_cybele,Speyeria  cybele,37712,Great Spangled Fritillary,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1285718400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Lepidoptera, ,Ditrysia, ,Papilionoidea,Nymphalidae,Heliconiinae,~,aerial net,No,day,cert,Monarch Watch
