the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000F10EE97D24F754C00B2B44B03FBC4140,132094,0101000020110F0000AF94A1DB50CE61C1B177D0FBEF205041,131657,>1m <=5m,ATBI DATABASE,,1446892995000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240343,3929007,35.470687,-83.861598,Lake Cheoah-Little Tennessee River,Twentymile Creek,1704.007812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446892995000,GRSM,UNR,,2,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000944000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AFCC7C8346E854C0069CB66ACABC4140,132232,0101000020110F0000A62E7F70B0C161C1328D9BA880215041,131800,>1m <=5m,ATBI DATABASE,,1446893074000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261439,3928890,35.47492,-83.6293,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,3240.07959,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893074000,GRSM,UNR,,6,,,Cold Spring Gap Trail,Lakeview Drive East Parking #4,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000057B8155D7FE654C0A4F8098B3DB94140,132234,0101000020110F0000E57C61E12DC061C1A83DC8F6CC1D5041,131802,>1m <=5m,ATBI DATABASE,,1446893075000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263879,3925746,35.447184,-83.60152,Lower Fontana Lake-Little Tennessee River,,2036.844971,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893075000,GRSM,UNR,,8,,,McClure Cemetery Access,Lakeview Drive East Parking #4,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1082937600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009D32D96DE7E754C0D365439475BB4140,132233,0101000020110F00007E9522AF5FC161C109F16F391D205041,131801,>1m <=5m,ATBI DATABASE,,1446893074000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,261935,3927722,35.464519,-83.623496,Lower Fontana Lake-Little Tennessee River,West Fork Chambers Creek,2509.627197,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893074000,GRSM,UNR,,5,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083024000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000002223B4A698E354C0C6AF24F535BC4140,132240,0101000020110F00001AED3018B7BD61C10F2FFBD5E5205041,131808,>1m <=5m,ATBI DATABASE,,1446893078000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268061,3928213,35.47039,-83.556188,Forney Creek,,2120.615234,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893078000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065657600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000007F7D14787EE054C045F63B0061BF4140,132251,0101000020110F0000EB216A9814BB61C1830FF5BF33245041,131819,>1m <=5m,ATBI DATABASE,,1446893084000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272530,3930846,35.495141,-83.507715,Noland Creek,Drinklog Branch,2573.8396,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893084000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000093AB11273BE054C07C1C0717D8BE4140,132252,0101000020110F00005EB4696CDBBA61C1C26123EFA4235041,131820,>1m <=5m,ATBI DATABASE,,1446893084000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272891,3930373,35.490963,-83.503606,Noland Creek,Noland Creek,2426.181641,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893084000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007D2F830682E054C0733B30970CBE4140,132250,0101000020110F0000B125A59D17BB61C1B6B301ACD0225041,131818,>1m <=5m,ATBI DATABASE,,1446893083000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272481,3929694,35.484752,-83.507932,Noland Creek,Noland Creek,2261.975342,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893083000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000014817E2ABE054C044E2B58AFFBC4140,132248,0101000020110F0000BBA8632A3BBB61C18DB01710B8215041,131816,>1m <=5m,ATBI DATABASE,,1446893082000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272226,3928789,35.476542,-83.510487,Noland Creek,,2107.562744,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893082000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BE1B1FEEA9E054C0250F5CD6DEBC4140,132249,0101000020110F0000CEDDC38139BB61C1BD2681F495215041,131817,>1m <=5m,ATBI DATABASE,,1446893083000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272234,3928678,35.475544,-83.510368,Noland Creek,Noland Creek,2271.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893083000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085097600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000061AA3E8F45E154C0CD11C15EBFBA4140,132247,0101000020110F000058F7D7AEBDBB61C12B9C223B5F1F5041,131815,>1m <=5m,ATBI DATABASE,,1446893082000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271325,3926860,35.458958,-83.519867,Fontana Lake-Tuckasegee River,Noland Creek,2420.622559,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893082000,GRSM,UNR,,4,,,Stiles Cemetery Access,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087344000000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000059AD89EEA1E254C0838EFC1F32BB4140,132245,0101000020110F0000230E3E8EE5BC61C1442E08E3D61F5041,131813,>1m <=5m,ATBI DATABASE,,1446893081000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269405,3927298,35.46246,-83.541129,Noland Creek,,2369.100586,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893081000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088294400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000F57950D95BE354C0C31A4230AFBB4140,132241,0101000020110F0000A847807483BD61C12562324C59205041,131809,>1m <=5m,ATBI DATABASE,,1446893079000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268386,3927748,35.466277,-83.552477,Fontana Lake-Tuckasegee River,Goldmine Branch,2292.602539,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893079000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089417600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E610000065F35CD2FDE254C0CB82C6A2E2BA4140,132242,0101000020110F000067DC089933BD61C1A2019700841F5041,131810,>1m <=5m,ATBI DATABASE,,1446893079000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,268889,3927042,35.460035,-83.546738,Fontana Lake-Tuckasegee River,,2131.724121,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893079000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027641600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000163AACF97CE254C07B7CC1F588BA4140,132246,0101000020110F0000C872202BC6BC61C1CA84B67F261F5041,131814,>1m <=5m,ATBI DATABASE,,1446893081000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269595,3926720,35.457298,-83.538874,Noland Creek,Laurel Branch,2137.520996,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893081000,GRSM,UNR,,1,,,Tunnel Bypass Trail NC,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087603200000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D204272EA9E254C004014EC9DBB94140,132244,0101000020110F0000386B37B6EBBC61C1317A5BF1711E5041,131812,>1m <=5m,ATBI DATABASE,,1446893080000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269335,3926140,35.452013,-83.541572,Fontana Lake-Tuckasegee River,Tunnel Branch,2087.222656,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893080000,GRSM,UNR,,3,,,Goldmine Loop Trail,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089417600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, , ,cert,ATBI Ferns
0101000020E6100000793ADE1729DC54C0D447985D08BB4140,132265,0101000020110F00009FFFF16666B761C169AEE957AB1F5041,131833,>1m <=5m,ATBI DATABASE,,1446893091000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278580,3926925,35.461186,-83.440004,Deep Creek,,1928.332275,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893091000,GRSM,UNR,,7,,,Noland Divide Trail,Deep Creek Picnic Shelter Parking,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1145750400000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed,No,day,prob.,General
0101000020E6100000F6BDBE1D7BDF54C02BFFBF89DFBF4140,132255,0101000020110F00009B5EAF5338BA61C146B23DC0B7245041,131823,>1m <=5m,ATBI DATABASE,,1446893086000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273977,3931238,35.499003,-83.491885,Noland Creek,Noland Creek,2738.967041,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893086000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000915BA3E3FFDA54C08343B8A120BD4140,132268,0101000020110F000023BB95FC69B661C106B9AE92DA215041,131836,>1m <=5m,ATBI DATABASE,,1446893093000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,280271,3928700,35.477552,-83.421864,Deep Creek,,2366.106934,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446893093000,GRSM,UNR,,8,,,Loop Trail,Tom Branch Road,Valid,Carya_glabra,Carya  glabra,7192,Pignut Hickory,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Hamamelidae,Spermatophyta,Magnoliophyta, , ,Juglandales, , , , ,Juglandaceae, ,~,observed, ,day,cert,ATBI Ferns
