the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000D76D55B447ED54C05D7ABEEAB1BC4140,169532,0101000020110F00009938218EF0C561C18F29A51B67215041,169215,>1m <=5m,ATBI DATABASE,,1446914375000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254340,3928999,35.474173,-83.707497,Hazel Creek,Hazel Creek,1942.507324,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446914375000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1058486400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000AB55D2C2B9DB54C02A937A4C2DCF4140,169544,0101000020110F00001E62FFD807B761C1A9BD05D4B1345041,169227,>1m <=5m,ATBI DATABASE,,1446914383000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279628,3944369,35.618563,-83.433209,West Prong Little Pigeon River Upper,,4226.136719,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914383000,GRSM,UNR,,5,,,Appalachian Trail,Newfound Gap Road North,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084406400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,pitfall trap & Berelese, , ,cert,ATBI Coleoptera Survey
0101000020E610000097E1F34EBBDF54C0C40493ED0CD14140,169541,0101000020110F000047D469D86EBA61C16B4A12F9A6365041,169224,>1m <=5m,ATBI DATABASE,,1446914381000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273999,3946135,35.6332,-83.495803,West Prong Little Pigeon River Upper,,3085.489502,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914381000,GRSM,UNR,,6,,,Cove Hardwood Nature Trail,Newfound Gap Road North,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993859200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E610000050FCE38087DE54C0348159E324D54140,169542,0101000020110F000079CA316D69B961C14FB62743EE3A5041,169225,>1m <=5m,ATBI DATABASE,,1446914381000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275790,3949640,35.665181,-83.477016,Le Conte Creek,Le Conte Creek,3337.887695,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914381000,GRSM,UNR,,1,,,Rainbow Falls Trail,Roaring Fork Motor Nature Trail,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1028160000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000475E7D0C7BDC54C094891353FAD54140,169543,0101000020110F00005F3ACB01ACB761C1793E5B64CD3B5041,169226,>1m <=5m,ATBI DATABASE,,1446914382000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278706,3950290,35.671695,-83.445006,Roaring Fork,Roaring Fork,4328.5,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914382000,GRSM,UNR,,6,,,Trillium Gap Trail,Roaring Fork Motor Nature Trail,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091059200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,by hand & sifting, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A463376192DB54C0A9EBFD045FD64140,169545,0101000020110F000068E4AF66E6B661C1948599AA363C5041,169228,>1m <=5m,ATBI DATABASE,,1446914383000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280000,3950599,35.674768,-83.430805,Porters Creek,Trillium Branch,4571.896484,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914383000,GRSM,UNR,,4,,,Brushy Mountain Trail,Roaring Fork Motor Nature Trail,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,999561600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000B572431472D954C09B4D9BFF04D74140,169548,0101000020110F0000F03A5F2018B561C127FDDD33E43C5041,169231,>1m <=5m,ATBI DATABASE,,1446914385000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283021,3951087,35.679833,-83.397584,Porters Creek,Porters Creek,2417.21582,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914385000,GRSM,UNR,,4,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1160006400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000928D601374D954C00257B4648ED54140,169547,0101000020110F0000DC0476D219B561C19B1B908E5C3B5041,169230,>1m <=5m,ATBI DATABASE,,1446914384000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,282979,3949819,35.668401,-83.397706,Porters Creek,Boulevard Prong,2778.78418,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914384000,GRSM,UNR,,4,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003363200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000081022D2DCD154C0A40632C6FDDD4140,169555,0101000020110F00007148476AA7AE61C1AE572CF02E445041,169238,>1m <=5m,ATBI DATABASE,,1446914389000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,293886,3956874,35.7343,-83.279099,Cosby Creek,Dunn Creek,3360.566162,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914389000,GRSM,UNR,,8,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003449600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E6100000E73DE7D1C1D154C01DCFB8873CDE4140,169557,0101000020110F00006333B87B90AE61C1A680669970445041,169240,>1m <=5m,ATBI DATABASE,,1446914390000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294040,3957083,35.736215,-83.277451,Cosby Creek,Indian Camp Creek,3184.675781,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914390000,GRSM,UNR,,4,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175299200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000001D75E9FCE7D854C00B928C160CDC4140,169550,0101000020110F0000964175D8A2B461C1F4C3EB4426425041,169233,>1m <=5m,ATBI DATABASE,,1446914386000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283890,3955426,35.719112,-83.389155,Little Pigeon River Middle,,1546.661865,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446914386000,GRSM,UNR,,6,,,Old Settlers Trail,Greenbrier Unpaved Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175299200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000917C20D778E654C084FB91BA0ED74140,169535,0101000020110F0000F2C2155728C061C1CFC45560EE3C5041,169218,>1m <=5m,ATBI DATABASE,,1446914377000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,264598,3951589,35.68013,-83.601121,Little River-Goshen Prong,Jay Bird Branch,3119.575195,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914377000,GRSM,UNR,,4,,,Laurel Falls Trail,Little River Gorge Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1160092800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000A6013ACEF8E554C0C33E5436C6D54140,169537,0101000020110F0000A13CA799BBBF61C1EA684EE9963B5041,169220,>1m <=5m,ATBI DATABASE,,1446914378000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,265276,3950458,35.670105,-83.593307,Little River-Goshen Prong,Laurel Branch,2314.616943,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914378000,GRSM,UNR,,6,,,Laurel Falls Quiet Walkway,Fighting Creek Gap Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,993945600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling,No, ,cert,ATBI Coleoptera Survey
0101000020E61000005E10DD289CE154C01DC04685F6D44140,169538,0101000020110F000028FE813B07BC61C186BF9DCABD3A5041,169221,>1m <=5m,ATBI DATABASE,,1446914379000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271428,3949594,35.663766,-83.525152,West Prong Little Pigeon River Upper,,1846.054688,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446914379000,GRSM,UNR,,7,,,Riverview Quiet Walkway,Quiet Walkway Parking # 2,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1160092800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E61000001E336A0007EA54C0F4220AA2B8CE4140,169534,0101000020110F0000DFEE26572DC361C159DF5EF137345041,169217,>1m <=5m,ATBI DATABASE,,1446914376000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259374,3944498,35.615003,-83.656673,Little River-Crooked Creek,Lynn Camp Prong,2316.070557,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914376000,GRSM,UNR,,7,,,Middle Prong Trail,Upper Tremont Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091145600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E6100000D9BA58D424EB54C003156F1397CF4140,169533,0101000020110F0000BCC2181820C461C17C0EAE5720355041,169216,>1m <=5m,ATBI DATABASE,,1446914376000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,257814,3945294,35.621791,-83.674119,Little River-Crooked Creek,Middle Prong Little River,1778.191162,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914376000,GRSM,UNR,,8,,,Middle Prong Trail,Upper Tremont Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1175558400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
0101000020E610000019CF7269F4F154C016EFE064B1CD4140,169531,0101000020110F0000E2D852EBE8C961C1BBEC58F224335041,169214,>1m <=5m,ATBI DATABASE,,1446914375000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248127,3943917,35.606969,-83.780539,Abrams Creek Upper,,1897.653564,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446914375000,GRSM,UNR,,4,,,Rich Mountain Loop Trail,Cades Cove Loop Road,Valid,Eurhoptus_pyriformis,Eurhoptus  pyriformis,14703,Weevil 9,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1091232000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Coleoptera,Cucujiformia,Polyphaga, ,Curculionoidea,Curculionidae, ,~,Berlese sampling, , ,cert,ATBI Coleoptera Survey
