the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000005EE57DDAD0DB54C0EDA09FA49EBA4140,202150,0101000020110F00002CEAC7751BB761C125FA6D1B3D1F5041,201999,>1m <=5m,ATBI DATABASE,,1446933280000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279060,3926555,35.45796,-83.434618,Deep Creek,,1907.187622,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933280000,GRSM,UNR,,7,,,Noland Divide Trail,Deep Creek Maintenance And Residence Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1380153600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000A2633C8788CE54C01A61E2738DDF4140,202157,0101000020110F000088FF1390D3AB61C1EF4B3C25D1455041,202007,>1m <=5m,ATBI DATABASE,,1446933285000,DERV,LUFTEE KNOB,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,298622,3958119,35.746497,-83.227079,Cosby Creek,Crying Creek,3803.445557,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933285000,GRSM,UNR,,5,,,Snake Den Ridge Trail,Cosby Campground Road B,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925430400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B97142B6E6C754C0BA3DF7D420CE4140,202165,0101000020110F0000163D5C9B31A661C15C3DBF5B99335041,202016,>1m <=5m,ATBI DATABASE,,1446933289000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307667,3942810,35.61037,-83.123453,Upper Cataloochee Creek,Jim Branch,3005.192871,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446933289000,GRSM,UNR,,9,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,901065600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001C86273878D954C0B94DF5BA3EC04140,202153,0101000020110F0000662361571DB561C11E5CCB0E1B255041,202002,>1m <=5m,ATBI DATABASE,,1446933282000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,282506,3931349,35.501908,-83.397959,Deep Creek,Georges Branch,2585.424805,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446933282000,GRSM,UNR,,7,,,Deeplow Gap Trail,Galbraith Creek Rd,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056412800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009E471647DDDD54C00A9BAB2DCFC64140,202143,0101000020110F000094608DDAD8B861C178A7F0BBF42B5041,201992,>1m <=5m,ATBI DATABASE,,1446933275000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276419,3937192,35.553191,-83.466627,Noland Creek,Noland Creek,4871.928711,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933275000,GRSM,UNR,,7,,,Noland Divide Trail,Noland Divide Trailhead Parking,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000001D8F1CF3BEDD54C044CD3B4ED1C64140,202144,0101000020110F000091FE9A18BFB861C1235B6AF4F62B5041,201993,>1m <=5m,ATBI DATABASE,,1446933276000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,276587,3937195,35.553256,-83.464776,Noland Creek,,5104.763672,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933276000,GRSM,UNR,,7,,,Noland Divide Trail,Noland Divide Trailhead Parking,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000000A7F817ED1DC54C04698E8547BCA4140,202147,0101000020110F000082D1D26CF5B761C107D57058CA2F5041,201996,>1m <=5m,ATBI DATABASE,,1446933278000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277980,3940338,35.581882,-83.450282,Deep Creek,Keg Drive Branch,5063.120117,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446933278000,GRSM,UNR,,6,,,Fork Ridge Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000002E91A8A3E5DC54C02A16C79A74CA4140,202146,0101000020110F0000577BCB8806B861C19D940C52C32F5041,201995,>1m <=5m,ATBI DATABASE,,1446933277000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,277868,3940318,35.581677,-83.451512,Deep Creek,Keg Drive Branch,5210.418945,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446933277000,GRSM,UNR,,8,,,Fork Ridge Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000009F7DBCC2C8DC54C0DEBA25BD18CA4140,202148,0101000020110F00006ED5FB01EEB761C1C1597463632F5041,201997,>1m <=5m,ATBI DATABASE,,1446933278000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278020,3940003,35.578873,-83.449749,Deep Creek,Keg Drive Branch,4951.076172,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446933278000,GRSM,UNR,,4,,,Fork Ridge Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000B5DBF7D3BFDC54C0074085F807CA4140,202149,0101000020110F000072B3D46BE6B761C1BA4BEAE0512F5041,201998,>1m <=5m,ATBI DATABASE,,1446933279000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,278068,3939945,35.578361,-83.449204,Deep Creek,Keg Drive Branch,4846.856934,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446933279000,GRSM,UNR,,6,,,Fork Ridge Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000009086655CE6DB54C0038D5F9933CD4140,202152,0101000020110F0000B595F2B92DB761C1410C018BA1325041,202001,>1m <=5m,ATBI DATABASE,,1446933281000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279339,3942663,35.60313,-83.435931,Deep Creek,,4776.762695,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446933281000,GRSM,UNR,,4,,,Deep Creek Trail,Newfound Gap Road South,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000008686818BEEDB54C0C5D1D55D66CD4140,202151,0101000020110F0000101C53AD34B761C1E0B1BC92D6325041,202000,>1m <=5m,ATBI DATABASE,,1446933281000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279298,3942836,35.60468,-83.436431,Deep Creek,,5069.559082,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446933281000,GRSM,UNR,,6,,,Appalachian Trail,Newfound Gap Road South,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000009D864F0A18DD54C0662B87D43CCE4140,202145,0101000020110F0000C27A055731B861C1633D6C9BB6335041,201994,>1m <=5m,ATBI DATABASE,,1446933276000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,277671,3943603,35.611225,-83.454588,West Prong Little Pigeon River Upper,Road Prong,4998.069824,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933276000,GRSM,UNR,,4,,,Road Prong Trail,Clingmans Dome Access Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,63072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000003DA6A9F60DD754C073A673BFAFDB4140,202154,0101000020110F00007D38A74110B361C13ABDFAACC5415041,202003,>1m <=5m,ATBI DATABASE,,1446933283000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,286500,3955050,35.716294,-83.360223,Little Pigeon River Middle,Bird Branch,2691.493408,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933283000,GRSM,UNR,,4,,,Old Settlers Trail,Ramsey Prong Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1132444800000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,General
0101000020E6100000BD20361934D054C04234B3C9F3DD4140,201564,0101000020110F0000D169C5B23EAD61C1ADDC5E7D24445041,202005,>1m <=5m,ATBI DATABASE,,1446933284000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296230,3956786,35.733995,-83.253176,Cosby Creek,,5149.762695,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933284000,GRSM,UNR,,7,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961459200000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000015ED76C505D154C0ECC4F3C687DD4140,202155,0101000020110F000036A007C6F0AD61C1CDFEAD7BB3435041,202004,>1m <=5m,ATBI DATABASE,,1446933284000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,295064,3956447,35.730699,-83.265973,Cosby Creek,Copperhead Branch,4165.072266,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933284000,GRSM,UNR,,9,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,969926400000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000AD630403D1EA54C05C69AFC417D54140,202126,0101000020110F00005F4C61E8D8C361C14AB91B8CE03A5041,201976,>1m <=5m,ATBI DATABASE,,1446933266000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,258407,3950051,35.664781,-83.669003,Little River-Goshen Prong,Meigs Creek,1927.472656,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933266000,GRSM,UNR,,7,,,Meigs Creek Trail,Little River Gorge Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1131840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,General
0101000020E61000008D1B7F8124EA54C09B8F1AFC85D24140,202127,0101000020110F0000AD99FC6546C361C1BE2A210231385041,201977,>1m <=5m,ATBI DATABASE,,1446933267000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259300,3947798,35.644707,-83.658474,Little River-Crooked Creek,Spruce Flats Branch,2262.899414,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933267000,GRSM,UNR,,6,,,Lumber Ridge Trail,Upper Tremont Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1131840000000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,General
0101000020E6100000923D42CD10E454C075E3EF742DD54140,202128,0101000020110F00003B0E71231DBE61C13D664638F73A5041,201978,>1m <=5m,ATBI DATABASE,,1446933268000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,267959,3949870,35.665443,-83.563521,West Prong Little Pigeon River Upper,Mids Branch,2569.702393,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933268000,GRSM,UNR,,6,,,Sugarland Mountain Trail,Fighting Creek Gap Road,Valid,Leucothoe_recurva,Leucothoe  recurva,22462,Red-twig Doghobble,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1359417600000,Plantae,Tracheobionta, , ,Magnoliopsida,Dilleniidae,Spermatophyta,Magnoliophyta, , ,Ericales, , , , ,Ericaceae, ,~,observed,No,day,cert,ATBI
