the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000A3B1723F92F754C0948F8EBF35BC4140,58640,0101000020110F0000EEF3E012AECE61C10074199EE5205041,58079,>1m <=5m,ATBI DATABASE,,1446855859000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239734,3928991,35.470383,-83.868297,Lake Cheoah-Little Tennessee River,Twentymile Creek,1552.283447,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855859000,GRSM,UNR,,7,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000008A368BA05CD154C0FC756F91B0E14140,58736,0101000020110F0000EA214A8A3AAE61C1EA868ABA0D485041,58167,>1m <=5m,ATBI DATABASE,,1446855908000,DERV,JONES COVE,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294668,3960063,35.763194,-83.271275,Cosby Creek,Cole Creek,2091.817383,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855908000,GRSM,UNR,,5,,,Maddron Bald Trail,Cosby Entrance Road,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956448000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000009FCAD6EB97CC54C035F638224BE14140,58737,0101000020110F00000DC257CB2DAA61C128974090A3475041,58168,>1m <=5m,ATBI DATABASE,,1446855908000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301397,3959566,35.760098,-83.196769,Cosby Creek,Toms Creek,2474.160645,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855908000,GRSM,UNR,,3,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,925516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000B6B149E6C7C754C01486237D17DF4140,58739,0101000020110F0000AF7D1A7017A661C13FC4CAB455455041,58170,>1m <=5m,ATBI DATABASE,,1446855909000,DERV,COVE CREEK GAP,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,308155,3957508,35.742897,-83.121572,Big Creek,Big Creek,1988.731201,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855909000,GRSM,UNR,,4,,,Big Creek Trail,Big Creek Campground Loop Road,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,957225600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007167D61A36C554C02EF69DBA0DCB4140,58740,0101000020110F00002469CBC5E8A361C1385EE83A63305041,58171,>1m <=5m,ATBI DATABASE,,1446855910000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,311418,3940064,35.58635,-83.081423,Upper Cataloochee Creek,McKee Branch,4544.246582,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446855910000,GRSM,UNR,,4,,,McKee Branch Trail,The Purchase Road (closed Winter),Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,929923200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000596B51C70CC854C0338027957FCC4140,58738,0101000020110F0000E06FD7EF51A661C1DF0CDD82E5315041,58169,>1m <=5m,ATBI DATABASE,,1446855909000,DERV,BUNCHES BALD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,307426,3941402,35.597637,-83.125776,Upper Cataloochee Creek,Jim Branch,3341.661621,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446855909000,GRSM,UNR,,4,,,Rough Fork Trail,Cataloochee Entrance Road,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898646400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009AA7892ABBD354C0C410C46FC6C14140,58733,0101000020110F0000D0998AAC3DB061C1561BB0BBB3265041,58165,>1m <=5m,ATBI DATABASE,,1446855906000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290671,3932481,35.513861,-83.308295,Lower Oconaluftee River,,2212.003662,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446855906000,GRSM,UNR,,7,,,Enloe-Mingus Cemetery Access,Newfound Gap Road South,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1371168000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000376690BDE9D354C08F21555BC4C14140,58732,0101000020110F0000977CC53A65B061C10DDF2590B1265041,58164,>1m <=5m,ATBI DATABASE,,1446855906000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,290413,3932480,35.513798,-83.311137,Lower Oconaluftee River,,2475.10376,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446855906000,GRSM,UNR,,10,,,Enloe-Mingus Cemetery Access,Newfound Gap Road South,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1371168000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000AA93100543D454C0AC031A5806C24140,58731,0101000020110F00001A92F40DB1B061C1F82B3F6AF6265041,58163,>1m <=5m,ATBI DATABASE,,1446855905000,DERV,SMOKEMONT,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,289924,3932715,35.515812,-83.316587,Lower Oconaluftee River,,2483.057373,,,dd,GCS,NAD83,17,,Oconaluftee District,TPCOLSON,TPCOLSON,1446855905000,GRSM,UNR,,4,,,Mingus Creek Trail,Mingus Mill Access Road,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1371168000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed,No,day,cert,ATBI
0101000020E6100000427F4D485EDF54C06267002B64C04140,58729,0101000020110F000005AC9FD61FBA61C15DBE5A1D42255041,58161,>1m <=5m,ATBI DATABASE,,1446855904000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,274148,3931683,35.50305,-83.490126,Noland Creek,Noland Creek,2808.346191,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855904000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000428A1B6671DE54C06CD56B10ECD64140,58730,0101000020110F0000FA3530A756B961C1EFF5DD21CA3C5041,58162,>1m <=5m,ATBI DATABASE,,1446855904000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275951,3951178,35.679072,-83.475667,Le Conte Creek,,2909.720947,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855904000,GRSM,UNR,,6,,,Trillium Gap Trail,Roaring Fork Interpretive Marker 1 Overlook,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1177545600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand,No,day,cert,GSMNP Violaceae
0101000020E61000000317BCCCB6D154C014057DA097DE4140,58735,0101000020110F00007F3FB31F87AE61C136C371EACF445041,58166,>1m <=5m,ATBI DATABASE,,1446855907000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,294108,3957390,35.738995,-83.276778,Cosby Creek,Indian Camp Creek,3062.273926,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446855907000,GRSM,UNR,,6,,,Maddron Bald Trail,Cosby Campground Road B,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,956534400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000036F295AD06E154C0EE812292F8D34140,58725,0101000020110F000092C2184788BB61C108464156B4395041,58157,>1m <=5m,ATBI DATABASE,,1446855901000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,272232,3948713,35.656016,-83.516029,West Prong Little Pigeon River Upper,Hickory King Branch,2033.485596,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855901000,GRSM,UNR,,5,,,Balsam Point Quiet Walkway,Newfound Gap Road North,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1364688000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed,No,day,cert,ATBI
0101000020E61000004F09D990B7E054C0BC38ACDBA6C14140,58727,0101000020110F0000DFA5701645BB61C16A99CEC892265041,58159,>1m <=5m,ATBI DATABASE,,1446855903000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272264,3932824,35.512898,-83.5112,Noland Creek,,3385.126953,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855903000,GRSM,UNR,,3,,,Springhouse Branch Trail,Clingmans Dome Road Parking #3,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087516800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D218CEB193E054C09EF067BF88C14140,58728,0101000020110F00007069479F26BB61C15FA3275E73265041,58160,>1m <=5m,ATBI DATABASE,,1446855903000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272460,3932717,35.511979,-83.509011,Noland Creek,,3266.10498,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855903000,GRSM,UNR,,7,,,Springhouse Branch Trail,Clingmans Dome Road Parking #3,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000969FB46D21EB54C04C1C9951B0C24140,58710,0101000020110F00001038A9341DC461C1A2FFBCC6A7275041,58144,>1m <=5m,ATBI DATABASE,,1446855894000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257529,3934111,35.520999,-83.673911,Hazel Creek,Big Flats Branch,2746.29834,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855894000,GRSM,UNR,,4,,,Bone Valley Trail,Upper Tremont Road,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000010ED08DF4FE854C0AD6FD6A31AC94140,58721,0101000020110F00004C330963B8C161C10D99550F5A2E5041,58152,>1m <=5m,ATBI DATABASE,,1446855899000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261672,3939564,35.571119,-83.629871,Little River-Crooked Creek,Indian Flats Prong,4462.538574,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855899000,GRSM,UNR,,2,,,Appalachian Trail,Upper Tremont Road,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000080000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005389FC446FEA54C01A4345448DCD4140,58711,0101000020110F0000AA5B29E585C361C1854A3635FF325041,58145,>1m <=5m,ATBI DATABASE,,1446855895000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,258770,3943500,35.605867,-83.663037,Little River-Crooked Creek,Sams Creek,2412.623779,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855895000,GRSM,UNR,,2,,,Thunderhead Prong Quiet Walkway,Upper Tremont Road,Valid,Thalictrum_thalictroides,Thalictrum  thalictroides,38579,Rue-anemone,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,year,cert,Fridley Veg Plots
