the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000001E173C28CFA54C07692BB7C69BC4140,215186,0101000020110F00003D16DAAC35D161C1EDC0C1921B215041,215003,>1m <=5m,ATBI DATABASE,,1446940577000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235515,3929290,35.471962,-83.914837,Lake Cheoah-Little Tennessee River,,1968.121338,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940577000,GRSM,UNR,,1,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000001E3294FC90EE54C093CD3D7ABCBC4140,215232,0101000020110F00005911F53608C761C12245151F72215041,215048,>1m <=5m,ATBI DATABASE,,1446940601000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252517,3929085,35.474495,-83.727595,Hazel Creek,,1740.202515,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940601000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000003F53A5E990EE54C0546A036BADBC4140,215231,0101000020110F0000799EE02608C761C14C84866A62215041,215047,>1m <=5m,ATBI DATABASE,,1446940601000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252516,3929034,35.474035,-83.727591,Hazel Creek,,1704.380859,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940601000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000ECA881B1E1EF54C04A501F2887BD4140,215227,0101000020110F000034F5082E26C861C198F54C8045225041,215043,>1m <=5m,ATBI DATABASE,,1446940599000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,250671,3929823,35.48068,-83.748146,Hazel Creek,Shehan Branch,2124.198242,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940599000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096761600000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000ACCD7905A3EC54C09BA308555CBD4140,215238,0101000020110F0000F73699B064C561C1E1F83ED618225041,215054,>1m <=5m,ATBI DATABASE,,1446940604000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255268,3929551,35.479373,-83.697446,Hazel Creek,Hazel Creek,2010.145508,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940604000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008DC60AAC93EC54C0B376F2215CBD4140,215239,0101000020110F0000894754A757C561C16214F7A018225041,215055,>1m <=5m,ATBI DATABASE,,1446940605000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255353,3929548,35.479367,-83.696509,Hazel Creek,Hazel Creek,2014.472046,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940605000,GRSM,UNR,,5,,,Hazel Creek Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000083559781BAED54C06FF173FA7CBD4140,215236,0101000020110F00002D736F0E52C661C13640ADE23A225041,215052,>1m <=5m,ATBI DATABASE,,1446940603000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253723,3929704,35.48037,-83.714504,Hazel Creek,,1830.94751,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940603000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000008EB88A1C7ED54C0D4A1BC5739BD4140,215235,0101000020110F0000625D09345DC661C1B6CE4958F4215041,215051,>1m <=5m,ATBI DATABASE,,1446940603000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253644,3929477,35.478306,-83.715305,Hazel Creek,Hazel Creek,1827.019531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940603000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1096848000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000000E6EE219D1ED54C04C180E0A1EBD4140,215234,0101000020110F0000F699093F65C661C1456687DED7215041,215050,>1m <=5m,ATBI DATABASE,,1446940602000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253589,3929386,35.477472,-83.715883,Hazel Creek,Hazel Creek,1814.561646,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940602000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051574400000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000009BCFB16A8DEA54C0CDC67CE0ADB84140,215242,0101000020110F0000C23FD07F9FC361C1C49AF430371D5041,215058,>1m <=5m,ATBI DATABASE,,1446940607000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258114,3925413,35.442799,-83.664877,Lower Fontana Lake-Little Tennessee River,,1815.091309,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940607000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000BBB0052263EA54C0E648339294B84140,215245,0101000020110F0000F9746A967BC361C14F4F86CF1C1D5041,215061,>1m <=5m,ATBI DATABASE,,1446940609000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258346,3925321,35.442027,-83.662296,Lower Fontana Lake-Little Tennessee River,,1820.019531,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940609000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000005D51E7DD7AEA54C0D331E719BBB84140,215244,0101000020110F000061EEA9BE8FC361C151672EFA441D5041,215060,>1m <=5m,ATBI DATABASE,,1446940608000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258218,3925455,35.443203,-83.663745,Lower Fontana Lake-Little Tennessee River,,1788.75293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940608000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004BB5A5C71CEA54C06D3EFF5454B84140,215249,0101000020110F0000D9E132D63FC361C1AE2828D8D91C5041,215064,>1m <=5m,ATBI DATABASE,,1446940611000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258730,3925093,35.440067,-83.658002,Lower Fontana Lake-Little Tennessee River,,1892.807129,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940611000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B32BFFEA29EA54C092E4F62168B84140,215247,0101000020110F0000A348B1FE4AC361C1B912477CEE1C5041,215063,>1m <=5m,ATBI DATABASE,,1446940610000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258659,3925162,35.440671,-83.658804,Lower Fontana Lake-Little Tennessee River,,1876.272461,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940610000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000B903AABC53EA54C0AC2DBD8923B84140,215246,0101000020110F000020E804836EC361C102C1DFFAA61C5041,215062,>1m <=5m,ATBI DATABASE,,1446940609000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258421,3924936,35.438578,-83.661357,Lower Fontana Lake-Little Tennessee River,,1759.487549,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940609000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000AE1EAED77FEA54C0EB3C39291DB84140,215243,0101000020110F0000FB8D7BF893C361C1072A1B55A01C5041,215059,>1m <=5m,ATBI DATABASE,,1446940607000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258176,3924921,35.438383,-83.664049,Lower Fontana Lake-Little Tennessee River,,1739.851562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940607000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088640000000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,by hand,No,day,cert,Northshore Road EIS
0101000020E61000000229ACB2C1E954C024274F3D78B84140,215250,0101000020110F00003DB1157BF2C261C13BFAAA46FF1C5041,215065,>1m <=5m,ATBI DATABASE,,1446940612000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259238,3925201,35.441163,-83.652443,Lower Fontana Lake-Little Tennessee River,,1873.381958,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940612000,GRSM,UNR,,3,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000004D7C763FB5E954C00B68F35662B84140,215252,0101000020110F0000ACC22FE8E7C261C134265072E81C5041,215066,>1m <=5m,ATBI DATABASE,,1446940612000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,259305,3925125,35.440494,-83.651683,Lower Fontana Lake-Little Tennessee River,,1836.671387,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940612000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056067200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000E61BA10415E754C0916213A8A4B94140,215253,0101000020110F0000D83863FBACC061C1EA551D77381E5041,215067,>1m <=5m,ATBI DATABASE,,1446940612000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263059,3926117,35.450331,-83.610654,Lower Fontana Lake-Little Tennessee River,Anthony Branch,1855.263306,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446940612000,GRSM,UNR,,7,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Microstegium_vimineum,Microstegium  vimineum,25267,Japanese Stilt Grass,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065571200000,Plantae,Tracheobionta, , ,Liliopsida,Commelinidae,Spermatophyta,Magnoliophyta, , ,Cyperales, , , , ,Poaceae, ,~,observed, , ,cert,INHS plant survey
