the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000023C9FA6D32FB54C0AC37CCD2B9BD4140,211763,0101000020110F0000CD9FF960C2D161C1BF356D587A225041,211526,>1m <=5m,ATBI DATABASE,,1446938632000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234631,3930456,35.482227,-83.924949,Chilhowee Lake,,2083.352539,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446938632000,GRSM,UNR,,2,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E610000093AB11273BE054C07C1C0717D8BE4140,211963,0101000020110F00005EB4696CDBBA61C1C26123EFA4235041,211726,>1m <=5m,ATBI DATABASE,,1446938738000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272891,3930373,35.490963,-83.503606,Noland Creek,Noland Creek,2426.181641,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938738000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087257600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003F1425512AE054C09E5AAF898FBE4140,211965,0101000020110F00009B31FE1FCDBA61C10087874159235041,211728,>1m <=5m,ATBI DATABASE,,1446938739000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272978,3930125,35.488749,-83.502579,Noland Creek,Noland Creek,2424.581299,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938739000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065744000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000F214E14258E054C033304F47FDBE4140,211962,0101000020110F0000EFD63C25F4BA61C1EE41D3B9CB235041,211725,>1m <=5m,ATBI DATABASE,,1446938738000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272733,3930503,35.492098,-83.505383,Noland Creek,Noland Creek,2485.719727,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938738000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001DC2032697E054C06278A391BABE4140,211959,0101000020110F0000740B3D8E29BB61C1A5910F2486235041,211722,>1m <=5m,ATBI DATABASE,,1446938736000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272379,3930286,35.490062,-83.509221,Noland Creek,,2992.0979,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938736000,GRSM,UNR,,4,,,Lower Noland-Monteith Cemetery Access,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085443200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007D2F830682E054C0733B30970CBE4140,211961,0101000020110F0000B125A59D17BB61C1B6B301ACD0225041,211724,>1m <=5m,ATBI DATABASE,,1446938737000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272481,3929694,35.484752,-83.507932,Noland Creek,Noland Creek,2261.975342,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938737000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001F3CD83737E054C0CEF25AE84EBE4140,211964,0101000020110F00001B19FA14D8BA61C1258BC3D715235041,211727,>1m <=5m,ATBI DATABASE,,1446938739000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272901,3929908,35.486776,-83.503366,Noland Creek,Noland Creek,2376.458984,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938739000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000014817E2ABE054C044E2B58AFFBC4140,211955,0101000020110F0000BBA8632A3BBB61C18DB01710B8215041,211718,>1m <=5m,ATBI DATABASE,,1446938734000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272226,3928789,35.476542,-83.510487,Noland Creek,,2107.562744,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938734000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D1A4F96893E054C099AAD21B90BD4140,211958,0101000020110F000005AC6C6126BB61C18C7579D64E225041,211721,>1m <=5m,ATBI DATABASE,,1446938736000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272374,3929275,35.480954,-83.508993,Noland Creek,Noland Creek,2222.125488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938736000,GRSM,UNR,,3,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000001C7C226135E154C00C9059D7D7BC4140,211952,0101000020110F0000D4BEF2F0AFBB61C18C34A9A88E215041,211715,>1m <=5m,ATBI DATABASE,,1446938733000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271461,3928674,35.47533,-83.518879,Noland Creek,Bearpen Branch,2376.300293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938733000,GRSM,UNR,,4,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085184000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000193D312A0AE154C064FD27FE76BC4140,211953,0101000020110F00004D13303D8BBB61C1D9315BA829215041,211716,>1m <=5m,ATBI DATABASE,,1446938733000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271692,3928340,35.472375,-83.516241,Noland Creek,Noland Creek,2040.750488,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938733000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1083283200000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008DF16EB338E154C0B283E7310CBC4140,211951,0101000020110F0000266E1BC3B2BB61C1CB23E148BA205041,211714,>1m <=5m,ATBI DATABASE,,1446938733000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271425,3927985,35.469115,-83.519082,Noland Creek,Noland Creek,2032.01355,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938733000,GRSM,UNR,,9,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000022FD00E8F3E054C026A672B7C4BC4140,211954,0101000020110F000081EBB65578BB61C18363C0B67A215041,211717,>1m <=5m,ATBI DATABASE,,1446938734000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271822,3928600,35.474746,-83.514883,Noland Creek,Noland Creek,2109.127197,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938734000,GRSM,UNR,,6,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087084800000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000BE1B1FEEA9E054C0250F5CD6DEBC4140,211956,0101000020110F0000CEDDC38139BB61C1BD2681F495215041,211719,>1m <=5m,ATBI DATABASE,,1446938735000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,272234,3928678,35.475544,-83.510368,Noland Creek,Noland Creek,2271.351074,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938735000,GRSM,UNR,,7,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085097600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000061AA3E8F45E154C0CD11C15EBFBA4140,211950,0101000020110F000058F7D7AEBDBB61C12B9C223B5F1F5041,211713,>1m <=5m,ATBI DATABASE,,1446938732000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271325,3926860,35.458958,-83.519867,Fontana Lake-Tuckasegee River,Noland Creek,2420.622559,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938732000,GRSM,UNR,,4,,,Stiles Cemetery Access,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1087344000000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000CEE2D4ED9DE154C05AF6E29367BB4140,211949,0101000020110F0000C3B436BC08BC61C1122ECF9F0E205041,211712,>1m <=5m,ATBI DATABASE,,1446938732000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270850,3927442,35.464092,-83.52526,Noland Creek,,1977.764404,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938732000,GRSM,UNR,,5,,,Noland Creek Trail,Lakeview Drive East,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1086825600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000003FDD526473E254C0899E871F4BBB4140,211948,0101000020110F000004227F07BEBC61C1388611F4F01F5041,211711,>1m <=5m,ATBI DATABASE,,1446938731000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269665,3927376,35.463223,-83.538289,Noland Creek,,2218.819824,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938731000,GRSM,UNR,,4,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1085529600000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000059AD89EEA1E254C0838EFC1F32BB4140,211945,0101000020110F0000230E3E8EE5BC61C1442E08E3D61F5041,211708,>1m <=5m,ATBI DATABASE,,1446938730000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269405,3927298,35.46246,-83.541129,Noland Creek,,2369.100586,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446938730000,GRSM,UNR,,2,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Maianthemum_racemosum_racemosum,Maianthemum  racemosum racemosum,23807,Feathery False Solomon's-seal,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1088294400000,Plantae,Tracheobionta, , ,Liliopsida,Liliidae,Spermatophyta,Magnoliophyta, , ,Liliales, , , , ,Liliaceae, ,~,observed, ,day,cert,Fridley Veg Plots
