the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E610000065862BD2EAFB54C0F5C03D92FCBF4140,128079,0101000020110F0000724282FB5ED261C1E265E609D6245041,127641,>1m <=5m,ATBI DATABASE,,1446890737000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233668,3932446,35.499889,-83.936203,Chilhowee Lake,,1546.21521,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446890737000,GRSM,UNR,,6,,,Wolf Ridge Trail,Parson Branch Road (closed Winter),Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1373846400000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000319193081BEC54C00E82830757BF4140,128139,0101000020110F00000CFCFD31F1C461C1A4FB135929245041,127701,>1m <=5m,ATBI DATABASE,,1446890769000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,256068,3931246,35.494837,-83.689146,Hazel Creek,Haw Gap Branch,2195.432373,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890769000,GRSM,UNR,,5,,,Jenkins Ridge Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341187200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000769532CC10EC54C0FC995AF339BF4140,128141,0101000020110F0000E8E88080E8C461C15616BC030B245041,127703,>1m <=5m,ATBI DATABASE,,1446890771000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,256122,3931146,35.493949,-83.688521,Hazel Creek,Hazel Creek,2174.071289,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890771000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1272499200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,by hand,No,day,cert,Branchiobdellidans
0101000020E6100000E541DB4690EC54C0CCE1836C53BD4140,128136,0101000020110F0000572D21C554C561C13E09C88B0F225041,127698,>1m <=5m,ATBI DATABASE,,1446890767000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255371,3929518,35.479102,-83.696302,Hazel Creek,Hazel Creek,2012.69812,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890767000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341187200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E61000002EC60710BAED54C04C6DBA898DBD4140,128131,0101000020110F000007F7FCAD51C661C1C1D619284C225041,127693,>1m <=5m,ATBI DATABASE,,1446890765000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,253727,3929760,35.480875,-83.714477,Hazel Creek,Hazel Creek,1829.015991,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890765000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341360000000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E610000057A9EFE85EED54C05C66138B18BD4140,128132,0101000020110F00009B3D7C4304C661C1D7AE2723D2215041,127694,>1m <=5m,ATBI DATABASE,,1446890765000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254221,3929350,35.477305,-83.708914,Hazel Creek,Hazel Creek,1911.084351,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890765000,GRSM,UNR,,4,,,Hazel Creek Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341187200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E61000003F299AD41EED54C0544DAA6C0EBD4140,128134,0101000020110F00008D8047D7CDC561C11B1E8F95C7215041,127696,>1m <=5m,ATBI DATABASE,,1446890766000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254575,3929306,35.476996,-83.705003,Hazel Creek,Hazel Creek,2101.476562,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890766000,GRSM,UNR,,7,,,Hazel Creek Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087344000000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E61000006D42DE2E18ED54C0A7AC40E338BC4140,128135,0101000020110F0000E5FFFE31C8C561C113A838E4E8205041,127697,>1m <=5m,ATBI DATABASE,,1446890767000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254592,3928582,35.470479,-83.704597,Hazel Creek,Rowan Branch,2262.150146,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890767000,GRSM,UNR,,6,,,Hazel Creek Trail,Lakeview Drive West,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1341187200000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000BE35BF808FEA54C05DF344C699B94140,128144,0101000020110F000004616245A1C361C14AEBB51E2D1E5041,127706,>1m <=5m,ATBI DATABASE,,1446890773000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258124,3926212,35.449998,-83.665005,Lower Fontana Lake-Little Tennessee River,,1824.621826,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890773000,GRSM,UNR,,4,,,Pilkey Cemetery Access,Lakeview Drive East Parking #4,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089676800000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E6100000116B0D7F8FEA54C06AF23ED5FBB94140,128145,0101000020110F0000A4F5F143A1C361C1574CCE5A931E5041,127707,>1m <=5m,ATBI DATABASE,,1446890774000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,258133,3926544,35.452991,-83.665004,Lower Fontana Lake-Little Tennessee River,,1966.214722,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890774000,GRSM,UNR,,8,,,Pilkey/Posey cemetery access,Lakeview Drive East Parking #4,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089676800000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E6100000E12109B1E9E654C03398E251BAB94140,128153,0101000020110F0000C1294B2F88C061C1456D0E0D4F1E5041,127715,>1m <=5m,ATBI DATABASE,,1446890778000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,263301,3926184,35.450992,-83.608009,Lower Fontana Lake-Little Tennessee River,,1798.746094,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890778000,GRSM,UNR,,1,,,Campsite 98 access,Lakeview Drive East Parking #4,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089849600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E61000006A399D5208E454C09442FD8764BB4140,128155,0101000020110F0000BF98E9EF15BE61C133E391720B205041,127717,>1m <=5m,ATBI DATABASE,,1446890780000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267424,3927520,35.463999,-83.563004,Forney Creek,,1699.026245,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890780000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087430400000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E61000007A763DF4C4E154C0B429E7239ABA4140,128159,0101000020110F0000761E12E129BC61C16C188569381F5041,127721,>1m <=5m,ATBI DATABASE,,1446890782000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270616,3926752,35.457822,-83.527642,Noland Creek,Noland Creek,1805.932861,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890782000,GRSM,UNR,,1,,,Noland Creek Trail,Lakeview Drive East,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1373932800000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000B1CFF4F64DE254C07E22F04302BB4140,128157,0101000020110F00004CCC093E9EBC61C100468DFBA41F5041,127719,>1m <=5m,ATBI DATABASE,,1446890781000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,269866,3927124,35.461,-83.536005,Noland Creek,Laurel Branch,2096.17041,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890781000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1089849600000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,dip net,No,day,cert,Northshore Road EIS
0101000020E6100000517C66F047DE54C089BDBF5D90BC4140,128165,0101000020110F000010A3F67033B961C166F3611E44215041,127727,>1m <=5m,ATBI DATABASE,,1446890786000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,275606,3928327,35.473149,-83.473137,Fontana Lake-Tuckasegee River,,3118.368164,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446890786000,GRSM,UNR,,6,,,Noland Divide Trail,Lakeview Drive East,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1372204800000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000D66C6E175DDB54C0674B5A2187BC4140,128169,0101000020110F0000AAFBB624B9B661C12402A17C3A215041,127731,>1m <=5m,ATBI DATABASE,,1446890788000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279742,3928193,35.472867,-83.427553,Deep Creek,Indian Creek,1903.902954,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890788000,GRSM,UNR,,3,,,Indian Creek Trail,Tom Branch Road,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1372204800000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
0101000020E6100000C97BC3E7C8DB54C0045376CF81BB4140,128168,0101000020110F00001486AFB514B761C1F62787FA29205041,127730,>1m <=5m,ATBI DATABASE,,1446890788000,DERV,BRYSON CITY,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,279123,3927323,35.464892,-83.434133,Deep Creek,Juney Whank Branch,1838.151123,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446890788000,GRSM,UNR,,7,,,Juney Whank Falls Trail,West Deep Creek Road,Valid,Cambarus_Cambarus_bartonii,Cambarus Cambarus bartonii,5196,Appalachian Brook Crayfish,Misc Arthropod,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1372204800000,Animalia, ,Arthropoda,Malacostraca,Eumalacostraca, , ,Protostomia,Ecdysozoa,Eucarida,Decapoda, , , , ,Cambaridae, ,~,seine, , ,cert,Crayfish Inventory
