the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000C1602FFB72F954C06EC270C7BEBB4140,201422,0101000020110F000082B2585C46D061C1CD45238E69205041,201289,>1m <=5m,ATBI DATABASE,,1446932888000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,237059,3928666,35.466753,-83.897639,Lake Cheoah-Little Tennessee River,,1712.54126,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932888000,GRSM,UNR,,10,,,Twentymile Trail,Twenty Mile Ranger Station Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000EDB22DD01CE654C09306ECA755BA4140,201437,0101000020110F0000C975762EDABF61C1D6E8A901F11E5041,201303,>1m <=5m,ATBI DATABASE,,1446932896000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264450,3926680,35.455732,-83.595505,Fontana Lake-Tuckasegee River,,1896.024414,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446932896000,GRSM,UNR,,7,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1065484800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000EAC712154BCC54C082C8BF22C1E14140,201439,0101000020110F00004E91F488ECA961C150B8C3111F485041,201305,>1m <=5m,ATBI DATABASE,,1446932897000,DERV,HARTFORD,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,301830,3959956,35.7637,-83.192079,Cosby Creek,Riding Fork,2471.793945,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446932897000,GRSM,UNR,,3,,,Lower Mount Cammerer Trail,Cosby Picnic Area Parking C,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,970185600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000008F449585A2F354C0871054F088CB4140,201426,0101000020110F0000156B323656CB61C1F7D306E8E3305041,201293,>1m <=5m,ATBI DATABASE,,1446932891000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245695,3942114,35.59011,-83.80679,Abrams Creek Upper,Oliver Branch,1859.68335,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932891000,GRSM,UNR,,6,,,Lawson Cemetery Access,Cades Cove Loop Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000008128FBEE83FA54C0E1D117596AC44140,201419,0101000020110F00002FCAE12D2ED161C1E0049F1175295041,201286,>1m <=5m,ATBI DATABASE,,1446932887000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235769,3936226,35.534489,-83.914298,Chilhowee Lake,Parson Branch,2758.143555,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932887000,GRSM,UNR,,6,,,Hannah Mountain Trail,Parson Branch Road (closed Winter),Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1000771200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000C4FE34464FFC54C026F3CEFC45C14140,201412,0101000020110F000016AA254CB4D261C13C547EB62D265041,201279,>1m <=5m,ATBI DATABASE,,1446932883000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,233145,3933578,35.509942,-83.942334,Chilhowee Lake,,2198.58252,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932883000,GRSM,UNR,,6,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000055AFD2A5ABFC54C084048574CAC04140,201411,0101000020110F0000832613C002D361C1F3DB23D4AC255041,201278,>1m <=5m,ATBI DATABASE,,1446932883000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,232621,3933175,35.506172,-83.947972,Chilhowee Lake,,1867.141113,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932883000,GRSM,UNR,,5,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000009DB3BE211FF54C09D8882494CC14140,201403,0101000020110F0000F965CD6B0CD561C1C7941A4934265041,201271,>1m <=5m,ATBI DATABASE,,1446932879000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229233,3933717,35.510134,-83.985462,Chilhowee Lake,,1322.145752,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932879000,GRSM,UNR,,7,,,Hannah Mountain Trail,Parson Branch Road (closed Winter),Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1349049600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed,No,day,cert,Environmental Assessments
0101000020E610000011C49D919CFE54C0A39FCB09D7C24140,201404,0101000020110F0000374017C9A8D461C1E75D1B2ED0275041,201272,>1m <=5m,ATBI DATABASE,,1446932879000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229923,3935034,35.522181,-83.978302,Chilhowee Lake,Tabcat Creek,1317.749756,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932879000,GRSM,UNR,,10,,,Hannah Mountain Trail,Parson Branch Road (closed Winter),Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026777600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000FFF3853A93FE54C07B17CDDCD9C24140,201405,0101000020110F000094B355DAA0D461C141949120D3275041,201273,>1m <=5m,ATBI DATABASE,,1446932880000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229975,3935042,35.522267,-83.977732,Chilhowee Lake,Tabcat Creek,1265.351074,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932880000,GRSM,UNR,,7,,,Hannah Mountain Trail,Parson Branch Road (closed Winter),Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1034121600000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000001553DD4761FF54C0C69D25E49DC54140,201402,0101000020110F0000E0ED5DDA4FD561C1C4BE6A0FB62A5041,201270,>1m <=5m,ATBI DATABASE,,1446932878000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,228907,3937474,35.543874,-83.990308,Chilhowee Lake,,1136.232056,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932878000,GRSM,UNR,,9,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E61000006D26027C27FE54C02716D1E6E0C74140,201410,0101000020110F000051097F5845D461C1C68ED37D122D5041,201277,>1m <=5m,ATBI DATABASE,,1446932882000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,230703,3939382,35.561544,-83.971156,Abrams Creek Lower,Panther Creek,1249.553101,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932882000,GRSM,UNR,,8,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000BA45003A63FE54C0EE33F64BA2C74140,201407,0101000020110F00002863B01578D461C1C526AF21D12C5041,201275,>1m <=5m,ATBI DATABASE,,1446932881000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,230366,3939180,35.559634,-83.974802,Abrams Creek Lower,Panther Creek,1157.474365,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932881000,GRSM,UNR,,6,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000AD0A6DC942FE54C052A2CCD61FC64140,201408,0101000020110F00005D5A9C885CD461C182C0A3B33D2B5041,201276,>1m <=5m,ATBI DATABASE,,1446932882000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,230506,3937866,35.54784,-83.972822,Abrams Creek Lower,Blacksmith Branch,1281.922852,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932882000,GRSM,UNR,,7,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1033862400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E6100000A6613F5EC4FB54C013727740D3C94140,201413,0101000020110F0000F8F90F533ED261C1E432F6D31A2F5041,201280,>1m <=5m,ATBI DATABASE,,1446932884000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234135,3940968,35.576753,-83.933856,Abrams Creek Lower,,2042.07373,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932884000,GRSM,UNR,,7,,,Hannah Mountain Trail,Abrams Creek Campground Access Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000DE39013E99FB54C0A700452AE1C94140,201414,0101000020110F0000E8AA94B219D261C1657F445B292F5041,201281,>1m <=5m,ATBI DATABASE,,1446932884000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234375,3941008,35.577177,-83.931224,Abrams Creek Lower,,2304.960693,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932884000,GRSM,UNR,,7,,,Hannah Mountain Trail,Abrams Creek Campground Access Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000049E7A0A490FB54C0D652C335F9C94140,201415,0101000020110F0000C080F36412D261C13FDC0077422F5041,201282,>1m <=5m,ATBI DATABASE,,1446932885000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234425,3941088,35.577911,-83.930699,Abrams Creek Lower,Polecat Branch,2377.244141,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932885000,GRSM,UNR,,7,,,Hannah Mountain Trail,Abrams Creek Campground Access Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000F66150B57CFA54C0919854F8A9CB4140,201420,0101000020110F0000C68AF50A28D161C1154F756706315041,201287,>1m <=5m,ATBI DATABASE,,1446932887000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,235995,3942508,35.591118,-83.913857,Abrams Creek Lower,,1995.094727,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932887000,GRSM,UNR,,7,,,Rabbit Creek Trail,Abrams Creek Campground Access Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000C5F0F22367FA54C0342C92EBB0CB4140,201421,0101000020110F00002A80A9B915D161C19027B5A90D315041,201288,>1m <=5m,ATBI DATABASE,,1446932888000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,236115,3942528,35.59133,-83.912541,Abrams Creek Lower,,1962.981201,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446932888000,GRSM,UNR,,6,,,Rabbit Creek Trail,Abrams Creek Campground Access Road,Valid,Lespedeza_hirta,Lespedeza  hirta,22343,Hairy Bush-clover,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Fabales, , , , ,Fabaceae, ,~,observed, ,year,cert,Fridley Veg Plots
