the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004F9CDEF0BBE154C084957F3761BA4140,116842,0101000020110F0000FB966B3922BC61C113AA740FFD1E5041,116312,>1m <=5m,ATBI DATABASE,,1446884326000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,270661,3926558,35.456085,-83.527092,Noland Creek,Noland Creek,1830.685181,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884326000,GRSM,UNR,,2,,,Noland Creek Trail,Lakeview Drive East,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086652800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000E86F2ED0BEC454C01CC438D392CA4140,116859,0101000020110F0000B3E84D7583A361C1DFD81EE1E22F5041,116327,>1m <=5m,ATBI DATABASE,,1446884334000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,312069,3939634,35.582599,-83.074142,Lower Johnathans Creek,,4700.132812,,,dd,GCS,NAD83,17,,Cataloochee District,TPCOLSON,TPCOLSON,1446884334000,GRSM,UNR,,6,,,Ferguson Cabin Horse Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084838400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000009EBF6EB0AEC654C0E695572DF7C74140,116855,0101000020110F0000F7C6189B28A561C1AA8C65BF292D5041,116323,>1m <=5m,ATBI DATABASE,,1446884332000,DERV,DELLWOOD,Great Smoky Mountains National Park,>1m <=5m,Haywood,North Carolina,309278,3937432,35.562224,-83.104408,Upper Johnathans Creek,,5402.436523,,,dd,GCS,NAD83,17,,,TPCOLSON,TPCOLSON,1446884332000,GRSM,UNR,,6,,,Hemphill Bald Trail,The Purchase Road (closed Winter),Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1085011200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000009FCF69DE9DDF54C06535488EA2C44140,116845,0101000020110F0000A0CFA0D755BA61C13A044DBBAF295041,116315,>1m <=5m,ATBI DATABASE,,1446884327000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273889,3935370,35.536204,-83.494006,Noland Creek,,5094.591309,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884327000,GRSM,UNR,,4,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1054684800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, , ,cert,ATBI Aphid Study
0101000020E61000001E336C6EAEDF54C0E6E49D01FDC64140,116844,0101000020110F0000735FABE863BA61C1C5562593242C5041,116314,>1m <=5m,ATBI DATABASE,,1446884327000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273849,3937412,35.554589,-83.495017,Forney Creek,Salola Branch,6163.845703,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884327000,GRSM,UNR,,5,,,Forney Ridge Trail,Clingmans Dome Road Parking #3,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000493A0D28E6DF54C0D31E016C98C74140,116843,0101000020110F000062FE783C93BA61C1A03784D2C62C5041,116313,>1m <=5m,ATBI DATABASE,,1446884326000,DERV,CLINGMANS DOME,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,273554,3937946,35.559332,-83.498419,Forney Creek,,6281.00293,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884326000,GRSM,UNR,,6,,,Clingmans Dome Bypass Trail,Clingmans Dome Road Parking #3,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1087171200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000006927D13255DC54C03CFFF1C360D14140,116846,0101000020110F00003C0E5ADC8BB761C1A7B29F94FE365041,116316,>1m <=5m,ATBI DATABASE,,1446884328000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278816,3946298,35.635759,-83.442696,West Prong Little Pigeon River Upper,Alum Cave Creek,4604.875977,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446884328000,GRSM,UNR,,2,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000001BBA6C8319DC54C0D9BE404391D14140,116847,0101000020110F000066218F2B59B761C18E18964231375041,116317,>1m <=5m,ATBI DATABASE,,1446884329000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279150,3946454,35.637239,-83.439053,West Prong Little Pigeon River Upper,Styx Branch,4396.619141,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446884329000,GRSM,UNR,,7,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000BD62FF3513DC54C012B02D6E69D24140,116850,0101000020110F0000FF6246D153B761C100DB882A13385041,116318,>1m <=5m,ATBI DATABASE,,1446884329000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,279203,3947185,35.643836,-83.438669,West Prong Little Pigeon River Upper,Styx Branch,4995.786133,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446884329000,GRSM,UNR,,5,,,Alum Cave Trail,Alum Cave Bluffs Trailhead Parking,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086307200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E61000009E066A0360D654C046BC1B69BBD94140,116851,0101000020110F000026F53F857CB261C1CC83085ABA3F5041,116319,>1m <=5m,ATBI DATABASE,,1446884330000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,287420,3953333,35.701025,-83.349606,Little Pigeon River Upper,Middle Prong Little Pigeon River,2353.683105,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446884330000,GRSM,UNR,,1,,,Ramsey Cascades Trail,Ramsey Cascades Trailhead Parking,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084147200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000E5D160C2C4EE54C05B05D53958C74140,116841,0101000020110F0000A5C8692F34C761C1396E9CCD832C5041,116311,>1m <=5m,ATBI DATABASE,,1446884325000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,252485,3938288,35.557373,-83.730755,Eagle Creek,,4311.928223,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446884325000,GRSM,UNR,,4,,,Eagle Creek Trail,Laurel Creek Road,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084665600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000CBA7C4FE5DEF54C0E55B72F8BEC94140,116840,0101000020110F000065DF1854B6C761C168D662A6052F5041,116310,>1m <=5m,ATBI DATABASE,,1446884325000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251695,3940393,35.576134,-83.740108,Abrams Creek Upper,,3523.305664,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446884325000,GRSM,UNR,,5,,,Anthony Creek Trail,Laurel Creek Road,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E610000036D43C0860F254C00CC52A9974CD4140,116837,0101000020110F0000ECAD375244CA61C118308170E5325041,116308,>1m <=5m,ATBI DATABASE,,1446884324000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247526,3943728,35.605114,-83.787107,Abrams Creek Upper,Abrams Creek,1812.574585,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446884324000,GRSM,UNR,,6,,,Rich Mountain Loop Trail,Cc Pullout Parking @ Mp 0.517 # 2,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084579200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E610000075C9ADE6ACF754C02B7CF2BA42CD4140,116835,0101000020110F0000D5CED9B5C4CE61C1F2893359B1325041,116306,>1m <=5m,ATBI DATABASE,,1446884322000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,240017,3943775,35.603592,-83.869924,Abrams Creek Lower,Abrams Creek,1769.447876,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446884322000,GRSM,UNR,,10,,,Abrams Falls Trail,Abrams Falls Parking Lot,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1086134400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E6100000CFBA3C596EF354C0DA51A9CD10CB4140,116836,0101000020110F00008AF1A5E629CB61C13919DA7066305041,116307,>1m <=5m,ATBI DATABASE,,1446884323000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245972,3941699,35.586443,-83.803606,Abrams Creek Upper,,1973.130371,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446884323000,GRSM,UNR,,7,,,Lawson Cemetery Access,Cades Cove Loop Road,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084579200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
0101000020E610000039BF2C43B5FB54C08A836062E7CD4140,116833,0101000020110F0000FF9AC17E31D261C1EA6497585D335041,116304,>1m <=5m,ATBI DATABASE,,1446884321000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234324,3944501,35.608617,-83.932934,Abrams Creek Lower,Abrams Creek,1229.125732,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446884321000,GRSM,UNR,,7,,,Cooper Road Trail,Abrams Creek Campground Road Parking #2,Valid,Aulacorthum_solani,Aulacorthum  solani,4454,Foxglove Aphid,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1084752000000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Hemiptera, , , ,Aphidoidea,Aphididae, ,~,by hand, ,day,cert,ATBI Aphid Study
