the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000002AB17F5F42E454C01BAFEDABBABB4140,202293,0101000020110F00002938443D47BE61C1C9AFA24565205041,202138,>1m <=5m,ATBI DATABASE,,1446933358000,DERV,NOLAND CREEK,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,267110,3927820,35.466627,-83.566547,Forney Creek,Forney Creek,1925.609375,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933358000,GRSM,UNR,,10,,,Lakeshore Trail,Lakeview Drive East Parking #4,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1078617600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,by hand,No, ,cert,ATBI
0101000020E6100000A463376192DB54C0A9EBFD045FD64140,202318,0101000020110F000068E4AF66E6B661C1948599AA363C5041,202163,>1m <=5m,ATBI DATABASE,,1446933373000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,280000,3950599,35.674768,-83.430805,Porters Creek,Trillium Branch,4571.896484,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933373000,GRSM,UNR,,4,,,Brushy Mountain Trail,Roaring Fork Motor Nature Trail,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1023062400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E61000007607FFC2F5D154C05C1EB6F7A0DD4140,202321,0101000020110F0000CAD9F198BCAE61C15CFA9BD6CD435041,202165,>1m <=5m,ATBI DATABASE,,1446933374000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,293741,3956563,35.731468,-83.280621,East Fork Dunn Creek,,3506.320312,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446933374000,GRSM,UNR,,6,,,Albright Grove NatureTrail,Cosby Campground Road B,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1001548800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E6100000DE18AC7FEAEC54C0C289C7C92DD44140,202284,0101000020110F000023334365A1C561C1B5AF8CF6EB395041,202130,>1m <=5m,ATBI DATABASE,,1446933353000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255415,3949340,35.65764,-83.701809,Little River-Goshen Prong,Whiteoak Flats Branch,1580.11853,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933353000,GRSM,UNR,,7,,,Roundtop Trail,Little River Gorge Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1077926400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,by hand,No, ,cert,ATBI
0101000020E610000077B9C099E3EC54C073DB7C2B6BD34140,202286,0101000020110F0000957177899BC561C199338C8A20395041,202131,>1m <=5m,ATBI DATABASE,,1446933354000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255435,3948680,35.651701,-83.701388,Little River-Crooked Creek,Middle Prong Little River,1488.610474,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933354000,GRSM,UNR,,8,,,Roundtop Trail,Tremont Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1077926400000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,by hand,No, ,cert,ATBI
0101000020E61000003EF9775A37EE54C093D62E5954D14140,202283,0101000020110F00006393D116BCC661C1F94FDD9AF1365041,202129,>1m <=5m,ATBI DATABASE,,1446933353000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,253507,3946921,35.63538,-83.722124,Little River-Crooked Creek,Laurel Creek,1576.267578,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933353000,GRSM,UNR,,8,,,Bote Mountain Trail,Laurel Creek Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1077667200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,by hand,No, ,cert,ATBI
0101000020E6100000B103E4D4D9EB54C0076BB9C636D04140,202287,0101000020110F0000CDF8BCD1B9C461C15E930C34C7355041,202132,>1m <=5m,ATBI DATABASE,,1446933355000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256828,3945862,35.626665,-83.685166,Little River-Crooked Creek,Middle Prong Little River,1570.684814,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933355000,GRSM,UNR,,4,,,West Prong Trail,Upper Tremont Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1077580800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,by hand,No, ,cert,General
0101000020E610000008526924BFEB54C04BFA9E1209D14140,202288,0101000020110F00000550E926A3C461C15654C0F1A2365041,202133,>1m <=5m,ATBI DATABASE,,1446933355000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,256995,3946570,35.633083,-83.683537,Little River-Crooked Creek,Middle Prong Little River,1529.169067,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933355000,GRSM,UNR,,6,,,Lumber Ridge Trail,Upper Tremont Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1190332800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,by hand,No,day,cert,17 Park Study
0101000020E61000008B32F59C0FE054C0F511AB589FD74140,202295,0101000020110F00009A630472B6BA61C190498A96853D5041,202140,>1m <=5m,ATBI DATABASE,,1446933359000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,273678,3951843,35.684543,-83.500949,Le Conte Creek,Le Conte Creek,2106.877197,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933359000,GRSM,UNR,,3,,,Twin Creeks Trail,Twin Creeks Research Lab Access,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1001980800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,by hand, , ,cert,ATBI
0101000020E6100000E3B228F1BBE254C05AE0D201EECD4140,202294,0101000020110F00009D5569A5FBBC61C1F690B64364335041,202139,>1m <=5m,ATBI DATABASE,,1446933359000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,269680,3943539,35.608819,-83.542717,Little River-Goshen Prong,Wars Branch,3261.746094,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446933359000,GRSM,UNR,,1,,,Goshen Prong Trail,Newfound Gap Road North,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,1003708800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,Lindgren funnel trap, , ,cert,ATBI Pilot Study
0101000020E6100000954CD2B874E654C0EF67459C5AC44140,202291,0101000020110F0000B7BFA9D724C061C13CD0E2A464295041,202136,>1m <=5m,ATBI DATABASE,,1446933357000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,264192,3935377,35.534008,-83.60087,Hazel Creek,Hazel Creek,3678.769287,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446933357000,GRSM,UNR,,7,,,Hazel Creek Trail,Clingmans Dome Road Parking #3,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,999043200000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,black light trap, , ,cert,N. kolodskii search
0101000020E6100000CDAD2A3D2BEA54C014A5F96D4CCA4140,202290,0101000020110F00002D7EE61D4CC361C17233E75D992F5041,202135,>1m <=5m,ATBI DATABASE,,1446933356000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,259070,3940670,35.580451,-83.658885,Little River-Crooked Creek,Starkey Creek,3520.866455,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933356000,GRSM,UNR,,3,,,Greenbrier Ridge Trail,Upper Tremont Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,999561600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,black light trap, , ,cert,N. kolodskii search
0101000020E61000006D5131911CEB54C0C172B4453ACD4140,202289,0101000020110F00004520B21319C461C11FA97683A8325041,202134,>1m <=5m,ATBI DATABASE,,1446933356000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,257804,3943245,35.603334,-83.673614,Little River-Crooked Creek,Shut-in Creek,2386.83374,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933356000,GRSM,UNR,,5,,,Thunderhead Prong Quiet Walkway,Upper Tremont Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,964569600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,sweeping, , ,cert,N. kolodskii search
0101000020E6100000110B8F72BAF154C09B3E2367DACC4140,202277,0101000020110F0000A861A6B0B7C961C1EC7DA65F44325041,202123,>1m <=5m,ATBI DATABASE,,1446933350000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248427,3943180,35.600408,-83.777001,Abrams Creek Upper,Cooper Branch,1916.766235,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933350000,GRSM,UNR,,6,,,Cades Cove Nature Trail,Cades Cove Campground Segment A,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,995241600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,at light, , ,cert,ATBI
0101000020E6100000A514F042A5F154C09E9CAA4D2CCD4140,202278,0101000020110F000096F05DB2A5C961C1CF9012EC99325041,202124,>1m <=5m,ATBI DATABASE,,1446933350000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248552,3943454,35.602908,-83.775708,Abrams Creek Upper,Stillhouse Branch,1901.50415,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933350000,GRSM,UNR,,5,,,Cades Cove Horse Trail,Cades Cove Campground Segment F,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,992044800000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,black light trap, , ,cert,ATBI
0101000020E610000033334F88A2F554C0B3CD3CA28ACB4140,202276,0101000020110F0000BED0001009CD61C1B2A232ADE5305041,202121,>1m <=5m,ATBI DATABASE,,1446933349000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242863,3942201,35.590161,-83.838041,Abrams Creek Upper,,1783.1875,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933349000,GRSM,UNR,,5,,,Elijah Oliver Cabin Access Trail,Cades Cove Loop Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,983145600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,Malaise trap (Townes), , ,cert,ATBI Pilot Study
0101000020E61000004E22FF22C1F054C0CEAD3AF9D4CB4140,202281,0101000020110F0000564E47F3E3C861C1F4ED4B5133315041,202127,>1m <=5m,ATBI DATABASE,,1446933352000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249781,3942256,35.59243,-83.761784,Abrams Creek Upper,Abrams Creek,2445.878906,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933352000,GRSM,UNR,,8,,,Anthony Creek Trail,Anthony Creek Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,994377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,sweeping, , ,cert,ATBI
0101000020E61000003BD0F9DF20F054C04400C50FE8CA4140,202282,0101000020110F0000245304D75BC861C14EB88BE43B305041,202128,>1m <=5m,ATBI DATABASE,,1446933352000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,250645,3941429,35.5852,-83.752002,Abrams Creek Upper,Anthony Creek,2807.982422,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446933352000,GRSM,UNR,,5,,,Anthony Creek Trail,Laurel Creek Road,Valid,Leuctra_ferruginea,Leuctra  ferruginea,22483,Eastern Needlefly,Insect,Ecological Framework: Biological Integrity | Focal Species or Communities | Forest/Woodland Community,994377600000,Animalia, ,Arthropoda,Insecta,Pterygota, , ,Protostomia,Ecdysozoa, ,Plecoptera, ,Euholognatha, , ,Leuctridae,Leuctrinae,~,sweeping, , ,cert,ATBI
