the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000004B9E13C49EFA54C05463FDF784BC4140,176378,0101000020110F00007497CEF744D161C16AAC8B3B38215041,175995,>1m <=5m,ATBI DATABASE,,1446918254000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,235418,3929386,35.472801,-83.915936,Lake Cheoah-Little Tennessee River,,2122.978027,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446918254000,GRSM,UNR,,6,,,Twentymile Trail,Parson Branch Road (closed Winter),Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000DAD511AB12DF54C0AFFE392097D24140,176395,0101000020110F0000AB04859EDFB961C1992231EC42385041,176012,>1m <=5m,ATBI DATABASE,,1446918264000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274965,3947446,35.64523,-83.48551,West Prong Little Pigeon River Upper,Ramp Creek,3884.945557,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446918264000,GRSM,UNR,,1,,,Bullhead Trail,Pullout Parking At Mp 7.72,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902880000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000005195471B6DD954C0353A0F4AFFD64140,176398,0101000020110F000020F639E713B561C1491DBA3BDE3C5041,176015,>1m <=5m,ATBI DATABASE,,1446918266000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,283048,3951067,35.679659,-83.39728,Porters Creek,Porters Creek,2439.120605,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446918266000,GRSM,UNR,,9,,,Porters Creek Trail,Porters Creek Trailhead Parking,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,869616000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007A1B7FC859D054C0C68AFD19E9DF4140,176402,0101000020110F0000EAA036B45EAD61C117FE560D31465041,176020,>1m <=5m,ATBI DATABASE,,1446918269000,DERV,MOUNT GUYOT,Great Smoky Mountains National Park,>1m <=5m,Cocke,Tennessee,296061,3958488,35.749294,-83.255476,Cosby Creek,,3228.040039,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446918269000,GRSM,UNR,,7,,,Gabes Mountain Trail,Cosby Campground Road B,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,961459200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E610000007EE1F8FE9DC54C0935ACFE054D94140,176397,0101000020110F0000EAFF09DD09B861C19BB9FD1E4F3F5041,176014,>1m <=5m,ATBI DATABASE,,1446918265000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,278168,3953212,35.697896,-83.451751,Roaring Fork,,2920.910645,,,dd,GCS,NAD83,17,,Cosby District,TPCOLSON,TPCOLSON,1446918265000,GRSM,UNR,,6,,,Grapeyard Ridge Trail,Roaring Fork Motor Nature Trail,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899251200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000ED92F9C6DEEF54C0FC36DFF051D14140,176390,0101000020110F0000376701B423C861C1029AD416EF365041,176007,>1m <=5m,ATBI DATABASE,,1446918261000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251166,3946978,35.635306,-83.747968,Little River-Crooked Creek,,1652.390869,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918261000,GRSM,UNR,,1,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000AA59D562D5EF54C0B6A718B23DD14140,176391,0101000020110F000080D72ABA1BC861C1F123F2EED9365041,176008,>1m <=5m,ATBI DATABASE,,1446918261000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,251216,3946908,35.634688,-83.747395,Little River-Crooked Creek,,1681.403809,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918261000,GRSM,UNR,,8,,,Turkeypen Ridge Trail,Laurel Creek Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,283996800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000092C175B882E154C086F61B41F8D54140,176393,0101000020110F0000DD7A85A0F1BB61C1D8624C3ACB3B5041,176010,>1m <=5m,ATBI DATABASE,,1446918263000,DERV,GATLINBURG,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,271591,3950463,35.671632,-83.523599,West Prong Little Pigeon River Upper,West Prong Little Pigeon River,1637.876953,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446918263000,GRSM,UNR,,6,,,Old Sugarlands Trail,Newfound Gap Road North,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1027296000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000969FB46D21EB54C04C1C9951B0C24140,176392,0101000020110F00001038A9341DC461C1A2FFBCC6A7275041,176009,>1m <=5m,ATBI DATABASE,,1446918262000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,257529,3934111,35.520999,-83.673911,Hazel Creek,Big Flats Branch,2746.29834,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446918262000,GRSM,UNR,,4,,,Bone Valley Trail,Upper Tremont Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089072000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E610000065809F5FDEF154C0764C35713ACC4140,176387,0101000020110F00007332B833D6C961C11176B24B9D315041,176004,>1m <=5m,ATBI DATABASE,,1446918259000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248213,3942644,35.595527,-83.779193,Abrams Creek Upper,Fanny Branch,1904.571411,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918259000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove New Dump Station,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000006ECC80ED7FF254C00357909E16CC4140,176386,0101000020110F000018E5FA685FCA61C1B9445FE177315041,176003,>1m <=5m,ATBI DATABASE,,1446918258000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,247316,3942548,35.594433,-83.789054,Abrams Creek Upper,Sea Branch,1885.897095,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918258000,GRSM,UNR,,5,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000397F62E328F354C031B1F4FF7CCD4140,176385,0101000020110F000048EC83E8EECA61C16AD73137EE325041,176002,>1m <=5m,ATBI DATABASE,,1446918258000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246416,3943788,35.60537,-83.799366,Abrams Creek Upper,Marthas Branch,1821.907471,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918258000,GRSM,UNR,,7,,,John Oliver Cabin access ,Cades Cove Loop Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000005112ADD098F554C0823A5727B6CA4140,176382,0101000020110F0000D56341CF00CD61C165F8E5C507305041,175999,>1m <=5m,ATBI DATABASE,,1446918256000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242896,3941480,35.583677,-83.837448,Abrams Creek Upper,Mill Creek,1781.698608,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918256000,GRSM,UNR,,8,,,Wet Bottom Trail,Forge Creek Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900374400000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000391177342FF654C07B15F731FCCB4140,176381,0101000020110F0000F26B238980CD61C1482B23485C315041,175998,>1m <=5m,ATBI DATABASE,,1446918256000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242096,3942608,35.593627,-83.846627,Abrams Creek Upper,Abrams Creek,1707.611206,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918256000,GRSM,UNR,,6,,,Wet Bottom Trail,Cades Cove Loop Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000595EDB3687F554C0FD657A40DBC94140,176383,0101000020110F0000033976DCF1CC61C134AD882E232F5041,176000,>1m <=5m,ATBI DATABASE,,1446918257000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242972,3940736,35.576997,-83.836374,Abrams Creek Upper,Wildcat Branch,1925.342041,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918257000,GRSM,UNR,,3,,,Gregory Ridge Trail,Forge Creek Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E6100000C9036B7E97F354C0FB6795BF19C54140,176384,0101000020110F000024637BD84CCB61C192996C222C2A5041,176001,>1m <=5m,ATBI DATABASE,,1446918257000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245597,3936535,35.539841,-83.806117,Abrams Creek Upper,,3811.82666,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918257000,GRSM,UNR,,7,,,Appalachian Trail,Forge Creek Parking @ End,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,874972800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D1832598B6FE54C07384EBD5B0C24140,176374,0101000020110F0000B87294E3BED461C158A7D050A8275041,175991,>1m <=5m,ATBI DATABASE,,1446918252000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229775,3934909,35.521015,-83.97989,Chilhowee Lake,Tabcat Creek,973.287109,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918252000,GRSM,UNR,,6,,,Hannah Mountain Trail,Parson Branch Road (closed Winter),Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002D671AA0F6FE54C0A3F7F84A01C44140,176373,0101000020110F00004E154645F5D461C14449AE6D07295041,175990,>1m <=5m,ATBI DATABASE,,1446918251000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,229455,3936059,35.531283,-83.983799,Chilhowee Lake,Shop Creek,921.075134,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918251000,GRSM,UNR,,6,,,Hannah Mountain Trail,Foothills Parkway Section 8h,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1026864000000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000C33F0205B2FB54C024EB15BBA2CD4140,176375,0101000020110F0000632EB2BD2ED261C187691AA115335041,175992,>1m <=5m,ATBI DATABASE,,1446918253000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234335,3944268,35.606522,-83.932736,Abrams Creek Lower,Abrams Creek,1156.162476,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918253000,GRSM,UNR,,7,,,Rabbit Creek Trail,Abrams Creek Campground Access Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000046CDDB01ACFB54C03A229D8982CD4140,176376,0101000020110F0000FFCA7EA229D261C11C831100F4325041,175993,>1m <=5m,ATBI DATABASE,,1446918253000,DERV,CALDERWOOD,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,234365,3944158,35.605539,-83.932369,Abrams Creek Lower,Abrams Creek,1115.126343,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446918253000,GRSM,UNR,,6,,,Rabbit Creek Trail,Abrams Creek Campground Access Road,Valid,Geum_canadense,Geum  canadense,17163,White Avens,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Rosidae,Spermatophyta,Magnoliophyta, , ,Rosales, , , , ,Rosaceae, ,~,observed, ,year,cert,Fridley Veg Plots
