the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E61000009983FB5C28F854C072F92B3E67BB4140,30754,0101000020110F0000562B18912DCF61C100136E460E205041,29911,>1m <=5m,ATBI DATABASE,,1446840119000,DERV,TAPOCO,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,238882,3928316,35.464081,-83.877459,Lake Cheoah-Little Tennessee River,,1588.573486,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840119000,GRSM,UNR,,9,,,Twentymile Trail,Twenty Mile Ranger Station Parking # 2,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1118016000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,TVA Powerline Plants
0101000020E6100000E3652A1D5CF654C07C1BC3E5F6BD4140,30805,0101000020110F0000452B4AADA6CD61C15053B10BBA225041,29962,>1m <=5m,ATBI DATABASE,,1446840144000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241496,3930462,35.48409,-83.849368,Lake Cheoah-Little Tennessee River,,2338.679932,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840144000,GRSM,UNR,,6,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000642E464397F654C06ADB5B8ADEBD4140,30791,0101000020110F0000B8BC7CE9D8CD61C1AE551FA4A0225041,29948,>1m <=5m,ATBI DATABASE,,1446840137000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,241166,3930389,35.483347,-83.852978,Lake Cheoah-Little Tennessee River,,2456.456543,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840137000,GRSM,UNR,,5,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000005A428900CF754C0D1B48C208ABD4140,30784,0101000020110F0000824407893CCE61C1DAF7669948225041,29941,>1m <=5m,ATBI DATABASE,,1446840134000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240508,3930122,35.480771,-83.860138,Lake Cheoah-Little Tennessee River,,2472.455566,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840134000,GRSM,UNR,,8,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000002A2CB61E85F754C08791FACC48BE4140,30772,0101000020110F0000E9AE9AECA2CE61C13E4117790F235041,29929,>1m <=5m,ATBI DATABASE,,1446840128000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239859,3930787,35.48659,-83.867496,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1855.078247,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840128000,GRSM,UNR,,2,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020384000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E6100000BDA7E42F9CF754C0AB8AE4C31DBE4140,30768,0101000020110F0000CA75E083B6CE61C18BE9DF95E2225041,29925,>1m <=5m,ATBI DATABASE,,1446840126000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239727,3930645,35.485277,-83.868904,Lake Cheoah-Little Tennessee River,Moore Springs Branch,1804.144775,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840126000,GRSM,UNR,,4,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000006A7B56FA32F754C026DBAB5C16BE4140,30782,0101000020110F00009D2333295DCE61C18A0F1CDDDA225041,29939,>1m <=5m,ATBI DATABASE,,1446840133000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240309,3930603,35.485051,-83.862482,Lake Cheoah-Little Tennessee River,,2206.59082,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840133000,GRSM,UNR,,7,,,Twentymile Loop Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,898560000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000B29B9BC7C5F754C0C6D378171FBF4140,30762,0101000020110F0000D3F4FBD6D9CE61C178A143FFEE235041,29919,>1m <=5m,ATBI DATABASE,,1446840123000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239522,3931523,35.49313,-83.871442,Lake Cheoah-Little Tennessee River,,2637.443848,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840123000,GRSM,UNR,,7,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000AAE5A684C2F754C00567BA2851BF4140,30764,0101000020110F0000DE1BDB11D7CE61C18663723923245041,29921,>1m <=5m,ATBI DATABASE,,1446840124000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239545,3931692,35.494657,-83.871243,Lake Cheoah-Little Tennessee River,,2762.376465,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840124000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,896745600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000001E5C583CB7F754C0C682EA4293BF4140,30766,0101000020110F000084E7D07CCDCE61C1D9C7082E68245041,29923,>1m <=5m,ATBI DATABASE,,1446840125000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,239614,3931914,35.496675,-83.870555,Lake Cheoah-Little Tennessee River,,2868.966553,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840125000,GRSM,UNR,,6,,,Wolf Ridge Trail,Twenty Mile Trailhead Parking,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,896745600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000004545D9B10AF454C0CB8CA4D577BF4140,30900,0101000020110F00008C3690AFAECB61C16840A7914B245041,30060,>1m <=5m,ATBI DATABASE,,1446840196000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244820,3931671,35.495838,-83.813149,Eagle Creek,,3797.356445,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840196000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864259200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000027038EA467F454C08BEB3A89C5BE4140,30881,0101000020110F00008A256AA0FDCB61C1C5DCA29491235041,30041,>1m <=5m,ATBI DATABASE,,1446840186000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244288,3931082,35.490397,-83.818822,Lake Cheoah-Little Tennessee River,Proctor Branch,3490.167969,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840186000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864259200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E610000069A076AEFEF454C027CBCE84A1BE4140,30870,0101000020110F0000810C62E77DCC61C169B2EF026C235041,30030,>1m <=5m,ATBI DATABASE,,1446840180000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,243448,3930984,35.489297,-83.82804,Lake Cheoah-Little Tennessee River,,2900.774902,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840180000,GRSM,UNR,,6,,,Twentymile Trail,Payne Cemetery Access Road,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864172800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000009EF5F6D5DFF354C09BBFC48A60BC4140,30901,0101000020110F0000088723498ACB61C11242A93E12215041,30061,>1m <=5m,ATBI DATABASE,,1446840196000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244981,3928985,35.471689,-83.810533,Lake Cheoah-Little Tennessee River,,2965.071289,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840196000,GRSM,UNR,,10,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000D1DAC518DEF354C06CA387CF8DBC4140,30902,0101000020110F0000F28709CF88CB61C1A00E1E7441215041,30062,>1m <=5m,ATBI DATABASE,,1446840197000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,244995,3929138,35.473071,-83.810427,Lake Cheoah-Little Tennessee River,,3073.636963,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840197000,GRSM,UNR,,7,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E61000007AB4E061D4F354C0A7179511EDBC4140,30905,0101000020110F0000F29AEA8E80CB61C1242809CCA4215041,30065,>1m <=5m,ATBI DATABASE,,1446840198000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245058,3929459,35.475978,-83.809834,Lake Cheoah-Little Tennessee River,,3222.107178,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840198000,GRSM,UNR,,10,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000A9143661CDF354C0FDC17D7AF2BD4140,30908,0101000020110F0000EA79679C7ACB61C1FCBAC36FB5225041,30068,>1m <=5m,ATBI DATABASE,,1446840200000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,245122,3930343,35.483956,-83.809406,Lake Cheoah-Little Tennessee River,,3624.634766,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840200000,GRSM,UNR,,6,,,Appalachian Trail,Payne Cemetery Access Road,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,864691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
0101000020E6100000C17560F40DF354C063C748FB01BB4140,30935,0101000020110F0000E4389508D8CA61C15F7ECBAFA41F5041,30096,>1m <=5m,ATBI DATABASE,,1446840215000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,246110,3927765,35.460991,-83.797723,Lower Fontana Lake-Little Tennessee River,,1777.609497,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840215000,GRSM,UNR,,5,,,Lakeshore Trail,Lakeview Drive West,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1051488000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, , ,cert,INHS plant survey
0101000020E61000008FE8FEE759EC54C0BBB3B71A2DB94140,31050,0101000020110F00007138D69726C561C143E07AD3BB1D5041,30211,>1m <=5m,ATBI DATABASE,,1446840278000,DERV,TUSKEEGEE,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,255574,3925913,35.446682,-83.692983,Lower Fontana Lake-Little Tennessee River,,1986.175537,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446840278000,GRSM,UNR,,6,,,Lakeshore Trail,Lakeview Drive West,Valid,Sassafras_albidum,Sassafras  albidum,35604,Sassafras,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,865641600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Laurales, , , , ,Lauraceae, ,~,observed, ,day,cert,Ted Simons Bird Survey
