the_geom,cartodb_id,the_geom_webmercator,objectid,verror,mapsource,sourcedate,editdate,mapmethod,quadname,unitname,herror,county,state,x_coord,y_coord,lat,lon,watershed,streamname,elevation,year,notes,coord_units,coord_system,datum,utm_zone,managementzone,parkdistrict,editby,createby,createdate,unitcode,restriction,veg_class,landform,loc_name,loc_id,trail,road,valid_result,genus_speciesmaxent,genus_speciesirma,grsm_speciesid,commonname,taxagroup,subjectcategory,dateretrieved,kingdom,subkingdom,phylum,subphylum,class,subclass,superdivision,division,subdivision,superorder,ordername,series,suborder,infraorder,superfamily,family,subfamily,tribe,collectionmethod,specimentype,dateprecision,identificationprecision,project
0101000020E6100000E624015B1FF754C0F44E983F45BC4140,58501,0101000020110F00003B94E17E4CCE61C156041EC8F5205041,57950,>1m <=5m,ATBI DATABASE,,1446855786000,DERV,FONTANA DAM,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,240372,3929025,35.470856,-83.861285,Lake Cheoah-Little Tennessee River,Twentymile Creek,1736.993652,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855786000,GRSM,UNR,,4,,,Twentymile Trail,Twenty Mile Trailhead Parking,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1020297600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000002371C95039DF54C015CD0CED2CD94140,58523,0101000020110F0000C9B9417100BA61C1BD5CDE56253F5041,57971,>1m <=5m,ATBI DATABASE,,1446855798000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,274896,3953159,35.696677,-83.487869,Baskins Creek,Baskins Creek,1960.726807,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855798000,GRSM,UNR,,6,,,Baskins Creek Trail,Cherokee Orchard Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,897264000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000711EEE80D1DE54C09120DB80EFDA4140,58525,0101000020110F0000768E5F46A8B961C1B4C14E96FC405041,57973,>1m <=5m,ATBI DATABASE,,1446855799000,DERV,MOUNT LE CONTE,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,275508,3954670,35.710427,-83.481533,Roaring Fork,,1853.333618,,,dd,GCS,NAD83,17,,Little River District,TPCOLSON,TPCOLSON,1446855799000,GRSM,UNR,,8,,,Baskins Creek Trail,Roaring Fork Motor Nature Trail,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,902966400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000007F1BE8F595EC54C0FB69091D27D24140,58517,0101000020110F0000C078E79859C561C1115010DCCD375041,57966,>1m <=5m,ATBI DATABASE,,1446855795000,DERV,WEAR COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,255834,3947571,35.641812,-83.696649,Little River-Crooked Creek,,1480.345947,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855795000,GRSM,UNR,,4,,,West Prong Trail,Tremont Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,933724800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000D131971C23E154C0F42338144FC14140,58522,0101000020110F0000C168286DA0BB61C1DCE0CB3237265041,57970,>1m <=5m,ATBI DATABASE,,1446855797000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,271661,3932542,35.510219,-83.517764,Noland Creek,Indian Creek,3965.612793,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855797000,GRSM,UNR,,3,,,Springhouse Branch Trail,Lakeview Drive East,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1056240000000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,by hand, , ,cert,INHS plant survey
0101000020E61000007EA55BC50EE554C083C1C7FD1AC64140,58521,0101000020110F0000B898A2D5F4BE61C131FE36A4382B5041,57969,>1m <=5m,ATBI DATABASE,,1446855797000,DERV,SILERS BALD,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,266213,3936843,35.547692,-83.579022,Hazel Creek,Hazel Creek,4282.98291,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855797000,GRSM,UNR,,7,,,Hazel Creek Trail,Clingmans Dome Road Parking #3,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1090972800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, , ,cert,INHS plant survey
0101000020E610000001AFEDF26FED54C0AC8098172FC14140,58516,0101000020110F0000FE7020BC12C661C110CD3CD315265041,57965,>1m <=5m,ATBI DATABASE,,1446855794000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Swain,North Carolina,254224,3932896,35.509243,-83.709954,Hazel Creek,Little Fork,2878.84668,,,dd,GCS,NAD83,17,,Deep Creek District,TPCOLSON,TPCOLSON,1446855794000,GRSM,UNR,,5,,,Jenkins Ridge Trail,Lakeview Drive West,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,1089158400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000E9154C85C3E854C09CF83478B6CC4140,58518,0101000020110F000066D3A49B1AC261C18A1A32D71E325041,57967,>1m <=5m,ATBI DATABASE,,1446855796000,DERV,THUNDERHEAD MOUNTAIN,Great Smoky Mountains National Park,>1m <=5m,Sevier,Tennessee,261116,3942709,35.599312,-83.63693,Little River-Crooked Creek,Doghobble Branch,2886.155518,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855796000,GRSM,UNR,,4,,,Middle Prong Trail,Upper Tremont Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000005112ADD098F554C0823A5727B6CA4140,58505,0101000020110F0000D56341CF00CD61C165F8E5C507305041,57954,>1m <=5m,ATBI DATABASE,,1446855788000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,242896,3941480,35.583677,-83.837448,Abrams Creek Upper,Mill Creek,1781.698608,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855788000,GRSM,UNR,,8,,,Wet Bottom Trail,Forge Creek Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900374400000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000C392595AB9F654C02C946A7EC0CB4140,58504,0101000020110F0000093B65DDF5CD61C163499CED1D315041,57953,>1m <=5m,ATBI DATABASE,,1446855787000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,241326,3942428,35.591805,-83.855059,Abrams Creek Lower,Abrams Creek,1745.23877,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855787000,GRSM,UNR,,4,,,Abrams Falls Trail,Abrams Falls Parking Lot,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,899769600000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000000E64A0DF15F754C0D2F5478FD4CA4140,58503,0101000020110F0000F8ED4E7144CE61C1BED6C58627305041,57952,>1m <=5m,ATBI DATABASE,,1446855787000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,240791,3941644,35.584605,-83.860706,Abrams Creek Lower,,2076.685791,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855787000,GRSM,UNR,,5,,,Rabbit Creek Trail,Abrams Falls Parking Lot,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,870652800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000572A03628DF354C04DBA653BAAC84140,58509,0101000020110F000007F3254244CB61C1747D3CB1E42D5041,57958,>1m <=5m,ATBI DATABASE,,1446855790000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,245741,3939623,35.567688,-83.8055,Abrams Creek Upper,Sugar Cove Branch,2729.32666,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855790000,GRSM,UNR,,5,,,Appalachian Trail,Cades Cove Loop Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900979200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E6100000DB60ED97EBF254C0B3669982CBC94140,58511,0101000020110F00003B6BC1D9BACA61C1A4F876BE122F5041,57960,>1m <=5m,ATBI DATABASE,,1446855791000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246664,3940577,35.576516,-83.795625,Abrams Creek Upper,Oliver Branch,3214.798584,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855791000,GRSM,UNR,,7,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900547200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000009E43B67FC7F254C0210BC4F7EDC94140,58512,0101000020110F0000C9AC09329CCA61C11A4CB6B9362F5041,57961,>1m <=5m,ATBI DATABASE,,1446855792000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,246867,3940688,35.577568,-83.793422,Abrams Creek Upper,Bunting Branch,2919.747803,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855792000,GRSM,UNR,,6,,,Cades Cove Horse Trail,Cades Cove Loop Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900547200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000002581E78D9CF154C0CFC35E6FB5C84140,58513,0101000020110F000076833F4D9EC961C127C1B063F02D5041,57962,>1m <=5m,ATBI DATABASE,,1446855793000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,248491,3939583,35.56803,-83.775176,Abrams Creek Upper,Pole Knob Branch,3953.38623,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855793000,GRSM,UNR,,7,,,Russell Field Trail,Cades Cove Loop Road,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,900892800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,day,cert,Fridley Veg Plots
0101000020E61000006E49F53AB5F054C046204ECF57C84140,58514,0101000020110F0000641994D6D9C861C10BC4FEA28E2D5041,57963,>1m <=5m,ATBI DATABASE,,1446855793000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249762,3939230,35.565173,-83.761057,Abrams Creek Upper,,3998.514893,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855793000,GRSM,UNR,,6,,,Appalachian Trail,Cades Cove Campground Segment A,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,220924800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E610000051EA23D4B2F054C08B03B04D5FC84140,58515,0101000020110F0000F9DB69CCD7C861C1B59BEA75962D5041,57964,>1m <=5m,ATBI DATABASE,,1446855794000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,249776,3939255,35.565402,-83.760911,Abrams Creek Upper,,3979.992676,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855794000,GRSM,UNR,,6,,,Appalachian Trail,Cades Cove Campground Segment A,Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,378691200000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,year,cert,Fridley Veg Plots
0101000020E61000001A080ED766F754C0EBE5357EFAC24140,58499,0101000020110F000002A31E3589CE61C1499E782DF5275041,57948,>1m <=5m,ATBI DATABASE,,1446855785000,DERV,CADES COVE,Great Smoky Mountains National Park,>1m <=5m,Blount,Tennessee,240145,3934851,35.523263,-83.865648,Abrams Creek Upper,Bower Creek,4538.276855,,,dd,GCS,NAD83,17,,Cades Cove District,TPCOLSON,TPCOLSON,1446855785000,GRSM,UNR,,2,,,Gregory Bald Trail,Parson Branch Road (closed Winter),Valid,Thalictrum_clavatum,Thalictrum  clavatum,39927,Mountain Meadow-rue,Plant,Ecological Framework: Biological Integrity | Focal Species or Communities | Vegetation Complexs,252460800000,Plantae,Tracheobionta, , ,Magnoliopsida,Magnoliidae,Spermatophyta,Magnoliophyta, , ,Ranunculales, , , , ,Ranunculaceae, ,~,observed, ,year,cert,Fridley Veg Plots
